program,provnamn,skol_kod,andel_e
Bygg- och anläggningsprogrammet,Engelska 5,93062368,..
Restaurang- och livsmedelsprogrammet,Engelska 5,93062368,..
VVS- och fastighetsprogrammet,Engelska 5,93062368,..
El- och energiprogrammet,Engelska 5,69686851,..
Hantverksprogrammet,Engelska 5,69686851,"29,8"
Naturbruksprogrammet,Engelska 5,69686851,"34,6"
Handels- och administrationsprogrammet,Engelska 5,49616977,..
Handels- och administrationsprogrammet,Engelska 5,72998905,..
Vård- och omsorgsprogrammet,Engelska 5,72998905,"43,3"
Handels- och administrationsprogrammet,Engelska 5,69481650,"31,8"
Bygg- och anläggningsprogrammet,Engelska 5,88153340,"31,1"
Bygg- och anläggningsprogrammet,Engelska 5,94353434,..
Hantverksprogrammet,Engelska 5,59396229,"37,5"
Naturbruksprogrammet,Engelska 5,95165649,"25,0"
Barn- och fritidsprogrammet,Engelska 5,69626109,"40,4"
El- och energiprogrammet,Engelska 5,85068812,..
Hantverksprogrammet,Engelska 5,36444853,..
El- och energiprogrammet,Engelska 5,16819383,"30,8"
Industritekniska programmet,Engelska 5,16819383,..
VVS- och fastighetsprogrammet,Engelska 5,16819383,..
Handels- och administrationsprogrammet,Engelska 5,12994441,..
Industritekniska programmet,Engelska 5,53660780,..
Handels- och administrationsprogrammet,Engelska 5,30086854,"22,2"
El- och energiprogrammet,Engelska 5,79094701,.
Handels- och administrationsprogrammet,Engelska 5,38684438,..
Vård- och omsorgsprogrammet,Engelska 5,35647481,"38,7"
Handels- och administrationsprogrammet,Engelska 5,73147554,..
Hantverksprogrammet,Engelska 5,65752105,..
Fordons- och transportprogrammet,Engelska 5,61880907,"26,8"
El- och energiprogrammet,Engelska 5,35006050,"25,0"
Handels- och administrationsprogrammet,Engelska 5,35006050,"21,4"
Bygg- och anläggningsprogrammet,Engelska 5,88886610,..
Barn- och fritidsprogrammet,Engelska 5,10638939,"35,7"
Handels- och administrationsprogrammet,Engelska 5,10638939,..
Bygg- och anläggningsprogrammet,Engelska 5,88556189,..
El- och energiprogrammet,Engelska 5,88556189,..
Fordons- och transportprogrammet,Engelska 5,88556189,"55,6"
Hantverksprogrammet,Engelska 5,88556189,..
Industritekniska programmet,Engelska 5,88556189,..
VVS- och fastighetsprogrammet,Engelska 5,88556189,..
Vård- och omsorgsprogrammet,Engelska 5,88556189,..
Naturbruksprogrammet,Engelska 5,35236491,"18,2"
El- och energiprogrammet,Engelska 5,34831349,"45,5"
Bygg- och anläggningsprogrammet,Engelska 5,63511898,"45,5"
El- och energiprogrammet,Engelska 5,63511898,..
Fordons- och transportprogrammet,Engelska 5,63511898,..
Handels- och administrationsprogrammet,Engelska 5,63511898,..
Hantverksprogrammet,Engelska 5,63511898,..
Industritekniska programmet,Engelska 5,63511898,..
VVS- och fastighetsprogrammet,Engelska 5,63511898,..
Vård- och omsorgsprogrammet,Engelska 5,63511898,"62,5"
Barn- och fritidsprogrammet,Engelska 5,72127035,..
Bygg- och anläggningsprogrammet,Engelska 5,72127035,..
El- och energiprogrammet,Engelska 5,72127035,..
Fordons- och transportprogrammet,Engelska 5,72127035,..
Industritekniska programmet,Engelska 5,72127035,..
Vård- och omsorgsprogrammet,Engelska 5,72127035,..
Fordons- och transportprogrammet,Engelska 5,70969714,"60,9"
Restaurang- och livsmedelsprogrammet,Engelska 5,70969714,..
VVS- och fastighetsprogrammet,Engelska 5,70969714,..
Barn- och fritidsprogrammet,Engelska 5,85003442,"52,6"
Vård- och omsorgsprogrammet,Engelska 5,85003442,..
Bygg- och anläggningsprogrammet,Engelska 5,22752398,"40,7"
El- och energiprogrammet,Engelska 5,22752398,"24,0"
Handels- och administrationsprogrammet,Engelska 5,71922787,"43,5"
Bygg- och anläggningsprogrammet,Engelska 5,31843016,..
Fordons- och transportprogrammet,Engelska 5,31843016,..
VVS- och fastighetsprogrammet,Engelska 5,31843016,..
Restaurang- och livsmedelsprogrammet,Engelska 5,74148070,"66,7"
Naturbruksprogrammet,Engelska 5,50696507,"33,3"
Hantverksprogrammet,Engelska 5,44653962,..
Vård- och omsorgsprogrammet,Engelska 5,44653962,..
El- och energiprogrammet,Engelska 5,81993306,..
Industritekniska programmet,Engelska 5,81993306,"45,5"
Bygg- och anläggningsprogrammet,Engelska 5,29097621,"28,2"
Fordons- och transportprogrammet,Engelska 5,29097621,"31,0"
Bygg- och anläggningsprogrammet,Engelska 5,87764775,..
Fordons- och transportprogrammet,Engelska 5,87764775,..
Hantverksprogrammet,Engelska 5,87764775,..
VVS- och fastighetsprogrammet,Engelska 5,87764775,..
Vård- och omsorgsprogrammet,Engelska 5,87764775,..
Vård- och omsorgsprogrammet,Engelska 5,48438396,"33,3"
Barn- och fritidsprogrammet,Engelska 5,98052678,..
Handels- och administrationsprogrammet,Engelska 5,44341171,"38,9"
Barn- och fritidsprogrammet,Engelska 5,32671805,..
Handels- och administrationsprogrammet,Engelska 5,32671805,..
Hantverksprogrammet,Engelska 5,32671805,..
Industritekniska programmet,Engelska 5,32671805,..
Restaurang- och livsmedelsprogrammet,Engelska 5,32671805,"23,8"
Vård- och omsorgsprogrammet,Engelska 5,32671805,..
Naturbruksprogrammet,Engelska 5,38448056,"18,2"
Barn- och fritidsprogrammet,Engelska 5,16313848,"33,9"
Bygg- och anläggningsprogrammet,Engelska 5,16313848,"47,9"
El- och energiprogrammet,Engelska 5,16313848,.
Fordons- och transportprogrammet,Engelska 5,16313848,"24,4"
Industritekniska programmet,Engelska 5,16313848,..
VVS- och fastighetsprogrammet,Engelska 5,16313848,"50,0"
Vård- och omsorgsprogrammet,Engelska 5,16313848,"36,7"
Handels- och administrationsprogrammet,Engelska 5,79606767,"40,0"
Bygg- och anläggningsprogrammet,Engelska 5,11294673,..
El- och energiprogrammet,Engelska 5,11294673,..
Handels- och administrationsprogrammet,Engelska 5,11294673,"50,0"
Vård- och omsorgsprogrammet,Engelska 5,11294673,..
Barn- och fritidsprogrammet,Engelska 5,86327236,..
Bygg- och anläggningsprogrammet,Engelska 5,86327236,..
Fordons- och transportprogrammet,Engelska 5,86327236,"45,5"
Handels- och administrationsprogrammet,Engelska 5,86327236,..
Handels- och administrationsprogrammet,Engelska 5,28398531,..
Hantverksprogrammet,Engelska 5,66335258,"38,5"
Vård- och omsorgsprogrammet,Engelska 5,66335258,"30,4"
Barn- och fritidsprogrammet,Engelska 5,54172830,"27,8"
Handels- och administrationsprogrammet,Engelska 5,54172830,..
Industritekniska programmet,Engelska 5,54172830,..
Fordons- och transportprogrammet,Engelska 5,86310217,"53,8"
Barn- och fritidsprogrammet,Engelska 5,77352223,"38,9"
Bygg- och anläggningsprogrammet,Engelska 5,77352223,..
El- och energiprogrammet,Engelska 5,77352223,..
Fordons- och transportprogrammet,Engelska 5,77352223,..
Handels- och administrationsprogrammet,Engelska 5,77352223,"58,8"
Hantverksprogrammet,Engelska 5,77352223,..
Restaurang- och livsmedelsprogrammet,Engelska 5,77352223,..
VVS- och fastighetsprogrammet,Engelska 5,77352223,..
Vård- och omsorgsprogrammet,Engelska 5,77352223,..
Naturbruksprogrammet,Engelska 5,83085136,..
Barn- och fritidsprogrammet,Engelska 5,75458014,..
Restaurang- och livsmedelsprogrammet,Engelska 5,65136104,..
El- och energiprogrammet,Engelska 5,79033948,"17,0"
Hantverksprogrammet,Engelska 5,44392995,"25,8"
Bygg- och anläggningsprogrammet,Engelska 5,69241230,..
El- och energiprogrammet,Engelska 5,69241230,..
Fordons- och transportprogrammet,Engelska 5,69241230,..
Hantverksprogrammet,Engelska 5,69241230,..
VVS- och fastighetsprogrammet,Engelska 5,69241230,..
Naturbruksprogrammet,Engelska 5,85544331,"18,5"
Bygg- och anläggningsprogrammet,Engelska 5,80327946,"40,0"
El- och energiprogrammet,Engelska 5,80327946,"33,3"
Fordons- och transportprogrammet,Engelska 5,80327946,"34,6"
Hantverksprogrammet,Engelska 5,80327946,..
Restaurang- och livsmedelsprogrammet,Engelska 5,80327946,"33,3"
VVS- och fastighetsprogrammet,Engelska 5,80327946,"30,0"
Vård- och omsorgsprogrammet,Engelska 5,78875918,"48,0"
Barn- och fritidsprogrammet,Engelska 5,78023197,"24,0"
Vård- och omsorgsprogrammet,Engelska 5,78023197,"32,0"
Bygg- och anläggningsprogrammet,Engelska 5,86385479,..
El- och energiprogrammet,Engelska 5,86385479,..
Industritekniska programmet,Engelska 5,86385479,..
Restaurang- och livsmedelsprogrammet,Engelska 5,86385479,..
VVS- och fastighetsprogrammet,Engelska 5,86385479,..
El- och energiprogrammet,Engelska 5,99838438,..
El- och energiprogrammet,Engelska 5,42859669,"25,0"
Handels- och administrationsprogrammet,Engelska 5,42859669,"47,6"
Hantverksprogrammet,Engelska 5,42859669,..
VVS- och fastighetsprogrammet,Engelska 5,42859669,"39,1"
Barn- och fritidsprogrammet,Engelska 5,70923626,"36,9"
Bygg- och anläggningsprogrammet,Engelska 5,70923626,"23,4"
Fordons- och transportprogrammet,Engelska 5,70923626,..
Restaurang- och livsmedelsprogrammet,Engelska 5,70923626,..
Vård- och omsorgsprogrammet,Engelska 5,70923626,"38,5"
Bygg- och anläggningsprogrammet,Engelska 5,92905347,..
El- och energiprogrammet,Engelska 5,92905347,..
Fordons- och transportprogrammet,Engelska 5,92905347,..
Handels- och administrationsprogrammet,Engelska 5,92905347,"50,0"
Hantverksprogrammet,Engelska 5,92905347,"75,0"
Industritekniska programmet,Engelska 5,92905347,..
VVS- och fastighetsprogrammet,Engelska 5,92905347,..
Vård- och omsorgsprogrammet,Engelska 5,92905347,..
El- och energiprogrammet,Engelska 5,99592025,..
Vård- och omsorgsprogrammet,Engelska 5,34247736,"50,0"
Bygg- och anläggningsprogrammet,Engelska 5,47550455,"32,6"
Handels- och administrationsprogrammet,Engelska 5,47550455,"36,4"
Industritekniska programmet,Engelska 5,47550455,"36,8"
Restaurang- och livsmedelsprogrammet,Engelska 5,47550455,..
El- och energiprogrammet,Engelska 5,30329172,..
Fordons- och transportprogrammet,Engelska 5,30329172,"58,3"
VVS- och fastighetsprogrammet,Engelska 5,30329172,..
Barn- och fritidsprogrammet,Engelska 5,76877530,..
Industritekniska programmet,Engelska 5,20620556,..
Restaurang- och livsmedelsprogrammet,Engelska 5,20620556,..
Fordons- och transportprogrammet,Engelska 5,17173461,..
Handels- och administrationsprogrammet,Engelska 5,17173461,..
Industritekniska programmet,Engelska 5,17173461,..
Barn- och fritidsprogrammet,Engelska 5,19560192,"50,0"
Restaurang- och livsmedelsprogrammet,Engelska 5,19560192,..
Sjöfartsutbildningen,Engelska 5,19560192,..
VVS- och fastighetsprogrammet,Engelska 5,19560192,..
Barn- och fritidsprogrammet,Engelska 5,98053087,..
El- och energiprogrammet,Engelska 5,98053087,"40,0"
Handels- och administrationsprogrammet,Engelska 5,98053087,"26,9"
Handels- och administrationsprogrammet,Engelska 5,92858957,..
Barn- och fritidsprogrammet,Engelska 5,46660042,"44,8"
Bygg- och anläggningsprogrammet,Engelska 5,46660042,"33,3"
El- och energiprogrammet,Engelska 5,46660042,..
Fordons- och transportprogrammet,Engelska 5,46660042,"33,3"
Industritekniska programmet,Engelska 5,46660042,..
Restaurang- och livsmedelsprogrammet,Engelska 5,46660042,..
Vård- och omsorgsprogrammet,Engelska 5,46660042,"47,4"
El- och energiprogrammet,Engelska 5,44113417,..
Bygg- och anläggningsprogrammet,Engelska 5,38917647,..
Fordons- och transportprogrammet,Engelska 5,38917647,..
El- och energiprogrammet,Engelska 5,39555838,..
Vård- och omsorgsprogrammet,Engelska 5,39555838,..
Barn- och fritidsprogrammet,Engelska 5,85214294,"33,3"
Vård- och omsorgsprogrammet,Engelska 5,85214294,..
Bygg- och anläggningsprogrammet,Engelska 5,82084961,"47,1"
El- och energiprogrammet,Engelska 5,82084961,..
VVS- och fastighetsprogrammet,Engelska 5,82084961,"47,1"
El- och energiprogrammet,Engelska 5,46162400,"20,0"
Industritekniska programmet,Engelska 5,46162400,..
Fordons- och transportprogrammet,Engelska 5,98369689,"34,5"
Bygg- och anläggningsprogrammet,Engelska 5,56529916,"20,3"
Hantverksprogrammet,Engelska 5,56529916,"53,3"
Restaurang- och livsmedelsprogrammet,Engelska 5,40810950,"31,8"
Vård- och omsorgsprogrammet,Engelska 5,40037982,"16,7"
VVS- och fastighetsprogrammet,Engelska 5,73829818,"34,6"
Handels- och administrationsprogrammet,Engelska 5,18881773,..
Hantverksprogrammet,Engelska 5,12279302,"55,6"
Vård- och omsorgsprogrammet,Engelska 5,12279302,"35,0"
Bygg- och anläggningsprogrammet,Engelska 5,17849518,..
Fordons- och transportprogrammet,Engelska 5,17849518,..
Barn- och fritidsprogrammet,Engelska 5,91984508,"44,4"
Naturbruksprogrammet,Engelska 5,78659008,"23,1"
Barn- och fritidsprogrammet,Engelska 5,12448823,..
El- och energiprogrammet,Engelska 5,12448823,..
Barn- och fritidsprogrammet,Engelska 5,40667807,"35,7"
Fordons- och transportprogrammet,Engelska 5,40667807,..
Vård- och omsorgsprogrammet,Engelska 5,40667807,..
Bygg- och anläggningsprogrammet,Engelska 5,18091973,..
El- och energiprogrammet,Engelska 5,18091973,..
Industritekniska programmet,Engelska 5,18091973,.
Naturbruksprogrammet,Engelska 5,18091973,"53,3"
Barn- och fritidsprogrammet,Engelska 5,40634612,..
El- och energiprogrammet,Engelska 5,40634612,..
Restaurang- och livsmedelsprogrammet,Engelska 5,66132676,"38,7"
Barn- och fritidsprogrammet,Engelska 5,80762863,"23,5"
Vård- och omsorgsprogrammet,Engelska 5,80762863,"32,1"
Hantverksprogrammet,Engelska 5,77688926,"52,0"
VVS- och fastighetsprogrammet,Engelska 5,14508922,"54,5"
Bygg- och anläggningsprogrammet,Engelska 5,69629086,"31,0"
El- och energiprogrammet,Engelska 5,69629086,"17,9"
Fordons- och transportprogrammet,Engelska 5,69629086,"31,6"
Naturbruksprogrammet,Engelska 5,88624631,"52,4"
Naturbruksprogrammet,Engelska 5,35390185,..
Hantverksprogrammet,Engelska 5,37358234,..
Bygg- och anläggningsprogrammet,Engelska 5,31657916,..
El- och energiprogrammet,Engelska 5,31657916,..
Fordons- och transportprogrammet,Engelska 5,31657916,"71,4"
Handels- och administrationsprogrammet,Engelska 5,31657916,..
Sjöfartsutbildningen,Engelska 5,31657916,..
Vård- och omsorgsprogrammet,Engelska 5,31657916,..
Handels- och administrationsprogrammet,Engelska 5,54606928,"36,8"
Fordons- och transportprogrammet,Engelska 5,46241804,"38,5"
El- och energiprogrammet,Engelska 5,42573391,.
Handels- och administrationsprogrammet,Engelska 5,42573391,"53,8"
Hantverksprogrammet,Engelska 5,42573391,..
Barn- och fritidsprogrammet,Engelska 5,64574972,..
Vård- och omsorgsprogrammet,Engelska 5,64574972,"60,0"
Bygg- och anläggningsprogrammet,Engelska 5,19741742,..
