skolkod,antal_elever
18594470,95
78295411,78
80686587,67
72232853,81
12279302,39
64205087,138
50500028,56
91984508,35
40667807,37
18091973,38
88466776,45
36539945,..
40634612,41
66132676,61
57942242,39
77688926,86
14508922,88
37358234,13
21008461,58
54606928,86
53893730,109
42573391,..
64574972,44
19741742,44
29032715,58
45830583,21
48931433,84
19909435,29
30530571,166
78839208,68
96024712,113
30458073,..
85800840,55
68920727,49
27115998,125
41867682,16
79516949,72
96684210,237
87207941,63
11673760,117
46574937,302
23836342,66
63791419,29
39805497,30
38400227,43
81619482,61
12395564,27
90006712,17
39149668,71
38233622,24
48722826,58
73063662,63
40766349,29
53691739,14
43251309,24
67554405,81
73944169,101
98239050,45
94455820,..
61547652,..
62104139,52
87034307,119
78872213,74
76860623,43
58191646,94
80405898,62
56021320,32
63179610,23
64569393,26
64160122,48
48217580,142
51620045,42
86888278,19
57397381,151
56947954,79
72022487,109
71512894,62
28248021,46
44417214,74
25025681,55
88776535,84
49488344,24
74408578,52
71043974,270
57777751,..
38732602,12
89807183,99
61161774,137
86158933,52
75914181,45
39302565,14
96818167,17
79527481,134
67300857,88
99279503,24
63653488,..
84476205,45
24544503,114
25392789,115
69240218,73
38460895,18
31199511,119
12934438,198
43313366,97
86787111,70
97868185,28
77823650,..
37550979,14
60214465,26
70137084,28
82002016,53
23306658,48
97535124,34
11102578,78
69306209,38
10129345,88
17944628,116
94468610,37
94090461,74
12954099,69
80931789,100
90473340,24
69807202,22
64648904,35
75939593,327
26324896,30
56639389,452
95700485,42
51449748,121
28267726,50
12613085,24
53896162,701
17779637,87
66824652,29
49168016,36
71929526,31
60873719,80
28085125,16
21938183,69
78986228,10
71472793,31
69063711,28
77609073,13
35894996,30
12926770,38
68748767,32
23548714,63
48593439,60
91773491,70
30361243,364
25596917,111
65722876,287
52129378,34
65381163,187
31155312,38
84424083,216
49231191,47
78231062,239
10481541,122
68381790,44
13006857,131
16956086,128
58187973,29
88894245,..
31870541,75
44672598,122
31822012,95
83161201,81
99356671,..
16702464,12
29449669,108
62855448,54
36252055,239
91812793,323
14355031,31
46611859,180
58907711,118
68285560,150
58544422,97
65150019,72
71541108,22
53832505,41
47537928,29
69471748,68
49750031,50
76485705,57
93239262,29
99976753,92
75575321,128
28023078,16
43284031,30
24194577,..
26267406,..
51955293,56
57690933,95
12130801,34
51736304,21
44285075,35
95785055,167
68655578,67
68741484,105
37054246,43
39199869,60
31179045,26
72421673,47
15763669,..
59655752,43
88750078,15
41555549,71
85459854,67
81876614,51
18711877,26
67071618,39
75324351,16
61229217,38
70376604,42
59575030,84
18617410,58
28025244,27
40338843,60
77440824,58
14292382,34
51981332,22
87859089,40
98908403,132
16493131,98
83272868,81
11526364,53
45552626,97
50906954,39
16748680,58
65674821,46
92332557,83
78690637,221
38048202,141
90990441,..
26671095,34
65320354,124
77544055,62
49112879,50
30279258,107
76903284,73
43623146,..
49141105,52
15870428,24
26646080,137
26750052,91
18974693,134
26996566,10
27704246,176
28967085,..
69747871,..
31151740,21
79346084,149
89816391,41
14448619,74
12546590,43
43565270,106
77176811,77
52791537,127
85152591,102
85819857,126
40600798,133
52942981,85
54117171,104
48120273,75
33233228,..
94167577,142
27023528,53
53903798,39
97770837,99
69650864,91
59581397,24
41938272,105
29423248,100
76054399,66
33132452,39
60142020,..
70811222,10
17911161,166
35084976,50
25525759,68
77632411,202
49068301,56
59898194,43
38195284,129
97510495,121
89461767,75
94717858,109
53760158,43
78422467,148
37802196,..
36288955,124
74812809,93
88839172,152
48412612,70
95618280,51
75075402,114
26326048,120
37839488,164
46256929,89
83374651,24
59796774,12
17675502,10
75600007,59
73812226,105
30762346,..
82964090,171
88955893,127
15278518,27
15390992,193
63943560,31
85516596,38
16784385,80
89963319,..
24339566,167
65458415,..
95154882,10
52333875,65
24663703,..
28519815,106
65666808,..
69543519,27
89693952,42
24759907,208
78433202,59
35366805,56
31315191,96
42775003,152
56670842,60
89370947,118
48555205,237
31313926,58
30312720,81
32116280,90
57143976,107
93367005,57
53175499,23
64388538,180
52153758,180
22116645,105
99755443,236
30167976,43
50104466,14
28004794,..
32071849,105
79845033,59
41099519,50
59386837,23
17276047,33
21382451,86
48244956,35
36769815,..
43873969,140
55825382,60
19306558,21
35301145,80
24993048,16
13084253,76
59942080,36
66273269,26
11275959,18
58518163,26
27993549,15
37912396,33
45593337,76
10226870,20
19839859,11
67628478,65
37517404,..
32057701,47
30615080,124
25178582,69
70543431,15
23476801,..
86351879,49
56041144,53
74322969,22
90260899,52
31057219,44
27079521,61
33572033,48
64579522,37
34381901,54
55150847,100
90076461,98
53069733,49
99394620,32
95368476,70
14853321,23
76448076,32
31537066,15
86488203,106
25156286,25
28081446,92
21400668,42
92949043,53
92818240,44
84329061,139
91048178,27
82718660,10
12399380,16
31486865,319
97265732,258
61720981,216
50424828,28
82931004,..
95024660,72
32263814,19
47393891,75
48414975,17
11533776,75
47108751,..
28829503,90
99622695,..
98651664,77
33657492,110
79309485,90
37078868,..
16130958,70
82195565,82
33596572,74
77713695,81
51131594,21
89680395,14
53696633,15
27440210,48
62758285,23
16218090,27
64667996,36
23544320,172
57668673,19
69040241,..
63993414,10
49136871,..
20855811,111
53923398,120
74560191,15
47844862,228
72984079,110
36480690,50
24787883,..
32995170,36
52048443,54
61674097,91
32550660,323
93488613,34
45600034,11
59599256,275
26957025,234
90509211,67
43277545,56
