program,provnamn,skol_kod,andel_f
Ekonomiprogrammet,Matematik 3B,62612992,"33,3"
Ekonomiprogrammet,Matematik 3B,16848652,..
Ekonomiprogrammet,Matematik 3B,15149235,..
Ekonomiprogrammet,Matematik 3B,24538846,.
Ekonomiprogrammet,Matematik 3B,67058407,"40,0"
Ekonomiprogrammet,Matematik 3B,98696836,"18,9"
Ekonomiprogrammet,Matematik 3B,49739986,..
Ekonomiprogrammet,Matematik 3B,92192566,..
Ekonomiprogrammet,Matematik 3B,65421426,"11,3"
Ekonomiprogrammet,Matematik 3B,72071234,"30,0"
Ekonomiprogrammet,Matematik 3B,65833454,..
Ekonomiprogrammet,Matematik 3B,28045567,"52,1"
Ekonomiprogrammet,Matematik 3B,38880984,"43,6"
Ekonomiprogrammet,Matematik 3B,18686599,"70,0"
Ekonomiprogrammet,Matematik 3B,47559319,"60,0"
Ekonomiprogrammet,Matematik 3B,20752831,..
Ekonomiprogrammet,Matematik 3B,51023367,.
Naturvetenskapsprogrammet,Matematik 3C,55795961,..
Naturvetenskapsprogrammet,Matematik 3C,18208087,..
Teknikprogrammet,Matematik 3C,18208087,"55,6"
Teknikprogrammet,Matematik 3C,32960825,"21,2"
Teknikprogrammet,Matematik 3C,91748148,"35,3"
Naturvetenskapsprogrammet,Matematik 3C,42022406,..
Teknikprogrammet,Matematik 3C,42022406,..
Naturvetenskapsprogrammet,Matematik 3C,65192707,..
Teknikprogrammet,Matematik 3C,65192707,..
Naturvetenskapsprogrammet,Matematik 3C,43634528,.
Teknikprogrammet,Matematik 3C,69018222,"55,0"
Teknikprogrammet,Matematik 3C,12889940,..
Naturvetenskapsprogrammet,Matematik 3C,26334561,..
Naturvetenskapsprogrammet,Matematik 3C,59483268,..
Naturvetenskapsprogrammet,Matematik 3C,45164827,..
Naturvetenskapsprogrammet,Matematik 3C,34153869,.
Teknikprogrammet,Matematik 3C,88259298,..
Teknikprogrammet,Matematik 3C,23555409,.
Teknikprogrammet,Matematik 3C,30341162,..
Teknikprogrammet,Matematik 3C,16950252,"26,2"
Naturvetenskapsprogrammet,Matematik 3C,34637764,"34,8"
Naturvetenskapsprogrammet,Matematik 3C,95684185,"77,8"
Teknikprogrammet,Matematik 3C,56421429,.
Teknikprogrammet,Matematik 3C,17008320,"20,7"
Naturvetenskapsprogrammet,Matematik 3C,23164911,..
Teknikprogrammet,Matematik 3C,95683850,"18,8"
Teknikprogrammet,Matematik 3C,89888648,"32,3"
Naturvetenskapsprogrammet,Matematik 3C,35063170,..
Teknikprogrammet,Matematik 3C,35063170,..
Teknikprogrammet,Matematik 3C,31279294,..
Teknikprogrammet,Matematik 3C,69686851,"71,4"
Teknikprogrammet,Matematik 3C,16819383,.
Naturvetenskapsprogrammet,Matematik 3C,89837629,..
Teknikprogrammet,Matematik 3C,89837629,..
Naturvetenskapsprogrammet,Matematik 3C,12994441,..
Teknikprogrammet,Matematik 3C,53660780,..
Naturvetenskapsprogrammet,Matematik 3C,84306392,..
Teknikprogrammet,Matematik 3C,72517762,..
Teknikprogrammet,Matematik 3C,79094701,..
Naturvetenskapsprogrammet,Matematik 3C,38684438,..
Naturvetenskapsprogrammet,Matematik 3C,35647481,..
Naturvetenskapsprogrammet,Matematik 3C,69983740,.
Naturvetenskapsprogrammet,Matematik 3C,66491596,.
Teknikprogrammet,Matematik 3C,66491596,.
Naturvetenskapsprogrammet,Matematik 3C,12052268,..
Teknikprogrammet,Matematik 3C,12052268,"64,3"
Teknikprogrammet,Matematik 3C,53231578,"54,4"
Teknikprogrammet,Matematik 3C,35006050,"17,9"
Naturvetenskapsprogrammet,Matematik 3C,21505555,..
Teknikprogrammet,Matematik 3C,21052710,..
Teknikprogrammet,Matematik 3C,81993306,"29,2"
Naturvetenskapsprogrammet,Matematik 3C,19051089,..
Teknikprogrammet,Matematik 3C,47264019,"17,5"
Naturvetenskapsprogrammet,Matematik 3C,98052678,..
Naturvetenskapsprogrammet,Matematik 3C,16313848,"57,1"
Teknikprogrammet,Matematik 3C,16313848,"35,3"
Teknikprogrammet,Matematik 3C,86327236,..
Teknikprogrammet,Matematik 3C,28398531,.
Naturvetenskapsprogrammet,Matematik 3C,54172830,..
Teknikprogrammet,Matematik 3C,79033948,"30,3"
Teknikprogrammet,Matematik 3C,68240485,"13,6"
Naturvetenskapsprogrammet,Matematik 3C,53462953,"70,0"
Naturvetenskapsprogrammet,Matematik 3C,82592568,..
Naturvetenskapsprogrammet,Matematik 3C,78875918,..
Teknikprogrammet,Matematik 3C,78875918,"18,8"
Teknikprogrammet,Matematik 3C,49862313,..
Teknikprogrammet,Matematik 3C,99838438,"40,9"
Naturvetenskapsprogrammet,Matematik 3C,99592025,..
Teknikprogrammet,Matematik 3C,99592025,.
Teknikprogrammet,Matematik 3C,47550455,.
Naturvetenskapsprogrammet,Matematik 3C,58125096,..
Teknikprogrammet,Matematik 3C,58125096,..
Naturvetenskapsprogrammet,Matematik 3C,30468157,..
Teknikprogrammet,Matematik 3C,30468157,..
Naturvetenskapsprogrammet,Matematik 3C,61528940,..
Teknikprogrammet,Matematik 3C,72206824,..
Teknikprogrammet,Matematik 3C,92858957,"23,3"
Naturvetenskapsprogrammet,Matematik 3C,44113417,..
Teknikprogrammet,Matematik 3C,44113417,..
Naturvetenskapsprogrammet,Matematik 3C,82084961,"59,1"
Teknikprogrammet,Matematik 3C,82084961,"51,2"
Teknikprogrammet,Matematik 3C,46162400,"22,7"
Teknikprogrammet,Matematik 3C,67279263,"21,9"
Teknikprogrammet,Matematik 3C,18594470,..
Naturvetenskapsprogrammet,Matematik 3C,80686587,..
Naturvetenskapsprogrammet,Matematik 3C,91984508,..
Teknikprogrammet,Matematik 3C,40634612,..
Naturvetenskapsprogrammet,Matematik 3C,57942242,..
Naturvetenskapsprogrammet,Matematik 3C,77688926,..
Teknikprogrammet,Matematik 3C,14508922,"17,2"
Naturvetenskapsprogrammet,Matematik 3C,29032715,"45,5"
Teknikprogrammet,Matematik 3C,29032715,..
Naturvetenskapsprogrammet,Matematik 3C,27115998,..
Teknikprogrammet,Matematik 3C,27115998,..
Teknikprogrammet,Matematik 3C,79516949,"34,6"
Teknikprogrammet,Matematik 3C,46574937,"20,5"
Naturvetenskapsprogrammet,Matematik 3C,63791419,..
Teknikprogrammet,Matematik 3C,39805497,.
Teknikprogrammet,Matematik 3C,48722826,..
Teknikprogrammet,Matematik 3C,43251309,"41,7"
Naturvetenskapsprogrammet,Matematik 3C,87034307,..
Naturvetenskapsprogrammet,Matematik 3C,76860623,.
Teknikprogrammet,Matematik 3C,86888278,"38,5"
Naturvetenskapsprogrammet,Matematik 3C,71512894,..
Teknikprogrammet,Matematik 3C,71512894,..
Naturvetenskapsprogrammet,Matematik 3C,28248021,..
Naturvetenskapsprogrammet,Matematik 3C,44417214,..
Teknikprogrammet,Matematik 3C,44417214,"66,7"
Naturvetenskapsprogrammet,Matematik 3C,71043974,..
Teknikprogrammet,Matematik 3C,71043974,"50,0"
Naturvetenskapsprogrammet,Matematik 3C,89807183,..
Teknikprogrammet,Matematik 3C,89807183,..
Teknikprogrammet,Matematik 3C,79527481,"13,9"
Naturvetenskapsprogrammet,Matematik 3C,67300857,..
Naturvetenskapsprogrammet,Matematik 3C,63653488,..
Naturvetenskapsprogrammet,Matematik 3C,84476205,..
Teknikprogrammet,Matematik 3C,69240218,.
Naturvetenskapsprogrammet,Matematik 3C,12934438,..
Naturvetenskapsprogrammet,Matematik 3C,43313366,..
Teknikprogrammet,Matematik 3C,86787111,..
Naturvetenskapsprogrammet,Matematik 3C,23306658,..
Teknikprogrammet,Matematik 3C,69306209,"63,0"
Teknikprogrammet,Matematik 3C,12954099,"10,8"
Teknikprogrammet,Matematik 3C,90473340,"37,5"
Naturvetenskapsprogrammet,Matematik 3C,75939593,..
Naturvetenskapsprogrammet,Matematik 3C,95700485,.
Teknikprogrammet,Matematik 3C,51449748,"14,7"
Teknikprogrammet,Matematik 3C,12613085,"38,7"
Naturvetenskapsprogrammet,Matematik 3C,66824652,..
Teknikprogrammet,Matematik 3C,66824652,"70,0"
Teknikprogrammet,Matematik 3C,49168016,.
Teknikprogrammet,Matematik 3C,92814975,..
Naturvetenskapsprogrammet,Matematik 3C,60873719,..
Teknikprogrammet,Matematik 3C,60873719,"31,3"
Naturvetenskapsprogrammet,Matematik 3C,69063711,..
Teknikprogrammet,Matematik 3C,69063711,..
Teknikprogrammet,Matematik 3C,52129378,"45,5"
Teknikprogrammet,Matematik 3C,65381163,"22,6"
Naturvetenskapsprogrammet,Matematik 3C,68381790,..
Teknikprogrammet,Matematik 3C,68381790,..
Naturvetenskapsprogrammet,Matematik 3C,13006857,..
Teknikprogrammet,Matematik 3C,13006857,..
Teknikprogrammet,Matematik 3C,16956086,"18,2"
Naturvetenskapsprogrammet,Matematik 3C,58187973,..
Naturvetenskapsprogrammet,Matematik 3C,31870541,..
Teknikprogrammet,Matematik 3C,31870541,..
Naturvetenskapsprogrammet,Matematik 3C,44672598,..
Teknikprogrammet,Matematik 3C,44672598,..
Teknikprogrammet,Matematik 3C,29449669,"34,6"
Naturvetenskapsprogrammet,Matematik 3C,36252055,..
Teknikprogrammet,Matematik 3C,36252055,..
Teknikprogrammet,Matematik 3C,14355031,"41,7"
Naturvetenskapsprogrammet,Matematik 3C,71541108,..
Teknikprogrammet,Matematik 3C,53832505,"35,0"
Naturvetenskapsprogrammet,Matematik 3C,76485705,..
Naturvetenskapsprogrammet,Matematik 3C,93239262,..
Naturvetenskapsprogrammet,Matematik 3C,75575321,..
Teknikprogrammet,Matematik 3C,43284031,..
Teknikprogrammet,Matematik 3C,26267406,..
Naturvetenskapsprogrammet,Matematik 3C,51955293,..
Teknikprogrammet,Matematik 3C,51955293,"45,8"
Naturvetenskapsprogrammet,Matematik 3C,51736304,..
Teknikprogrammet,Matematik 3C,51736304,..
Teknikprogrammet,Matematik 3C,44285075,..
Naturvetenskapsprogrammet,Matematik 3C,68655578,..
Teknikprogrammet,Matematik 3C,68655578,"21,2"
Naturvetenskapsprogrammet,Matematik 3C,39199869,..
Teknikprogrammet,Matematik 3C,39199869,"25,0"
Teknikprogrammet,Matematik 3C,59655752,..
Teknikprogrammet,Matematik 3C,88750078,..
Naturvetenskapsprogrammet,Matematik 3C,61229217,..
Teknikprogrammet,Matematik 3C,59575030,"10,9"
Naturvetenskapsprogrammet,Matematik 3C,87859089,..
Teknikprogrammet,Matematik 3C,87859089,"35,7"
Teknikprogrammet,Matematik 3C,16493131,..
Teknikprogrammet,Matematik 3C,11526364,..
Teknikprogrammet,Matematik 3C,65674821,..
Teknikprogrammet,Matematik 3C,26671095,"36,4"
Naturvetenskapsprogrammet,Matematik 3C,65320354,.
Teknikprogrammet,Matematik 3C,65320354,..
Teknikprogrammet,Matematik 3C,76903284,"26,1"
Teknikprogrammet,Matematik 3C,15870428,"34,8"
Teknikprogrammet,Matematik 3C,26750052,..
Naturvetenskapsprogrammet,Matematik 3C,27704246,..
Naturvetenskapsprogrammet,Matematik 3C,14448619,..
Teknikprogrammet,Matematik 3C,12546590,"30,2"
Naturvetenskapsprogrammet,Matematik 3C,52791537,.
Naturvetenskapsprogrammet,Matematik 3C,94167577,"100,0"
Teknikprogrammet,Matematik 3C,94167577,"40,6"
Teknikprogrammet,Matematik 3C,27023528,"44,0"
Teknikprogrammet,Matematik 3C,35084976,"23,1"
Naturvetenskapsprogrammet,Matematik 3C,77632411,"25,0"
Naturvetenskapsprogrammet,Matematik 3C,49068301,..
Teknikprogrammet,Matematik 3C,49068301,"60,0"
Teknikprogrammet,Matematik 3C,94717858,"14,3"
Naturvetenskapsprogrammet,Matematik 3C,53760158,..
Teknikprogrammet,Matematik 3C,46256929,"30,4"
Teknikprogrammet,Matematik 3C,15390992,"19,3"
Naturvetenskapsprogrammet,Matematik 3C,24339566,..
Teknikprogrammet,Matematik 3C,78433202,"31,3"
Naturvetenskapsprogrammet,Matematik 3C,31315191,..
Naturvetenskapsprogrammet,Matematik 3C,48555205,"38,5"
Teknikprogrammet,Matematik 3C,57143976,"16,7"
Naturvetenskapsprogrammet,Matematik 3C,52153758,.
Naturvetenskapsprogrammet,Matematik 3C,30167976,..
Teknikprogrammet,Matematik 3C,79845033,"50,0"
Teknikprogrammet,Matematik 3C,59386837,..
Teknikprogrammet,Matematik 3C,17276047,"83,3"
Teknikprogrammet,Matematik 3C,48244956,"47,1"
Teknikprogrammet,Matematik 3C,13084253,"23,7"
Naturvetenskapsprogrammet,Matematik 3C,59942080,..
Naturvetenskapsprogrammet,Matematik 3C,66273269,..
Teknikprogrammet,Matematik 3C,27993549,..
Teknikprogrammet,Matematik 3C,67628478,..
Teknikprogrammet,Matematik 3C,37517404,.
Teknikprogrammet,Matematik 3C,25178582,..
Naturvetenskapsprogrammet,Matematik 3C,70543431,..
Naturvetenskapsprogrammet,Matematik 3C,86351879,.
Teknikprogrammet,Matematik 3C,86351879,..
Teknikprogrammet,Matematik 3C,90260899,..
Teknikprogrammet,Matematik 3C,31057219,.
Teknikprogrammet,Matematik 3C,27079521,..
Teknikprogrammet,Matematik 3C,64579522,..
Teknikprogrammet,Matematik 3C,53069733,"29,4"
Naturvetenskapsprogrammet,Matematik 3C,99394620,..
Teknikprogrammet,Matematik 3C,99394620,..
Teknikprogrammet,Matematik 3C,21400668,"26,3"
Teknikprogrammet,Matematik 3C,84329061,"13,7"
Naturvetenskapsprogrammet,Matematik 3C,82718660,..
Naturvetenskapsprogrammet,Matematik 3C,97265732,.
Teknikprogrammet,Matematik 3C,61720981,"20,5"
Teknikprogrammet,Matematik 3C,82931004,..
Teknikprogrammet,Matematik 3C,28829503,..
Naturvetenskapsprogrammet,Matematik 3C,98651664,..
Teknikprogrammet,Matematik 3C,33657492,.
Naturvetenskapsprogrammet,Matematik 3C,16130958,..
Teknikprogrammet,Matematik 3C,33596572,..
Naturvetenskapsprogrammet,Matematik 3C,77713695,..
Naturvetenskapsprogrammet,Matematik 3C,16218090,.
Naturvetenskapsprogrammet,Matematik 3C,23544320,..
Teknikprogrammet,Matematik 3C,36480690,..
Teknikprogrammet,Matematik 3C,52048443,"22,6"
Teknikprogrammet,Matematik 3C,93488613,..
Naturvetenskapsprogrammet,Matematik 3C,50393060,..
Teknikprogrammet,Matematik 3C,50393060,..
Teknikprogrammet,Matematik 3C,66095163,"60,0"
Naturvetenskapsprogrammet,Matematik 3C,54004368,"35,7"
Teknikprogrammet,Matematik 3C,54004368,"12,2"
Teknikprogrammet,Matematik 3C,31975673,..
Teknikprogrammet,Matematik 3C,59463950,..
Teknikprogrammet,Matematik 3C,63931325,..
Teknikprogrammet,Matematik 3C,75374280,"62,5"
Naturvetenskapsprogrammet,Matematik 3C,46148350,..
Teknikprogrammet,Matematik 3C,46148350,..
Teknikprogrammet,Matematik 3C,50133877,.
Naturvetenskapsprogrammet,Matematik 3C,74919147,..
Naturvetenskapsprogrammet,Matematik 3C,44412461,..
Naturvetenskapsprogrammet,Matematik 3C,18217765,..
Teknikprogrammet,Matematik 3C,18217765,"17,1"
Naturvetenskapsprogrammet,Matematik 3C,49576295,..
Teknikprogrammet,Matematik 3C,10433896,..
Teknikprogrammet,Matematik 3C,43154449,..
Naturvetenskapsprogrammet,Matematik 3C,18042101,..
Naturvetenskapsprogrammet,Matematik 3C,70955448,..
Teknikprogrammet,Matematik 3C,68824244,"43,6"
Naturvetenskapsprogrammet,Matematik 3C,46707989,"15,8"
Naturvetenskapsprogrammet,Matematik 3C,61176909,.
Teknikprogrammet,Matematik 3C,43479922,..
Teknikprogrammet,Matematik 3C,28391147,"35,4"
Naturvetenskapsprogrammet,Matematik 3C,62612992,"26,3"
Teknikprogrammet,Matematik 3C,62612992,..
Naturvetenskapsprogrammet,Matematik 3C,56802300,..
Teknikprogrammet,Matematik 3C,56802300,..
Teknikprogrammet,Matematik 3C,13981977,..
Teknikprogrammet,Matematik 3C,67058407,..
Naturvetenskapsprogrammet,Matematik 3C,15791044,..
Teknikprogrammet,Matematik 3C,65392939,..
Naturvetenskapsprogrammet,Matematik 3C,64908550,..
Teknikprogrammet,Matematik 3C,29225010,.
Naturvetenskapsprogrammet,Matematik 3C,65421426,"32,1"
Naturvetenskapsprogrammet,Matematik 3C,62394916,..
Naturvetenskapsprogrammet,Matematik 3C,72071234,..
Teknikprogrammet,Matematik 3C,24349146,"30,8"
Teknikprogrammet,Matematik 3C,83605345,..
Teknikprogrammet,Matematik 3C,18072172,..
Naturvetenskapsprogrammet,Matematik 3C,34988313,"22,7"
Teknikprogrammet,Matematik 3C,20768651,"13,2"
Teknikprogrammet,Matematik 3C,28872974,"25,4"
Naturvetenskapsprogrammet,Matematik 3C,47559319,..
Naturvetenskapsprogrammet,Matematik 3C,20752831,..
Teknikprogrammet,Matematik 3C,20752831,"55,0"
Teknikprogrammet,Matematik 4,18345915,..
Naturvetenskapsprogrammet,Matematik 4,61004230,.
Naturvetenskapsprogrammet,Matematik 4,71262305,.
Naturvetenskapsprogrammet,Matematik 4,82840198,..
Naturvetenskapsprogrammet,Matematik 4,18208087,..
Naturvetenskapsprogrammet,Matematik 4,19464342,..
Naturvetenskapsprogrammet,Matematik 4,60743463,..
Teknikprogrammet,Matematik 4,60743463,..
Naturvetenskapsprogrammet,Matematik 4,91748148,"65,0"
Teknikprogrammet,Matematik 4,91748148,"62,5"
Naturvetenskapsprogrammet,Matematik 4,65192707,..
Teknikprogrammet,Matematik 4,65192707,"10,6"
Teknikprogrammet,Matematik 4,12889940,..
Naturvetenskapsprogrammet,Matematik 4,97758137,..
Naturvetenskapsprogrammet,Matematik 4,26334561,"17,0"
Naturvetenskapsprogrammet,Matematik 4,21663998,..
Naturvetenskapsprogrammet,Matematik 4,45164827,"10,7"
Naturvetenskapsprogrammet,Matematik 4,34153869,..
Naturvetenskapsprogrammet,Matematik 4,17846181,.
Teknikprogrammet,Matematik 4,17846181,..
Naturvetenskapsprogrammet,Matematik 4,75082798,..
Teknikprogrammet,Matematik 4,75082798,..
Teknikprogrammet,Matematik 4,15077883,..
Naturvetenskapsprogrammet,Matematik 4,95684185,"100,0"
Naturvetenskapsprogrammet,Matematik 4,55155562,..
Naturvetenskapsprogrammet,Matematik 4,23164911,"12,3"
Teknikprogrammet,Matematik 4,95683850,..
Naturvetenskapsprogrammet,Matematik 4,25677996,.
Teknikprogrammet,Matematik 4,89888648,..
Naturvetenskapsprogrammet,Matematik 4,31279294,..
Teknikprogrammet,Matematik 4,31279294,..
Naturvetenskapsprogrammet,Matematik 4,36782335,..
Naturvetenskapsprogrammet,Matematik 4,20666515,..
Naturvetenskapsprogrammet,Matematik 4,54965510,"14,0"
Naturvetenskapsprogrammet,Matematik 4,78979604,..
Naturvetenskapsprogrammet,Matematik 4,85068812,"46,2"
Naturvetenskapsprogrammet,Matematik 4,78397312,.
Naturvetenskapsprogrammet,Matematik 4,89837629,"36,8"
Naturvetenskapsprogrammet,Matematik 4,12994441,"63,3"
Naturvetenskapsprogrammet,Matematik 4,75141151,..
Naturvetenskapsprogrammet,Matematik 4,84306392,"13,1"
Naturvetenskapsprogrammet,Matematik 4,72517762,"80,0"
Naturvetenskapsprogrammet,Matematik 4,38684438,"55,0"
Naturvetenskapsprogrammet,Matematik 4,35647481,..
Naturvetenskapsprogrammet,Matematik 4,69983740,.
Naturvetenskapsprogrammet,Matematik 4,66491596,.
Teknikprogrammet,Matematik 4,66491596,.
Naturvetenskapsprogrammet,Matematik 4,12052268,"62,5"
Naturvetenskapsprogrammet,Matematik 4,40690520,..
Teknikprogrammet,Matematik 4,40690520,..
Naturvetenskapsprogrammet,Matematik 4,21505555,"16,7"
Naturvetenskapsprogrammet,Matematik 4,53640774,..
Naturvetenskapsprogrammet,Matematik 4,72127035,..
Teknikprogrammet,Matematik 4,70969714,..
Teknikprogrammet,Matematik 4,81993306,.
Naturvetenskapsprogrammet,Matematik 4,19051089,"9,4"
Naturvetenskapsprogrammet,Matematik 4,16313848,"37,8"
Teknikprogrammet,Matematik 4,16313848,..
Naturvetenskapsprogrammet,Matematik 4,86327236,..
Naturvetenskapsprogrammet,Matematik 4,83137205,..
Naturvetenskapsprogrammet,Matematik 4,54172830,..
Naturvetenskapsprogrammet,Matematik 4,65136104,..
Naturvetenskapsprogrammet,Matematik 4,56330385,..
Naturvetenskapsprogrammet,Matematik 4,20228162,..
Naturvetenskapsprogrammet,Matematik 4,53462953,"28,6"
Naturvetenskapsprogrammet,Matematik 4,82592568,..
Naturvetenskapsprogrammet,Matematik 4,78875918,"16,0"
Naturvetenskapsprogrammet,Matematik 4,86385479,..
Naturvetenskapsprogrammet,Matematik 4,99592025,.
Teknikprogrammet,Matematik 4,99592025,.
Naturvetenskapsprogrammet,Matematik 4,47550455,"14,6"
Naturvetenskapsprogrammet,Matematik 4,58125096,..
Naturvetenskapsprogrammet,Matematik 4,20620556,..
Naturvetenskapsprogrammet,Matematik 4,17173461,..
Naturvetenskapsprogrammet,Matematik 4,30468157,.
Naturvetenskapsprogrammet,Matematik 4,61528940,"14,9"
Teknikprogrammet,Matematik 4,72206824,..
Naturvetenskapsprogrammet,Matematik 4,92858957,"21,7"
Teknikprogrammet,Matematik 4,92858957,.
Naturvetenskapsprogrammet,Matematik 4,44113417,..
Naturvetenskapsprogrammet,Matematik 4,39555838,.
Naturvetenskapsprogrammet,Matematik 4,85214294,"100,0"
Naturvetenskapsprogrammet,Matematik 4,40667807,..
Naturvetenskapsprogrammet,Matematik 4,88466776,..
Teknikprogrammet,Matematik 4,88466776,..
Naturvetenskapsprogrammet,Matematik 4,57942242,..
Naturvetenskapsprogrammet,Matematik 4,77688926,"14,3"
Naturvetenskapsprogrammet,Matematik 4,29032715,..
Teknikprogrammet,Matematik 4,29032715,..
Naturvetenskapsprogrammet,Matematik 4,96024712,"7,2"
Teknikprogrammet,Matematik 4,96024712,..
Naturvetenskapsprogrammet,Matematik 4,30458073,..
Naturvetenskapsprogrammet,Matematik 4,27115998,..
Naturvetenskapsprogrammet,Matematik 4,79516949,..
Naturvetenskapsprogrammet,Matematik 4,87207941,..
Naturvetenskapsprogrammet,Matematik 4,63791419,..
Naturvetenskapsprogrammet,Matematik 4,81619482,..
Naturvetenskapsprogrammet,Matematik 4,39149668,"22,2"
Teknikprogrammet,Matematik 4,39149668,"42,9"
Naturvetenskapsprogrammet,Matematik 4,48722826,..
Naturvetenskapsprogrammet,Matematik 4,98239050,"27,3"
Naturvetenskapsprogrammet,Matematik 4,61547652,..
Naturvetenskapsprogrammet,Matematik 4,87034307,..
Teknikprogrammet,Matematik 4,87034307,..
Naturvetenskapsprogrammet,Matematik 4,76860623,..
Teknikprogrammet,Matematik 4,80405898,..
Naturvetenskapsprogrammet,Matematik 4,64160122,"15,9"
Teknikprogrammet,Matematik 4,51620045,..
Naturvetenskapsprogrammet,Matematik 4,56947954,"37,5"
Naturvetenskapsprogrammet,Matematik 4,72022487,..
Teknikprogrammet,Matematik 4,72022487,..
Naturvetenskapsprogrammet,Matematik 4,71512894,..
Teknikprogrammet,Matematik 4,71512894,..
Naturvetenskapsprogrammet,Matematik 4,88776535,..
Teknikprogrammet,Matematik 4,39302565,..
Naturvetenskapsprogrammet,Matematik 4,96818167,..
Teknikprogrammet,Matematik 4,79527481,"11,3"
Naturvetenskapsprogrammet,Matematik 4,67300857,..
Naturvetenskapsprogrammet,Matematik 4,99279503,"33,3"
Naturvetenskapsprogrammet,Matematik 4,84476205,"33,3"
Naturvetenskapsprogrammet,Matematik 4,69240218,.
Teknikprogrammet,Matematik 4,69240218,..
Naturvetenskapsprogrammet,Matematik 4,12934438,"6,3"
Naturvetenskapsprogrammet,Matematik 4,23306658,..
Naturvetenskapsprogrammet,Matematik 4,69306209,..
Naturvetenskapsprogrammet,Matematik 4,53896162,..
Teknikprogrammet,Matematik 4,53896162,"9,6"
Naturvetenskapsprogrammet,Matematik 4,60873719,"29,2"
Teknikprogrammet,Matematik 4,60873719,..
Naturvetenskapsprogrammet,Matematik 4,68748767,..
Naturvetenskapsprogrammet,Matematik 4,23548714,..
Naturvetenskapsprogrammet,Matematik 4,48593439,..
Naturvetenskapsprogrammet,Matematik 4,91773491,"66,7"
Naturvetenskapsprogrammet,Matematik 4,65722876,..
Naturvetenskapsprogrammet,Matematik 4,65381163,"57,7"
Teknikprogrammet,Matematik 4,65381163,..
Naturvetenskapsprogrammet,Matematik 4,78231062,..
Naturvetenskapsprogrammet,Matematik 4,68381790,..
Teknikprogrammet,Matematik 4,68381790,..
Naturvetenskapsprogrammet,Matematik 4,13006857,..
Naturvetenskapsprogrammet,Matematik 4,16956086,..
Naturvetenskapsprogrammet,Matematik 4,31870541,..
Teknikprogrammet,Matematik 4,31870541,..
Naturvetenskapsprogrammet,Matematik 4,44672598,"25,0"
Naturvetenskapsprogrammet,Matematik 4,36252055,"7,1"
Teknikprogrammet,Matematik 4,36252055,..
Naturvetenskapsprogrammet,Matematik 4,58907711,.
Naturvetenskapsprogrammet,Matematik 4,69471748,"55,6"
Naturvetenskapsprogrammet,Matematik 4,75575321,.
Naturvetenskapsprogrammet,Matematik 4,95785055,..
Naturvetenskapsprogrammet,Matematik 4,68655578,"54,2"
Naturvetenskapsprogrammet,Matematik 4,37054246,..
Teknikprogrammet,Matematik 4,37054246,..
Naturvetenskapsprogrammet,Matematik 4,41555549,..
Teknikprogrammet,Matematik 4,41555549,..
Naturvetenskapsprogrammet,Matematik 4,81876614,..
Teknikprogrammet,Matematik 4,81876614,"35,0"
Naturvetenskapsprogrammet,Matematik 4,75324351,..
Naturvetenskapsprogrammet,Matematik 4,61229217,..
Naturvetenskapsprogrammet,Matematik 4,77440824,.
Naturvetenskapsprogrammet,Matematik 4,98908403,"16,1"
Naturvetenskapsprogrammet,Matematik 4,16493131,"33,3"
Naturvetenskapsprogrammet,Matematik 4,83272868,..
Naturvetenskapsprogrammet,Matematik 4,45552626,"17,6"
Naturvetenskapsprogrammet,Matematik 4,16748680,"100,0"
Naturvetenskapsprogrammet,Matematik 4,76903284,.
Teknikprogrammet,Matematik 4,26750052,..
Teknikprogrammet,Matematik 4,15832056,..
Naturvetenskapsprogrammet,Matematik 4,27704246,..
Naturvetenskapsprogrammet,Matematik 4,79346084,"20,7"
Naturvetenskapsprogrammet,Matematik 4,43565270,"66,7"
Naturvetenskapsprogrammet,Matematik 4,85819857,..
Naturvetenskapsprogrammet,Matematik 4,54117171,"16,4"
Teknikprogrammet,Matematik 4,54117171,"16,7"
Naturvetenskapsprogrammet,Matematik 4,48120273,..
Naturvetenskapsprogrammet,Matematik 4,53903798,"41,2"
Naturvetenskapsprogrammet,Matematik 4,41938272,..
Naturvetenskapsprogrammet,Matematik 4,60142020,..
Naturvetenskapsprogrammet,Matematik 4,17911161,"58,3"
Naturvetenskapsprogrammet,Matematik 4,35084976,..
Naturvetenskapsprogrammet,Matematik 4,77632411,..
Naturvetenskapsprogrammet,Matematik 4,49068301,..
Naturvetenskapsprogrammet,Matematik 4,38195284,"100,0"
Naturvetenskapsprogrammet,Matematik 4,97510495,..
Naturvetenskapsprogrammet,Matematik 4,36288955,..
Naturvetenskapsprogrammet,Matematik 4,88839172,..
Naturvetenskapsprogrammet,Matematik 4,95618280,"44,4"
Naturvetenskapsprogrammet,Matematik 4,26326048,"35,7"
Naturvetenskapsprogrammet,Matematik 4,37839488,"36,8"
Naturvetenskapsprogrammet,Matematik 4,59796774,.
Naturvetenskapsprogrammet,Matematik 4,73812226,"38,1"
Teknikprogrammet,Matematik 4,73812226,"60,0"
Naturvetenskapsprogrammet,Matematik 4,82964090,"2,7"
Naturvetenskapsprogrammet,Matematik 4,24339566,"15,8"
Naturvetenskapsprogrammet,Matematik 4,52333875,"31,0"
Naturvetenskapsprogrammet,Matematik 4,69543519,"31,6"
