program,provnamn,skol_kod,andel_f
Barn- och fritidsprogrammet,Engelska 5,19586169,.
Bygg- och anläggningsprogrammet,Engelska 5,19586169,.
El- och energiprogrammet,Engelska 5,19586169,..
Fordons- och transportprogrammet,Engelska 5,19586169,..
Handels- och administrationsprogrammet,Engelska 5,19586169,..
Hantverksprogrammet,Engelska 5,19586169,..
Vård- och omsorgsprogrammet,Engelska 5,19586169,..
Barn- och fritidsprogrammet,Engelska 5,24273261,.
Bygg- och anläggningsprogrammet,Engelska 5,24273261,.
Fordons- och transportprogrammet,Engelska 5,24273261,..
Handels- och administrationsprogrammet,Engelska 5,24273261,..
Industritekniska programmet,Engelska 5,24273261,..
VVS- och fastighetsprogrammet,Engelska 5,24273261,..
El- och energiprogrammet,Engelska 5,95683850,.
Industritekniska programmet,Engelska 5,95683850,..
Vård- och omsorgsprogrammet,Engelska 5,95683850,.
Barn- och fritidsprogrammet,Engelska 5,59455288,..
Bygg- och anläggningsprogrammet,Engelska 5,59455288,..
Handels- och administrationsprogrammet,Engelska 5,59455288,.
Naturbruksprogrammet,Engelska 5,59455288,..
Vård- och omsorgsprogrammet,Engelska 5,59455288,..
Naturbruksprogrammet,Engelska 5,82163292,..
Handels- och administrationsprogrammet,Engelska 5,25679488,..
Restaurang- och livsmedelsprogrammet,Engelska 5,25679488,..
Barn- och fritidsprogrammet,Engelska 5,25677996,..
Vård- och omsorgsprogrammet,Engelska 5,25677996,"60,0"
Bygg- och anläggningsprogrammet,Engelska 5,89888648,.
El- och energiprogrammet,Engelska 5,89888648,..
Fordons- och transportprogrammet,Engelska 5,89888648,..
VVS- och fastighetsprogrammet,Engelska 5,89888648,..
Fordons- och transportprogrammet,Engelska 5,90003262,..
Naturbruksprogrammet,Engelska 5,88163512,"12,2"
Handels- och administrationsprogrammet,Engelska 5,35063170,..
Industritekniska programmet,Engelska 5,35063170,..
Barn- och fritidsprogrammet,Engelska 5,31279294,..
Hantverksprogrammet,Engelska 5,31279294,..
Restaurang- och livsmedelsprogrammet,Engelska 5,31279294,.
Barn- och fritidsprogrammet,Engelska 5,36782335,..
Bygg- och anläggningsprogrammet,Engelska 5,36782335,..
El- och energiprogrammet,Engelska 5,36782335,.
Fordons- och transportprogrammet,Engelska 5,36782335,..
Handels- och administrationsprogrammet,Engelska 5,36782335,..
Naturbruksprogrammet,Engelska 5,36782335,..
Restaurang- och livsmedelsprogrammet,Engelska 5,36782335,.
Sjöfartsutbildningen,Engelska 5,36782335,.
VVS- och fastighetsprogrammet,Engelska 5,36782335,.
Vård- och omsorgsprogrammet,Engelska 5,36782335,.
Bygg- och anläggningsprogrammet,Engelska 5,20666515,..
VVS- och fastighetsprogrammet,Engelska 5,20666515,.
El- och energiprogrammet,Engelska 5,37906565,.
Handels- och administrationsprogrammet,Engelska 5,37906565,.
Vård- och omsorgsprogrammet,Engelska 5,37906565,..
Fordons- och transportprogrammet,Engelska 5,67279303,..
Industritekniska programmet,Engelska 5,67279303,..
Fordons- och transportprogrammet,Engelska 5,21648755,"31,6"
Handels- och administrationsprogrammet,Engelska 5,21648755,"21,2"
Hantverksprogrammet,Engelska 5,11111710,..
Barn- och fritidsprogrammet,Engelska 5,90551279,..
Bygg- och anläggningsprogrammet,Engelska 5,90551279,..
El- och energiprogrammet,Engelska 5,90551279,..
Hantverksprogrammet,Engelska 5,90551279,.
Industritekniska programmet,Engelska 5,90551279,.
Restaurang- och livsmedelsprogrammet,Engelska 5,90551279,.
VVS- och fastighetsprogrammet,Engelska 5,90551279,.
Vård- och omsorgsprogrammet,Engelska 5,90551279,..
Barn- och fritidsprogrammet,Engelska 5,93062368,"66,7"
Bygg- och anläggningsprogrammet,Engelska 5,93062368,..
Restaurang- och livsmedelsprogrammet,Engelska 5,93062368,..
VVS- och fastighetsprogrammet,Engelska 5,93062368,..
El- och energiprogrammet,Engelska 5,69686851,.
Hantverksprogrammet,Engelska 5,69686851,"17,5"
Naturbruksprogrammet,Engelska 5,69686851,..
Handels- och administrationsprogrammet,Engelska 5,49616977,..
Handels- och administrationsprogrammet,Engelska 5,72998905,"33,3"
Vård- och omsorgsprogrammet,Engelska 5,72998905,"26,7"
Handels- och administrationsprogrammet,Engelska 5,69481650,.
Bygg- och anläggningsprogrammet,Engelska 5,88153340,"11,1"
Bygg- och anläggningsprogrammet,Engelska 5,94353434,.
Hantverksprogrammet,Engelska 5,59396229,"9,7"
Naturbruksprogrammet,Engelska 5,95165649,..
Barn- och fritidsprogrammet,Engelska 5,69626109,..
El- och energiprogrammet,Engelska 5,85068812,..
Hantverksprogrammet,Engelska 5,36444853,.
El- och energiprogrammet,Engelska 5,16819383,"46,2"
Industritekniska programmet,Engelska 5,16819383,"66,7"
VVS- och fastighetsprogrammet,Engelska 5,16819383,..
Handels- och administrationsprogrammet,Engelska 5,12994441,.
Industritekniska programmet,Engelska 5,53660780,.
Handels- och administrationsprogrammet,Engelska 5,30086854,..
El- och energiprogrammet,Engelska 5,79094701,.
Handels- och administrationsprogrammet,Engelska 5,38684438,.
Vård- och omsorgsprogrammet,Engelska 5,35647481,"16,0"
Handels- och administrationsprogrammet,Engelska 5,73147554,.
Hantverksprogrammet,Engelska 5,65752105,.
Fordons- och transportprogrammet,Engelska 5,61880907,..
El- och energiprogrammet,Engelska 5,35006050,.
Handels- och administrationsprogrammet,Engelska 5,35006050,..
Bygg- och anläggningsprogrammet,Engelska 5,88886610,..
Barn- och fritidsprogrammet,Engelska 5,10638939,..
Handels- och administrationsprogrammet,Engelska 5,10638939,..
Bygg- och anläggningsprogrammet,Engelska 5,88556189,..
El- och energiprogrammet,Engelska 5,88556189,..
Fordons- och transportprogrammet,Engelska 5,88556189,..
Hantverksprogrammet,Engelska 5,88556189,..
Industritekniska programmet,Engelska 5,88556189,..
VVS- och fastighetsprogrammet,Engelska 5,88556189,..
Vård- och omsorgsprogrammet,Engelska 5,88556189,..
Naturbruksprogrammet,Engelska 5,35236491,..
El- och energiprogrammet,Engelska 5,34831349,..
Bygg- och anläggningsprogrammet,Engelska 5,63511898,..
El- och energiprogrammet,Engelska 5,63511898,..
Fordons- och transportprogrammet,Engelska 5,63511898,"46,7"
Handels- och administrationsprogrammet,Engelska 5,63511898,..
Hantverksprogrammet,Engelska 5,63511898,..
Industritekniska programmet,Engelska 5,63511898,..
VVS- och fastighetsprogrammet,Engelska 5,63511898,..
Vård- och omsorgsprogrammet,Engelska 5,63511898,..
Barn- och fritidsprogrammet,Engelska 5,72127035,..
Bygg- och anläggningsprogrammet,Engelska 5,72127035,..
El- och energiprogrammet,Engelska 5,72127035,..
Fordons- och transportprogrammet,Engelska 5,72127035,..
Industritekniska programmet,Engelska 5,72127035,..
Vård- och omsorgsprogrammet,Engelska 5,72127035,..
Fordons- och transportprogrammet,Engelska 5,70969714,..
Restaurang- och livsmedelsprogrammet,Engelska 5,70969714,..
VVS- och fastighetsprogrammet,Engelska 5,70969714,..
Barn- och fritidsprogrammet,Engelska 5,85003442,..
Vård- och omsorgsprogrammet,Engelska 5,85003442,..
Bygg- och anläggningsprogrammet,Engelska 5,22752398,..
El- och energiprogrammet,Engelska 5,22752398,..
Handels- och administrationsprogrammet,Engelska 5,71922787,"21,7"
Bygg- och anläggningsprogrammet,Engelska 5,31843016,.
Fordons- och transportprogrammet,Engelska 5,31843016,..
VVS- och fastighetsprogrammet,Engelska 5,31843016,..
Restaurang- och livsmedelsprogrammet,Engelska 5,74148070,.
Naturbruksprogrammet,Engelska 5,50696507,..
Hantverksprogrammet,Engelska 5,44653962,.
Vård- och omsorgsprogrammet,Engelska 5,44653962,.
El- och energiprogrammet,Engelska 5,81993306,..
Industritekniska programmet,Engelska 5,81993306,..
Bygg- och anläggningsprogrammet,Engelska 5,29097621,..
Fordons- och transportprogrammet,Engelska 5,29097621,..
Bygg- och anläggningsprogrammet,Engelska 5,87764775,..
Fordons- och transportprogrammet,Engelska 5,87764775,..
Hantverksprogrammet,Engelska 5,87764775,..
VVS- och fastighetsprogrammet,Engelska 5,87764775,.
Vård- och omsorgsprogrammet,Engelska 5,87764775,..
Vård- och omsorgsprogrammet,Engelska 5,48438396,..
Barn- och fritidsprogrammet,Engelska 5,98052678,..
Handels- och administrationsprogrammet,Engelska 5,44341171,.
Barn- och fritidsprogrammet,Engelska 5,32671805,..
Handels- och administrationsprogrammet,Engelska 5,32671805,..
Hantverksprogrammet,Engelska 5,32671805,..
Industritekniska programmet,Engelska 5,32671805,..
Restaurang- och livsmedelsprogrammet,Engelska 5,32671805,.
Vård- och omsorgsprogrammet,Engelska 5,32671805,.
Naturbruksprogrammet,Engelska 5,38448056,.
Barn- och fritidsprogrammet,Engelska 5,16313848,..
Bygg- och anläggningsprogrammet,Engelska 5,16313848,"12,5"
El- och energiprogrammet,Engelska 5,16313848,.
Fordons- och transportprogrammet,Engelska 5,16313848,"14,6"
Industritekniska programmet,Engelska 5,16313848,.
VVS- och fastighetsprogrammet,Engelska 5,16313848,.
Vård- och omsorgsprogrammet,Engelska 5,16313848,"14,3"
Handels- och administrationsprogrammet,Engelska 5,79606767,..
Bygg- och anläggningsprogrammet,Engelska 5,11294673,.
El- och energiprogrammet,Engelska 5,11294673,..
Handels- och administrationsprogrammet,Engelska 5,11294673,.
Vård- och omsorgsprogrammet,Engelska 5,11294673,..
Barn- och fritidsprogrammet,Engelska 5,86327236,.
Bygg- och anläggningsprogrammet,Engelska 5,86327236,.
Fordons- och transportprogrammet,Engelska 5,86327236,.
Handels- och administrationsprogrammet,Engelska 5,86327236,.
Handels- och administrationsprogrammet,Engelska 5,28398531,..
Hantverksprogrammet,Engelska 5,66335258,..
Vård- och omsorgsprogrammet,Engelska 5,66335258,..
Barn- och fritidsprogrammet,Engelska 5,54172830,..
Handels- och administrationsprogrammet,Engelska 5,54172830,..
Industritekniska programmet,Engelska 5,54172830,..
Fordons- och transportprogrammet,Engelska 5,86310217,..
Barn- och fritidsprogrammet,Engelska 5,77352223,"27,8"
Bygg- och anläggningsprogrammet,Engelska 5,77352223,.
El- och energiprogrammet,Engelska 5,77352223,..
Fordons- och transportprogrammet,Engelska 5,77352223,..
Handels- och administrationsprogrammet,Engelska 5,77352223,"29,4"
Hantverksprogrammet,Engelska 5,77352223,..
Restaurang- och livsmedelsprogrammet,Engelska 5,77352223,..
VVS- och fastighetsprogrammet,Engelska 5,77352223,..
Vård- och omsorgsprogrammet,Engelska 5,77352223,..
Naturbruksprogrammet,Engelska 5,83085136,.
Barn- och fritidsprogrammet,Engelska 5,75458014,..
Restaurang- och livsmedelsprogrammet,Engelska 5,65136104,.
El- och energiprogrammet,Engelska 5,79033948,..
Hantverksprogrammet,Engelska 5,44392995,..
Bygg- och anläggningsprogrammet,Engelska 5,69241230,..
El- och energiprogrammet,Engelska 5,69241230,..
Fordons- och transportprogrammet,Engelska 5,69241230,..
Hantverksprogrammet,Engelska 5,69241230,..
VVS- och fastighetsprogrammet,Engelska 5,69241230,..
Naturbruksprogrammet,Engelska 5,85544331,..
Bygg- och anläggningsprogrammet,Engelska 5,80327946,..
El- och energiprogrammet,Engelska 5,80327946,..
Fordons- och transportprogrammet,Engelska 5,80327946,"19,2"
Hantverksprogrammet,Engelska 5,80327946,.
Restaurang- och livsmedelsprogrammet,Engelska 5,80327946,.
VVS- och fastighetsprogrammet,Engelska 5,80327946,..
Vård- och omsorgsprogrammet,Engelska 5,78875918,..
Barn- och fritidsprogrammet,Engelska 5,78023197,"24,0"
Vård- och omsorgsprogrammet,Engelska 5,78023197,"24,0"
Bygg- och anläggningsprogrammet,Engelska 5,86385479,..
El- och energiprogrammet,Engelska 5,86385479,.
Industritekniska programmet,Engelska 5,86385479,..
Restaurang- och livsmedelsprogrammet,Engelska 5,86385479,..
VVS- och fastighetsprogrammet,Engelska 5,86385479,.
El- och energiprogrammet,Engelska 5,99838438,..
El- och energiprogrammet,Engelska 5,42859669,..
Handels- och administrationsprogrammet,Engelska 5,42859669,..
Hantverksprogrammet,Engelska 5,42859669,..
VVS- och fastighetsprogrammet,Engelska 5,42859669,.
Barn- och fritidsprogrammet,Engelska 5,70923626,"21,5"
Bygg- och anläggningsprogrammet,Engelska 5,70923626,..
Fordons- och transportprogrammet,Engelska 5,70923626,..
Restaurang- och livsmedelsprogrammet,Engelska 5,70923626,..
Vård- och omsorgsprogrammet,Engelska 5,70923626,..
Bygg- och anläggningsprogrammet,Engelska 5,92905347,..
El- och energiprogrammet,Engelska 5,92905347,.
Fordons- och transportprogrammet,Engelska 5,92905347,..
Handels- och administrationsprogrammet,Engelska 5,92905347,..
Hantverksprogrammet,Engelska 5,92905347,..
Industritekniska programmet,Engelska 5,92905347,..
VVS- och fastighetsprogrammet,Engelska 5,92905347,.
Vård- och omsorgsprogrammet,Engelska 5,92905347,..
El- och energiprogrammet,Engelska 5,99592025,.
Vård- och omsorgsprogrammet,Engelska 5,34247736,..
Bygg- och anläggningsprogrammet,Engelska 5,47550455,"16,3"
Handels- och administrationsprogrammet,Engelska 5,47550455,..
Industritekniska programmet,Engelska 5,47550455,.
Restaurang- och livsmedelsprogrammet,Engelska 5,47550455,..
El- och energiprogrammet,Engelska 5,30329172,.
Fordons- och transportprogrammet,Engelska 5,30329172,.
VVS- och fastighetsprogrammet,Engelska 5,30329172,.
Barn- och fritidsprogrammet,Engelska 5,76877530,.
Industritekniska programmet,Engelska 5,20620556,..
Restaurang- och livsmedelsprogrammet,Engelska 5,20620556,..
Fordons- och transportprogrammet,Engelska 5,17173461,..
Handels- och administrationsprogrammet,Engelska 5,17173461,..
Industritekniska programmet,Engelska 5,17173461,..
Barn- och fritidsprogrammet,Engelska 5,19560192,..
Restaurang- och livsmedelsprogrammet,Engelska 5,19560192,..
Sjöfartsutbildningen,Engelska 5,19560192,.
VVS- och fastighetsprogrammet,Engelska 5,19560192,.
Barn- och fritidsprogrammet,Engelska 5,98053087,..
El- och energiprogrammet,Engelska 5,98053087,..
Handels- och administrationsprogrammet,Engelska 5,98053087,..
Handels- och administrationsprogrammet,Engelska 5,92858957,"20,8"
Barn- och fritidsprogrammet,Engelska 5,46660042,..
Bygg- och anläggningsprogrammet,Engelska 5,46660042,..
El- och energiprogrammet,Engelska 5,46660042,.
Fordons- och transportprogrammet,Engelska 5,46660042,..
Industritekniska programmet,Engelska 5,46660042,..
Restaurang- och livsmedelsprogrammet,Engelska 5,46660042,..
Vård- och omsorgsprogrammet,Engelska 5,46660042,..
El- och energiprogrammet,Engelska 5,44113417,.
Bygg- och anläggningsprogrammet,Engelska 5,38917647,..
Fordons- och transportprogrammet,Engelska 5,38917647,..
El- och energiprogrammet,Engelska 5,39555838,..
Vård- och omsorgsprogrammet,Engelska 5,39555838,..
Barn- och fritidsprogrammet,Engelska 5,85214294,..
Vård- och omsorgsprogrammet,Engelska 5,85214294,.
Bygg- och anläggningsprogrammet,Engelska 5,82084961,.
El- och energiprogrammet,Engelska 5,82084961,.
VVS- och fastighetsprogrammet,Engelska 5,82084961,.
El- och energiprogrammet,Engelska 5,46162400,.
Industritekniska programmet,Engelska 5,46162400,.
Fordons- och transportprogrammet,Engelska 5,98369689,..
Bygg- och anläggningsprogrammet,Engelska 5,56529916,..
Hantverksprogrammet,Engelska 5,56529916,.
Restaurang- och livsmedelsprogrammet,Engelska 5,40810950,.
Vård- och omsorgsprogrammet,Engelska 5,40037982,..
VVS- och fastighetsprogrammet,Engelska 5,73829818,..
Handels- och administrationsprogrammet,Engelska 5,18881773,..
Hantverksprogrammet,Engelska 5,12279302,.
Vård- och omsorgsprogrammet,Engelska 5,12279302,..
Bygg- och anläggningsprogrammet,Engelska 5,17849518,..
Fordons- och transportprogrammet,Engelska 5,17849518,..
Barn- och fritidsprogrammet,Engelska 5,91984508,..
Naturbruksprogrammet,Engelska 5,78659008,"12,8"
Barn- och fritidsprogrammet,Engelska 5,12448823,..
El- och energiprogrammet,Engelska 5,12448823,.
Barn- och fritidsprogrammet,Engelska 5,40667807,..
Fordons- och transportprogrammet,Engelska 5,40667807,..
Vård- och omsorgsprogrammet,Engelska 5,40667807,.
Bygg- och anläggningsprogrammet,Engelska 5,18091973,..
El- och energiprogrammet,Engelska 5,18091973,..
Industritekniska programmet,Engelska 5,18091973,..
Naturbruksprogrammet,Engelska 5,18091973,..
Barn- och fritidsprogrammet,Engelska 5,40634612,.
El- och energiprogrammet,Engelska 5,40634612,.
Restaurang- och livsmedelsprogrammet,Engelska 5,66132676,..
Barn- och fritidsprogrammet,Engelska 5,80762863,"33,3"
Vård- och omsorgsprogrammet,Engelska 5,80762863,..
Hantverksprogrammet,Engelska 5,77688926,..
VVS- och fastighetsprogrammet,Engelska 5,14508922,.
Bygg- och anläggningsprogrammet,Engelska 5,69629086,..
El- och energiprogrammet,Engelska 5,69629086,..
Fordons- och transportprogrammet,Engelska 5,69629086,..
Naturbruksprogrammet,Engelska 5,88624631,..
Naturbruksprogrammet,Engelska 5,35390185,..
Hantverksprogrammet,Engelska 5,37358234,..
Bygg- och anläggningsprogrammet,Engelska 5,31657916,..
El- och energiprogrammet,Engelska 5,31657916,..
Fordons- och transportprogrammet,Engelska 5,31657916,..
Handels- och administrationsprogrammet,Engelska 5,31657916,..
Sjöfartsutbildningen,Engelska 5,31657916,..
Vård- och omsorgsprogrammet,Engelska 5,31657916,..
Handels- och administrationsprogrammet,Engelska 5,54606928,..
Fordons- och transportprogrammet,Engelska 5,46241804,..
El- och energiprogrammet,Engelska 5,42573391,.
Handels- och administrationsprogrammet,Engelska 5,42573391,.
Hantverksprogrammet,Engelska 5,42573391,.
Barn- och fritidsprogrammet,Engelska 5,64574972,..
Vård- och omsorgsprogrammet,Engelska 5,64574972,..
Bygg- och anläggningsprogrammet,Engelska 5,19741742,.
Restaurang- och livsmedelsprogrammet,Engelska 5,19741742,..
VVS- och fastighetsprogrammet,Engelska 5,19741742,.
El- och energiprogrammet,Engelska 5,29032715,.
Fordons- och transportprogrammet,Engelska 5,29032715,.
Vård- och omsorgsprogrammet,Engelska 5,48931433,..
Handels- och administrationsprogrammet,Engelska 5,97270136,..
Hantverksprogrammet,Engelska 5,97270136,.
Restaurang- och livsmedelsprogrammet,Engelska 5,97270136,.
El- och energiprogrammet,Engelska 5,19909435,.
Barn- och fritidsprogrammet,Engelska 5,30530571,..
Handels- och administrationsprogrammet,Engelska 5,30530571,..
Hantverksprogrammet,Engelska 5,30530571,..
Industritekniska programmet,Engelska 5,30530571,..
Restaurang- och livsmedelsprogrammet,Engelska 5,30530571,.
Barn- och fritidsprogrammet,Engelska 5,96024712,.
Hantverksprogrammet,Engelska 5,96024712,.
Vård- och omsorgsprogrammet,Engelska 5,96024712,..
Bygg- och anläggningsprogrammet,Engelska 5,40829056,..
Fordons- och transportprogrammet,Engelska 5,40829056,..
Handels- och administrationsprogrammet,Engelska 5,40829056,..
Hantverksprogrammet,Engelska 5,40829056,..
Naturbruksprogrammet,Engelska 5,40829056,..
