program,skolkod,andel_med_examen
nationella program,10129345,"98,9"
nationella program,17944628,"90,8"
nationella program,82826083,"96,9"
nationella program,94468610,"91,9"
nationella program,94090461,"93,3"
nationella program,12954099,"94,9"
nationella program,80931789,"95,3"
nationella program,84098842,"89,7"
nationella program,90473340,"93,5"
nationella program,26167236,"89,3"
nationella program,69807202,"91,9"
nationella program,64648904,"100,0"
nationella program,75939593,"94,2"
nationella program,63035915,"84,7"
nationella program,26324896,"87,0"
nationella program,56639389,"98,5"
nationella program,95700485,"95,2"
nationella program,51449748,"90,1"
nationella program,28267726,"94,0"
nationella program,28848709,"100,0"
nationella program,12613085,"94,0"
nationella program,53896162,"94,8"
nationella program,17779637,"85,1"
nationella program,11185244,"68,6"
nationella program,56211717,"90,0"
nationella program,66824652,"83,0"
nationella program,49168016,"96,6"
nationella program,32042066,"94,2"
nationella program,50821167,..
nationella program,71929526,"93,5"
nationella program,92814975,"90,0"
nationella program,60873719,"96,3"
nationella program,28085125,"87,5"
nationella program,28770304,"83,8"
nationella program,21938183,"94,2"
nationella program,78986228,.
nationella program,71472793,"93,5"
nationella program,64123241,"86,7"
nationella program,69063711,"100,0"
nationella program,77609073,"76,9"
nationella program,35894996,"84,8"
nationella program,12926770,"86,8"
nationella program,17119840,"93,9"
nationella program,68748767,"73,4"
nationella program,23548714,"69,8"
nationella program,48593439,"70,0"
nationella program,91773491,"65,7"
nationella program,30361243,"91,6"
nationella program,25596917,"90,6"
nationella program,65722876,"92,7"
nationella program,20984584,"89,5"
nationella program,52129378,"79,5"
nationella program,65381163,"74,3"
nationella program,98541468,"88,9"
nationella program,31155312,"64,0"
nationella program,25648215,"79,2"
nationella program,61823258,"87,5"
nationella program,84424083,"97,7"
nationella program,39178171,"86,2"
nationella program,49231191,"89,4"
nationella program,78231062,"99,2"
nationella program,79994304,..
nationella program,10481541,"87,7"
nationella program,68006362,"84,4"
nationella program,11608031,"88,2"
nationella program,86762103,"85,7"
nationella program,68381790,"92,8"
nationella program,13006857,"92,9"
nationella program,76007769,"100,0"
nationella program,16956086,"91,0"
nationella program,58187973,"95,0"
nationella program,88894245,"100,0"
nationella program,31870541,"94,7"
nationella program,71160225,"92,0"
nationella program,67752682,"100,0"
nationella program,47884009,"87,1"
nationella program,44672598,"95,4"
nationella program,75340089,"93,8"
nationella program,36670439,"84,6"
nationella program,22220001,"88,1"
nationella program,31822012,"83,2"
