program,skolkod,andel_minst_e_sam1
Nationella program,64574972,"96,9"
Nationella program,19741742,"93,4"
Nationella program,29032715,"97,8"
Nationella program,45830583,"100,0"
Nationella program,48931433,"100,0"
Nationella program,97270136,"96,6"
Nationella program,19909435,"100,0"
Nationella program,30530571,"98,6"
Nationella program,78839208,"100,0"
Nationella program,96024712,"100,0"
Nationella program,30458073,..
Nationella program,40829056,"100,0"
Nationella program,85800840,"100,0"
Nationella program,68920727,"100,0"
Nationella program,27115998,"99,4"
Nationella program,41867682,"92,3"
Nationella program,79516949,"100,0"
Nationella program,65662401,"100,0"
Nationella program,39583059,"91,3"
Nationella program,38645259,"96,9"
Nationella program,96684210,"98,3"
Nationella program,87207941,"100,0"
Nationella program,11673760,"95,3"
Nationella program,46574937,"96,6"
Nationella program,23836342,"100,0"
Nationella program,63791419,"92,6"
Nationella program,39805497,"91,7"
Nationella program,38400227,"99,0"
Nationella program,81619482,"100,0"
Nationella program,83829189,"85,4"
Nationella program,46145886,"100,0"
Nationella program,12395564,"100,0"
Nationella program,90006712,"100,0"
Nationella program,43649848,"100,0"
Nationella program,75344502,"95,0"
Nationella program,84247499,"95,9"
Nationella program,27041885,"100,0"
Nationella program,39149668,"98,6"
Nationella program,97064126,..
Nationella program,32580162,"95,7"
Nationella program,38233622,"100,0"
Nationella program,48722826,"98,3"
Nationella program,73063662,"96,8"
Nationella program,40766349,"100,0"
Nationella program,71571158,"90,6"
Nationella program,53691739,"100,0"
Nationella program,43251309,"100,0"
Nationella program,97596286,"92,9"
Nationella program,67554405,"99,4"
Nationella program,86473502,"100,0"
Nationella program,73944169,"100,0"
Nationella program,98239050,"100,0"
Nationella program,94455820,..
Nationella program,58368956,"88,1"
Nationella program,73567152,"94,3"
Nationella program,61547652,"100,0"
Nationella program,60209222,"98,3"
Nationella program,62104139,"100,0"
Nationella program,87034307,"96,6"
Nationella program,78872213,"100,0"
Nationella program,84286698,"92,3"
Nationella program,62490359,"92,3"
Nationella program,64725297,"75,9"
Nationella program,43362941,"87,0"
Nationella program,23350817,"100,0"
Nationella program,76860623,"100,0"
Nationella program,58191646,"98,9"
Nationella program,80405898,"100,0"
Nationella program,56021320,"100,0"
Nationella program,41358402,"92,0"
Nationella program,63179610,"100,0"
Nationella program,64569393,"97,7"
Nationella program,87262566,"73,2"
Nationella program,64160122,"100,0"
Nationella program,48217580,"97,9"
Nationella program,41844601,"98,3"
Nationella program,51620045,"94,9"
Nationella program,86888278,"100,0"
Nationella program,23457902,"100,0"
Nationella program,27597104,"100,0"
Nationella program,57397381,"96,2"
Nationella program,56947954,"99,4"
Nationella program,72022487,"96,9"
Nationella program,71512894,"96,8"
Nationella program,70969556,"95,0"
Nationella program,28248021,"89,6"
Nationella program,44417214,"99,2"
Nationella program,25025681,"97,1"
Nationella program,88776535,"98,8"
Nationella program,49488344,"92,7"
Nationella program,74408578,"93,8"
Nationella program,71043974,"98,9"
Nationella program,57777751,..
Nationella program,38732602,"100,0"
Nationella program,89807183,"100,0"
Nationella program,86724994,"97,6"
Nationella program,61161774,"99,3"
Nationella program,86158933,"94,7"
Nationella program,14102256,"100,0"
Nationella program,75082280,"92,9"
Nationella program,75914181,"90,3"
Nationella program,39302565,"100,0"
Nationella program,96818167,"100,0"
Nationella program,36072799,"96,2"
Nationella program,61432781,"95,8"
Nationella program,78287294,"100,0"
Nationella program,74316305,"94,3"
Nationella program,39096170,"94,1"
Nationella program,79527481,"96,3"
Nationella program,67300857,"100,0"
Nationella program,99279503,"92,9"
Nationella program,63653488,..
Nationella program,84476205,"100,0"
Nationella program,24544503,"97,4"
Nationella program,25392789,"100,0"
Nationella program,72109637,..
Nationella program,69240218,"97,7"
Nationella program,14057258,"100,0"
Nationella program,38460895,"100,0"
Nationella program,31199511,"98,7"
Nationella program,12934438,"99,5"
Nationella program,43313366,"100,0"
Nationella program,86787111,"100,0"
Nationella program,97868185,"100,0"
Nationella program,81551726,"66,7"
Nationella program,77823650,"100,0"
Nationella program,37550979,"100,0"
Nationella program,52634142,"83,9"
Nationella program,76195214,"98,5"
