program,provnamn,skol_kod,gnm_betp
hantverksprogrammet,svenska 1,88556189,..
industritekniska programmet,svenska 1,88556189,..
vvs- och fastighetsprogrammet,svenska 1,88556189,..
vård- och omsorgsprogrammet,svenska 1,88556189,"8,3"
naturbruksprogrammet,svenska 1,35236491,"12,7"
el- och energiprogrammet,svenska 1,34831349,"7,9"
bygg- och anläggningsprogrammet,svenska 1,63511898,"7,8"
el- och energiprogrammet,svenska 1,63511898,"10,7"
fordons- och transportprogrammet,svenska 1,63511898,..
handels- och administrationsprogrammet,svenska 1,63511898,"10,3"
hantverksprogrammet,svenska 1,63511898,"10,8"
hotell- och turismprogrammet,svenska 1,63511898,"14,0"
vvs- och fastighetsprogrammet,svenska 1,63511898,..
vård- och omsorgsprogrammet,svenska 1,63511898,"11,5"
barn- och fritidsprogrammet,svenska 1,72127035,"9,2"
bygg- och anläggningsprogrammet,svenska 1,72127035,"8,6"
el- och energiprogrammet,svenska 1,72127035,"5,4"
fordons- och transportprogrammet,svenska 1,72127035,..
industritekniska programmet,svenska 1,72127035,..
vård- och omsorgsprogrammet,svenska 1,72127035,..
fordons- och transportprogrammet,svenska 1,70969714,"8,8"
industritekniska programmet,svenska 1,70969714,"11,9"
restaurang- och livsmedelsprogrammet,svenska 1,70969714,..
barn- och fritidsprogrammet,svenska 1,85003442,"9,1"
vård- och omsorgsprogrammet,svenska 1,85003442,"13,9"
bygg- och anläggningsprogrammet,svenska 1,22752398,"9,6"
el- och energiprogrammet,svenska 1,22752398,"10,7"
handels- och administrationsprogrammet,svenska 1,71922787,"11,8"
restaurang- och livsmedelsprogrammet,svenska 1,74148070,"11,9"
naturbruksprogrammet,svenska 1,50696507,"13,5"
hantverksprogrammet,svenska 1,44653962,"14,8"
vård- och omsorgsprogrammet,svenska 1,44653962,"12,0"
el- och energiprogrammet,svenska 1,81993306,"12,5"
industritekniska programmet,svenska 1,81993306,"12,0"
bygg- och anläggningsprogrammet,svenska 1,29097621,"9,8"
fordons- och transportprogrammet,svenska 1,29097621,"12,8"
bygg- och anläggningsprogrammet,svenska 1,87764775,"5,0"
fordons- och transportprogrammet,svenska 1,87764775,"9,0"
hantverksprogrammet,svenska 1,87764775,"7,7"
vvs- och fastighetsprogrammet,svenska 1,87764775,..
vård- och omsorgsprogrammet,svenska 1,87764775,..
vård- och omsorgsprogrammet,svenska 1,48438396,"8,2"
barn- och fritidsprogrammet,svenska 1,98052678,"8,5"
handels- och administrationsprogrammet,svenska 1,44341171,"7,5"
hotell- och turismprogrammet,svenska 1,44341171,"9,3"
barn- och fritidsprogrammet,svenska 1,32671805,"11,3"
handels- och administrationsprogrammet,svenska 1,32671805,..
hantverksprogrammet,svenska 1,32671805,..
hotell- och turismprogrammet,svenska 1,32671805,..
industritekniska programmet,svenska 1,32671805,..
restaurang- och livsmedelsprogrammet,svenska 1,32671805,"12,2"
vård- och omsorgsprogrammet,svenska 1,32671805,"14,0"
naturbruksprogrammet,svenska 1,38448056,"12,9"
barn- och fritidsprogrammet,svenska 1,16313848,"10,5"
bygg- och anläggningsprogrammet,svenska 1,16313848,"7,6"
el- och energiprogrammet,svenska 1,16313848,"12,7"
fordons- och transportprogrammet,svenska 1,16313848,"8,9"
industritekniska programmet,svenska 1,16313848,"10,5"
vvs- och fastighetsprogrammet,svenska 1,16313848,"11,6"
vård- och omsorgsprogrammet,svenska 1,16313848,"11,3"
handels- och administrationsprogrammet,svenska 1,79606767,"11,4"
bygg- och anläggningsprogrammet,svenska 1,11294673,..
el- och energiprogrammet,svenska 1,11294673,"13,8"
handels- och administrationsprogrammet,svenska 1,11294673,..
vård- och omsorgsprogrammet,svenska 1,11294673,..
barn- och fritidsprogrammet,svenska 1,86327236,"11,0"
bygg- och anläggningsprogrammet,svenska 1,86327236,"9,1"
fordons- och transportprogrammet,svenska 1,86327236,"10,0"
handels- och administrationsprogrammet,svenska 1,86327236,..
industritekniska programmet,svenska 1,86327236,..
handels- och administrationsprogrammet,svenska 1,28398531,"8,8"
hotell- och turismprogrammet,svenska 1,28398531,"10,0"
hantverksprogrammet,svenska 1,66335258,"11,0"
vård- och omsorgsprogrammet,svenska 1,66335258,"9,5"
barn- och fritidsprogrammet,svenska 1,54172830,"10,1"
industritekniska programmet,svenska 1,54172830,"12,9"
fordons- och transportprogrammet,svenska 1,86310217,"9,5"
barn- och fritidsprogrammet,svenska 1,77352223,"9,8"
bygg- och anläggningsprogrammet,svenska 1,77352223,..
el- och energiprogrammet,svenska 1,77352223,..
fordons- och transportprogrammet,svenska 1,77352223,..
handels- och administrationsprogrammet,svenska 1,77352223,"9,3"
hantverksprogrammet,svenska 1,77352223,..
hotell- och turismprogrammet,svenska 1,77352223,"9,2"
restaurang- och livsmedelsprogrammet,svenska 1,77352223,..
vvs- och fastighetsprogrammet,svenska 1,77352223,"6,5"
vård- och omsorgsprogrammet,svenska 1,77352223,..
naturbruksprogrammet,svenska 1,83085136,"14,3"
barn- och fritidsprogrammet,svenska 1,75458014,"13,5"
restaurang- och livsmedelsprogrammet,svenska 1,65136104,"9,1"
vvs- och fastighetsprogrammet,svenska 1,65136104,"11,0"
el- och energiprogrammet,svenska 1,79033948,"11,3"
hantverksprogrammet,svenska 1,44392995,"11,6"
bygg- och anläggningsprogrammet,svenska 1,69241230,"4,6"
el- och energiprogrammet,svenska 1,69241230,"11,9"
fordons- och transportprogrammet,svenska 1,69241230,..
hantverksprogrammet,svenska 1,69241230,..
industritekniska programmet,svenska 1,69241230,..
vvs- och fastighetsprogrammet,svenska 1,69241230,"10,4"
bygg- och anläggningsprogrammet,svenska 1,80327946,"10,3"
el- och energiprogrammet,svenska 1,80327946,"11,1"
fordons- och transportprogrammet,svenska 1,80327946,"11,3"
hantverksprogrammet,svenska 1,80327946,"13,0"
hotell- och turismprogrammet,svenska 1,80327946,"12,7"
restaurang- och livsmedelsprogrammet,svenska 1,80327946,"11,6"
vvs- och fastighetsprogrammet,svenska 1,80327946,"9,8"
vård- och omsorgsprogrammet,svenska 1,78875918,"12,0"
barn- och fritidsprogrammet,svenska 1,78023197,"9,3"
vård- och omsorgsprogrammet,svenska 1,78023197,"12,5"
bygg- och anläggningsprogrammet,svenska 1,86385479,"7,5"
el- och energiprogrammet,svenska 1,86385479,"10,0"
industritekniska programmet,svenska 1,86385479,..
restaurang- och livsmedelsprogrammet,svenska 1,86385479,"6,5"
vvs- och fastighetsprogrammet,svenska 1,86385479,"10,0"
el- och energiprogrammet,svenska 1,99838438,"9,0"
el- och energiprogrammet,svenska 1,42859669,"9,0"
handels- och administrationsprogrammet,svenska 1,42859669,"9,9"
hantverksprogrammet,svenska 1,42859669,"8,4"
vvs- och fastighetsprogrammet,svenska 1,42859669,"9,1"
barn- och fritidsprogrammet,svenska 1,70923626,"5,0"
bygg- och anläggningsprogrammet,svenska 1,70923626,"5,3"
fordons- och transportprogrammet,svenska 1,70923626,"6,1"
hotell- och turismprogrammet,svenska 1,70923626,"7,3"
restaurang- och livsmedelsprogrammet,svenska 1,70923626,..
vård- och omsorgsprogrammet,svenska 1,70923626,"10,0"
bygg- och anläggningsprogrammet,svenska 1,92905347,"8,8"
el- och energiprogrammet,svenska 1,92905347,"12,1"
fordons- och transportprogrammet,svenska 1,92905347,..
handels- och administrationsprogrammet,svenska 1,92905347,"11,6"
hantverksprogrammet,svenska 1,92905347,"9,4"
industritekniska programmet,svenska 1,92905347,..
vvs- och fastighetsprogrammet,svenska 1,92905347,"6,0"
vård- och omsorgsprogrammet,svenska 1,92905347,"9,8"
el- och energiprogrammet,svenska 1,99592025,"11,7"
vård- och omsorgsprogrammet,svenska 1,34247736,"12,9"
bygg- och anläggningsprogrammet,svenska 1,47550455,"8,6"
handels- och administrationsprogrammet,svenska 1,47550455,"7,9"
hotell- och turismprogrammet,svenska 1,47550455,"12,5"
industritekniska programmet,svenska 1,47550455,"13,4"
restaurang- och livsmedelsprogrammet,svenska 1,47550455,"14,1"
el- och energiprogrammet,svenska 1,30329172,"12,2"
fordons- och transportprogrammet,svenska 1,30329172,"11,2"
vvs- och fastighetsprogrammet,svenska 1,30329172,"12,8"
barn- och fritidsprogrammet,svenska 1,76877530,"11,1"
industritekniska programmet,svenska 1,20620556,..
restaurang- och livsmedelsprogrammet,svenska 1,20620556,..
fordons- och transportprogrammet,svenska 1,17173461,"8,3"
handels- och administrationsprogrammet,svenska 1,17173461,..
industritekniska programmet,svenska 1,17173461,..
barn- och fritidsprogrammet,svenska 1,19560192,"6,7"
bygg- och anläggningsprogrammet,svenska 1,19560192,..
el- och energiprogrammet,svenska 1,19560192,..
fordons- och transportprogrammet,svenska 1,19560192,..
handels- och administrationsprogrammet,svenska 1,19560192,..
hantverksprogrammet,svenska 1,19560192,..
restaurang- och livsmedelsprogrammet,svenska 1,19560192,"10,4"
sjöfartsutbildningen,svenska 1,19560192,"11,8"
vvs- och fastighetsprogrammet,svenska 1,19560192,"11,7"
vård- och omsorgsprogrammet,svenska 1,19560192,"15,0"
barn- och fritidsprogrammet,svenska 1,98053087,"12,3"
el- och energiprogrammet,svenska 1,98053087,"10,5"
handels- och administrationsprogrammet,svenska 1,98053087,"12,0"
handels- och administrationsprogrammet,svenska 1,92858957,"11,6"
barn- och fritidsprogrammet,svenska 1,46660042,"10,0"
bygg- och anläggningsprogrammet,svenska 1,46660042,"7,5"
el- och energiprogrammet,svenska 1,46660042,"11,3"
fordons- och transportprogrammet,svenska 1,46660042,"8,8"
industritekniska programmet,svenska 1,46660042,..
restaurang- och livsmedelsprogrammet,svenska 1,46660042,"7,2"
vård- och omsorgsprogrammet,svenska 1,46660042,"12,1"
el- och energiprogrammet,svenska 1,44113417,"8,9"
bygg- och anläggningsprogrammet,svenska 1,38917647,..
fordons- och transportprogrammet,svenska 1,38917647,..
el- och energiprogrammet,svenska 1,39555838,"2,9"
vård- och omsorgsprogrammet,svenska 1,39555838,..
barn- och fritidsprogrammet,svenska 1,85214294,"12,5"
vård- och omsorgsprogrammet,svenska 1,85214294,"12,2"
bygg- och anläggningsprogrammet,svenska 1,82084961,"8,7"
el- och energiprogrammet,svenska 1,82084961,"9,5"
vvs- och fastighetsprogrammet,svenska 1,82084961,"9,2"
el- och energiprogrammet,svenska 1,46162400,"10,8"
industritekniska programmet,svenska 1,46162400,"10,3"
fordons- och transportprogrammet,svenska 1,98369689,"10,6"
bygg- och anläggningsprogrammet,svenska 1,56529916,"10,1"
hantverksprogrammet,svenska 1,56529916,"10,5"
restaurang- och livsmedelsprogrammet,svenska 1,40810950,"10,7"
vvs- och fastighetsprogrammet,svenska 1,73829818,"8,5"
handels- och administrationsprogrammet,svenska 1,18881773,"10,8"
bygg- och anläggningsprogrammet,svenska 1,17849518,..
fordons- och transportprogrammet,svenska 1,17849518,..
restaurang- och livsmedelsprogrammet,svenska 1,17849518,..
handels- och administrationsprogrammet,svenska 1,94570025,"11,2"
barn- och fritidsprogrammet,svenska 1,91984508,"11,2"
naturbruksprogrammet,svenska 1,78659008,"13,2"
barn- och fritidsprogrammet,svenska 1,12448823,..
el- och energiprogrammet,svenska 1,12448823,"7,9"
barn- och fritidsprogrammet,svenska 1,40667807,"8,0"
fordons- och transportprogrammet,svenska 1,40667807,"6,5"
vård- och omsorgsprogrammet,svenska 1,40667807,"12,1"
bygg- och anläggningsprogrammet,svenska 1,18091973,"8,8"
el- och energiprogrammet,svenska 1,18091973,..
industritekniska programmet,svenska 1,18091973,"10,0"
naturbruksprogrammet,svenska 1,18091973,"9,4"
barn- och fritidsprogrammet,svenska 1,40634612,"11,0"
el- och energiprogrammet,svenska 1,40634612,"12,5"
hotell- och turismprogrammet,svenska 1,62439199,"11,8"
restaurang- och livsmedelsprogrammet,svenska 1,66132676,"9,8"
barn- och fritidsprogrammet,svenska 1,80762863,"10,6"
vård- och omsorgsprogrammet,svenska 1,80762863,"13,5"
hantverksprogrammet,svenska 1,77688926,"11,3"
vvs- och fastighetsprogrammet,svenska 1,14508922,"11,8"
bygg- och anläggningsprogrammet,svenska 1,69629086,"11,4"
el- och energiprogrammet,svenska 1,69629086,"10,1"
fordons- och transportprogrammet,svenska 1,69629086,"8,8"
naturbruksprogrammet,svenska 1,88624631,"11,9"
naturbruksprogrammet,svenska 1,35390185,"8,5"
hantverksprogrammet,svenska 1,37358234,..
barn- och fritidsprogrammet,svenska 1,31657916,..
bygg- och anläggningsprogrammet,svenska 1,31657916,..
el- och energiprogrammet,svenska 1,31657916,..
fordons- och transportprogrammet,svenska 1,31657916,..
handels- och administrationsprogrammet,svenska 1,31657916,..
sjöfartsutbildningen,svenska 1,31657916,..
vård- och omsorgsprogrammet,svenska 1,31657916,..
handels- och administrationsprogrammet,svenska 1,54606928,"12,0"
fordons- och transportprogrammet,svenska 1,46241804,"11,8"
el- och energiprogrammet,svenska 1,42573391,"12,0"
handels- och administrationsprogrammet,svenska 1,42573391,"12,1"
hantverksprogrammet,svenska 1,42573391,"12,8"
barn- och fritidsprogrammet,svenska 1,64574972,"11,1"
vård- och omsorgsprogrammet,svenska 1,64574972,"10,8"
bygg- och anläggningsprogrammet,svenska 1,19741742,"11,4"
hotell- och turismprogrammet,svenska 1,19741742,..
restaurang- och livsmedelsprogrammet,svenska 1,19741742,"8,8"
vvs- och fastighetsprogrammet,svenska 1,19741742,"12,0"
el- och energiprogrammet,svenska 1,29032715,"11,3"
fordons- och transportprogrammet,svenska 1,29032715,"12,1"
vård- och omsorgsprogrammet,svenska 1,48931433,"12,1"
handels- och administrationsprogrammet,svenska 1,97270136,"4,4"
hantverksprogrammet,svenska 1,97270136,"11,8"
restaurang- och livsmedelsprogrammet,svenska 1,97270136,"9,6"
el- och energiprogrammet,svenska 1,19909435,"12,7"
fordons- och transportprogrammet,svenska 1,19909435,..
vvs- och fastighetsprogrammet,svenska 1,19909435,"6,8"
barn- och fritidsprogrammet,svenska 1,30530571,"12,0"
handels- och administrationsprogrammet,svenska 1,30530571,"9,6"
hantverksprogrammet,svenska 1,30530571,..
hotell- och turismprogrammet,svenska 1,30530571,..
industritekniska programmet,svenska 1,30530571,"7,2"
restaurang- och livsmedelsprogrammet,svenska 1,30530571,"10,9"
barn- och fritidsprogrammet,svenska 1,96024712,"11,6"
hantverksprogrammet,svenska 1,96024712,"8,4"
vård- och omsorgsprogrammet,svenska 1,96024712,"10,5"
bygg- och anläggningsprogrammet,svenska 1,40829056,..
fordons- och transportprogrammet,svenska 1,40829056,..
handels- och administrationsprogrammet,svenska 1,40829056,"6,3"
hantverksprogrammet,svenska 1,40829056,"10,5"
naturbruksprogrammet,svenska 1,40829056,..
bygg- och anläggningsprogrammet,svenska 1,85800840,"7,8"
el- och energiprogrammet,svenska 1,85800840,"11,3"
fordons- och transportprogrammet,svenska 1,85800840,"11,7"
vvs- och fastighetsprogrammet,svenska 1,85800840,"8,3"
barn- och fritidsprogrammet,svenska 1,27115998,"11,9"
el- och energiprogrammet,svenska 1,27115998,"12,3"
el- och energiprogrammet,svenska 1,41867682,"8,4"
naturbruksprogrammet,svenska 1,65662401,"12,5"
barn- och fritidsprogrammet,svenska 1,39583059,"10,2"
bygg- och anläggningsprogrammet,svenska 1,39583059,"12,4"
el- och energiprogrammet,svenska 1,39583059,"9,2"
fordons- och transportprogrammet,svenska 1,39583059,"11,4"
hantverksprogrammet,svenska 1,39583059,"12,0"
vvs- och fastighetsprogrammet,svenska 1,39583059,"11,2"
barn- och fritidsprogrammet,svenska 1,38645259,"12,3"
bygg- och anläggningsprogrammet,svenska 1,38645259,..
el- och energiprogrammet,svenska 1,38645259,"10,0"
fordons- och transportprogrammet,svenska 1,38645259,..
handels- och administrationsprogrammet,svenska 1,38645259,..
industritekniska programmet,svenska 1,38645259,..
vvs- och fastighetsprogrammet,svenska 1,38645259,..
vård- och omsorgsprogrammet,svenska 1,38645259,"8,3"
handels- och administrationsprogrammet,svenska 1,87207941,"12,4"
handels- och administrationsprogrammet,svenska 1,11673760,"9,5"
hotell- och turismprogrammet,svenska 1,11673760,"13,8"
restaurang- och livsmedelsprogrammet,svenska 1,11673760,"11,3"
vård- och omsorgsprogrammet,svenska 1,11673760,"12,2"
el- och energiprogrammet,svenska 1,63791419,"10,9"
vård- och omsorgsprogrammet,svenska 1,63791419,"10,5"
bygg- och anläggningsprogrammet,svenska 1,39805497,"9,9"
fordons- och transportprogrammet,svenska 1,39805497,"7,5"
industritekniska programmet,svenska 1,39805497,..
handels- och administrationsprogrammet,svenska 1,38400227,"10,7"
hotell- och turismprogrammet,svenska 1,38400227,..
restaurang- och livsmedelsprogrammet,svenska 1,38400227,"10,9"
vvs- och fastighetsprogrammet,svenska 1,38400227,"11,1"
fordons- och transportprogrammet,svenska 1,83829189,"11,8"
hotell- och turismprogrammet,svenska 1,83829189,"12,0"
industritekniska programmet,svenska 1,83829189,"10,8"
restaurang- och livsmedelsprogrammet,svenska 1,83829189,..
barn- och fritidsprogrammet,svenska 1,46145886,"9,7"
bygg- och anläggningsprogrammet,svenska 1,46145886,"10,3"
el- och energiprogrammet,svenska 1,46145886,"11,2"
hantverksprogrammet,svenska 1,46145886,"11,0"
vård- och omsorgsprogrammet,svenska 1,46145886,"10,2"
flygteknikutbildningen,svenska 1,43649848,"12,6"
naturbruksprogrammet,svenska 1,75344502,"12,1"
bygg- och anläggningsprogrammet,svenska 1,84247499,"8,9"
el- och energiprogrammet,svenska 1,84247499,"10,0"
fordons- och transportprogrammet,svenska 1,84247499,"9,4"
barn- och fritidsprogrammet,svenska 1,27041885,"9,0"
handels- och administrationsprogrammet,svenska 1,27041885,"11,9"
vård- och omsorgsprogrammet,svenska 1,27041885,"8,8"
vård- och omsorgsprogrammet,svenska 1,97064126,..
naturbruksprogrammet,svenska 1,32580162,"12,9"
barn- och fritidsprogrammet,svenska 1,48722826,"9,7"
el- och energiprogrammet,svenska 1,48722826,"9,0"
fordons- och transportprogrammet,svenska 1,48722826,"9,0"
hantverksprogrammet,svenska 1,48722826,"10,8"
industritekniska programmet,svenska 1,48722826,..
bygg- och anläggningsprogrammet,svenska 1,71571158,..
el- och energiprogrammet,svenska 1,53691739,"9,2"
barn- och fritidsprogrammet,svenska 1,97596286,"10,5"
hantverksprogrammet,svenska 1,97596286,"10,5"
vård- och omsorgsprogrammet,svenska 1,97596286,"10,4"
barn- och fritidsprogrammet,svenska 1,67554405,"12,5"
handels- och administrationsprogrammet,svenska 1,67554405,"11,7"
hantverksprogrammet,svenska 1,67554405,"11,5"
vård- och omsorgsprogrammet,svenska 1,67554405,"12,2"
bygg- och anläggningsprogrammet,svenska 1,86473502,..
handels- och administrationsprogrammet,svenska 1,86473502,..
hantverksprogrammet,svenska 1,86473502,"9,0"
naturbruksprogrammet,svenska 1,86473502,..
vvs- och fastighetsprogrammet,svenska 1,86473502,..
vård- och omsorgsprogrammet,svenska 1,86473502,..
handels- och administrationsprogrammet,svenska 1,98239050,"8,8"
bygg- och anläggningsprogrammet,svenska 1,58368956,"10,1"
fordons- och transportprogrammet,svenska 1,73567152,"10,3"
vvs- och fastighetsprogrammet,svenska 1,73567152,"2,1"
naturbruksprogrammet,svenska 1,61547652,"10,2"
el- och energiprogrammet,svenska 1,60209222,"9,1"
industritekniska programmet,svenska 1,60209222,..
restaurang- och livsmedelsprogrammet,svenska 1,60209222,"10,4"
hotell- och turismprogrammet,svenska 1,62104139,"11,9"
el- och energiprogrammet,svenska 1,78872213,"11,9"
handels- och administrationsprogrammet,svenska 1,78872213,..
fordons- och transportprogrammet,svenska 1,84286698,"12,7"
industritekniska programmet,svenska 1,84286698,"11,6"
vård- och omsorgsprogrammet,svenska 1,84286698,..
naturbruksprogrammet,svenska 1,62490359,"11,8"
naturbruksprogrammet,svenska 1,64725297,"9,7"
naturbruksprogrammet,svenska 1,43362941,"13,8"
barn- och fritidsprogrammet,svenska 1,23350817,..
bygg- och anläggningsprogrammet,svenska 1,23350817,..
fordons- och transportprogrammet,svenska 1,23350817,..
handels- och administrationsprogrammet,svenska 1,23350817,"8,3"
restaurang- och livsmedelsprogrammet,svenska 1,23350817,..
vård- och omsorgsprogrammet,svenska 1,76860623,"7,3"
barn- och fritidsprogrammet,svenska 1,56021320,"11,9"
bygg- och anläggningsprogrammet,svenska 1,41358402,"9,7"
hantverksprogrammet,svenska 1,64569393,"12,0"
bygg- och anläggningsprogrammet,svenska 1,87262566,"11,1"
fordons- och transportprogrammet,svenska 1,87262566,..
industritekniska programmet,svenska 1,87262566,"8,2"
handels- och administrationsprogrammet,svenska 1,41844601,"9,5"
hotell- och turismprogrammet,svenska 1,41844601,"11,7"
el- och energiprogrammet,svenska 1,51620045,"10,2"
barn- och fritidsprogrammet,svenska 1,23457902,..
bygg- och anläggningsprogrammet,svenska 1,23457902,"7,5"
handels- och administrationsprogrammet,svenska 1,23457902,..
hantverksprogrammet,svenska 1,23457902,..
naturbruksprogrammet,svenska 1,23457902,..
vvs- och fastighetsprogrammet,svenska 1,23457902,..
naturbruksprogrammet,svenska 1,27597104,"12,5"
barn- och fritidsprogrammet,svenska 1,57397381,"12,2"
handels- och administrationsprogrammet,svenska 1,57397381,"8,8"
vård- och omsorgsprogrammet,svenska 1,57397381,"14,8"
bygg- och anläggningsprogrammet,svenska 1,56947954,"8,2"
el- och energiprogrammet,svenska 1,56947954,"11,7"
fordons- och transportprogrammet,svenska 1,56947954,"10,9"
industritekniska programmet,svenska 1,56947954,"9,7"
barn- och fritidsprogrammet,svenska 1,72022487,"7,7"
bygg- och anläggningsprogrammet,svenska 1,72022487,"9,8"
el- och energiprogrammet,svenska 1,72022487,"9,0"
fordons- och transportprogrammet,svenska 1,72022487,"8,2"
handels- och administrationsprogrammet,svenska 1,72022487,"9,3"
industritekniska programmet,svenska 1,72022487,"6,8"
restaurang- och livsmedelsprogrammet,svenska 1,72022487,"8,6"
vvs- och fastighetsprogrammet,svenska 1,72022487,"7,1"
vård- och omsorgsprogrammet,svenska 1,72022487,"10,6"
barn- och fritidsprogrammet,svenska 1,70969556,"10,3"
el- och energiprogrammet,svenska 1,70969556,"12,1"
fordons- och transportprogrammet,svenska 1,70969556,..
hotell- och turismprogrammet,svenska 1,70969556,"11,1"
vård- och omsorgsprogrammet,svenska 1,70969556,..
barn- och fritidsprogrammet,svenska 1,28248021,"10,0"
bygg- och anläggningsprogrammet,svenska 1,28248021,"9,4"
el- och energiprogrammet,svenska 1,28248021,..
vård- och omsorgsprogrammet,svenska 1,28248021,..
barn- och fritidsprogrammet,svenska 1,44417214,"10,7"
handels- och administrationsprogrammet,svenska 1,44417214,"8,0"
hantverksprogrammet,svenska 1,44417214,..
restaurang- och livsmedelsprogrammet,svenska 1,44417214,"11,1"
vvs- och fastighetsprogrammet,svenska 1,44417214,..
vård- och omsorgsprogrammet,svenska 1,44417214,..
barn- och fritidsprogrammet,svenska 1,25025681,"11,3"
handels- och administrationsprogrammet,svenska 1,49488344,"9,4"
bygg- och anläggningsprogrammet,svenska 1,74408578,"9,8"
el- och energiprogrammet,svenska 1,74408578,"10,9"
bygg- och anläggningsprogrammet,svenska 1,86724994,"11,5"
el- och energiprogrammet,svenska 1,86724994,"12,1"
fordons- och transportprogrammet,svenska 1,86724994,"8,9"
industritekniska programmet,svenska 1,86724994,"10,0"
vvs- och fastighetsprogrammet,svenska 1,86724994,"10,9"
hantverksprogrammet,svenska 1,86158933,"10,3"
restaurang- och livsmedelsprogrammet,svenska 1,86158933,"8,1"
barn- och fritidsprogrammet,svenska 1,14102256,"9,9"
handels- och administrationsprogrammet,svenska 1,14102256,"11,4"
hotell- och turismprogrammet,svenska 1,14102256,"12,7"
vård- och omsorgsprogrammet,svenska 1,14102256,"12,9"
barn- och fritidsprogrammet,svenska 1,75082280,"10,4"
restaurang- och livsmedelsprogrammet,svenska 1,75082280,"8,0"
vård- och omsorgsprogrammet,svenska 1,75914181,"10,5"
bygg- och anläggningsprogrammet,svenska 1,39302565,"7,5"
el- och energiprogrammet,svenska 1,39302565,"11,5"
fordons- och transportprogrammet,svenska 1,39302565,"8,9"
hantverksprogrammet,svenska 1,36072799,"12,3"
restaurang- och livsmedelsprogrammet,svenska 1,36072799,..
bygg- och anläggningsprogrammet,svenska 1,61432781,"9,1"
fordons- och transportprogrammet,svenska 1,61432781,..
fordons- och transportprogrammet,svenska 1,78287294,..
restaurang- och livsmedelsprogrammet,svenska 1,78287294,"10,1"
vvs- och fastighetsprogrammet,svenska 1,78287294,"11,2"
el- och energiprogrammet,svenska 1,74316305,"10,1"
flygteknikutbildningen,svenska 1,74316305,"9,4"
barn- och fritidsprogrammet,svenska 1,39096170,"7,4"
vård- och omsorgsprogrammet,svenska 1,99279503,"11,1"
vård- och omsorgsprogrammet,svenska 1,70412563,"15,6"
el- och energiprogrammet,svenska 1,72109637,"9,1"
industritekniska programmet,svenska 1,72109637,..
barn- och fritidsprogrammet,svenska 1,69240218,"9,6"
bygg- och anläggningsprogrammet,svenska 1,14057258,"12,1"
fordons- och transportprogrammet,svenska 1,14057258,"8,2"
handels- och administrationsprogrammet,svenska 1,43313366,"10,5"
el- och energiprogrammet,svenska 1,97868185,..
bygg- och anläggningsprogrammet,svenska 1,81551726,"12,5"
el- och energiprogrammet,svenska 1,81551726,..
fordons- och transportprogrammet,svenska 1,81551726,..
hantverksprogrammet,svenska 1,81551726,..
vvs- och fastighetsprogrammet,svenska 1,81551726,..
el- och energiprogrammet,svenska 1,77823650,"10,0"
naturbruksprogrammet,svenska 1,77823650,"14,1"
handels- och administrationsprogrammet,svenska 1,37550979,"13,2"
fordons- och transportprogrammet,svenska 1,52634142,"9,5"
naturbruksprogrammet,svenska 1,52634142,"9,9"
bygg- och anläggningsprogrammet,svenska 1,76195214,"8,9"
el- och energiprogrammet,svenska 1,76195214,"11,1"
fordons- och transportprogrammet,svenska 1,76195214,"10,0"
handels- och administrationsprogrammet,svenska 1,76195214,"11,4"
hantverksprogrammet,svenska 1,76195214,"12,5"
vvs- och fastighetsprogrammet,svenska 1,76195214,"9,3"
vård- och omsorgsprogrammet,svenska 1,76195214,..
naturbruksprogrammet,svenska 1,32705515,"12,7"
restaurang- och livsmedelsprogrammet,svenska 1,32705515,"12,5"
barn- och fritidsprogrammet,svenska 1,60214465,"12,5"
handels- och administrationsprogrammet,svenska 1,60214465,"11,8"
bygg- och anläggningsprogrammet,svenska 1,70137084,"10,1"
el- och energiprogrammet,svenska 1,70137084,"8,6"
fordons- och transportprogrammet,svenska 1,70137084,"3,3"
industritekniska programmet,svenska 1,82002016,"11,3"
vård- och omsorgsprogrammet,svenska 1,21901328,"11,6"
barn- och fritidsprogrammet,svenska 1,23306658,"9,3"
industritekniska programmet,svenska 1,23306658,"7,0"
naturbruksprogrammet,svenska 1,23306658,"10,0"
vård- och omsorgsprogrammet,svenska 1,23306658,"12,0"
bygg- och anläggningsprogrammet,svenska 1,57350392,"6,3"
hantverksprogrammet,svenska 1,57350392,..
handels- och administrationsprogrammet,svenska 1,11102578,"12,1"
el- och energiprogrammet,svenska 1,69306209,"11,3"
industritekniska programmet,svenska 1,69306209,"5,7"
bygg- och anläggningsprogrammet,svenska 1,92651253,"7,7"
fordons- och transportprogrammet,svenska 1,92651253,"7,7"
restaurang- och livsmedelsprogrammet,svenska 1,31740319,"11,6"
vård- och omsorgsprogrammet,svenska 1,31740319,"12,9"
hantverksprogrammet,svenska 1,17944628,"13,4"
bygg- och anläggningsprogrammet,svenska 1,82826083,"12,3"
vvs- och fastighetsprogrammet,svenska 1,82826083,"11,8"
barn- och fritidsprogrammet,svenska 1,94090461,"12,6"
industritekniska programmet,svenska 1,12954099,"12,3"
el- och energiprogrammet,svenska 1,80931789,"10,6"
flygteknikutbildningen,svenska 1,84098842,"10,3"
handels- och administrationsprogrammet,svenska 1,84098842,"12,3"
hotell- och turismprogrammet,svenska 1,84098842,"13,3"
