program,provnamn,skol_kod,gnm_betp
fordons- och transportprogrammet,engelska 5,72127035,..
industritekniska programmet,engelska 5,72127035,"7,0"
vård- och omsorgsprogrammet,engelska 5,72127035,"5,7"
fordons- och transportprogrammet,engelska 5,70969714,"9,7"
restaurang- och livsmedelsprogrammet,engelska 5,70969714,..
vvs- och fastighetsprogrammet,engelska 5,70969714,..
barn- och fritidsprogrammet,engelska 5,85003442,"10,7"
vård- och omsorgsprogrammet,engelska 5,85003442,"12,9"
bygg- och anläggningsprogrammet,engelska 5,22752398,"11,7"
el- och energiprogrammet,engelska 5,22752398,"12,6"
handels- och administrationsprogrammet,engelska 5,71922787,"9,8"
bygg- och anläggningsprogrammet,engelska 5,31843016,"11,6"
fordons- och transportprogrammet,engelska 5,31843016,..
vvs- och fastighetsprogrammet,engelska 5,31843016,..
restaurang- och livsmedelsprogrammet,engelska 5,74148070,"11,4"
naturbruksprogrammet,engelska 5,50696507,"13,3"
hantverksprogrammet,engelska 5,44653962,"14,6"
vård- och omsorgsprogrammet,engelska 5,44653962,"14,0"
el- och energiprogrammet,engelska 5,81993306,"13,1"
industritekniska programmet,engelska 5,81993306,"10,0"
bygg- och anläggningsprogrammet,engelska 5,29097621,"12,1"
fordons- och transportprogrammet,engelska 5,29097621,"12,1"
bygg- och anläggningsprogrammet,engelska 5,87764775,..
fordons- och transportprogrammet,engelska 5,87764775,"9,1"
hantverksprogrammet,engelska 5,87764775,"9,6"
vvs- och fastighetsprogrammet,engelska 5,87764775,"13,3"
vård- och omsorgsprogrammet,engelska 5,87764775,"2,0"
vård- och omsorgsprogrammet,engelska 5,48438396,"10,5"
barn- och fritidsprogrammet,engelska 5,98052678,"12,6"
handels- och administrationsprogrammet,engelska 5,44341171,"12,4"
barn- och fritidsprogrammet,engelska 5,32671805,"11,1"
handels- och administrationsprogrammet,engelska 5,32671805,..
hantverksprogrammet,engelska 5,32671805,..
industritekniska programmet,engelska 5,32671805,..
restaurang- och livsmedelsprogrammet,engelska 5,32671805,"13,8"
vård- och omsorgsprogrammet,engelska 5,32671805,"13,9"
naturbruksprogrammet,engelska 5,38448056,"15,2"
barn- och fritidsprogrammet,engelska 5,16313848,"12,7"
bygg- och anläggningsprogrammet,engelska 5,16313848,"10,4"
el- och energiprogrammet,engelska 5,16313848,"16,2"
fordons- och transportprogrammet,engelska 5,16313848,"11,5"
industritekniska programmet,engelska 5,16313848,"15,0"
vvs- och fastighetsprogrammet,engelska 5,16313848,"13,0"
vård- och omsorgsprogrammet,engelska 5,16313848,"11,2"
handels- och administrationsprogrammet,engelska 5,79606767,"9,5"
bygg- och anläggningsprogrammet,engelska 5,11294673,"12,5"
el- och energiprogrammet,engelska 5,11294673,"14,2"
handels- och administrationsprogrammet,engelska 5,11294673,"11,3"
vård- och omsorgsprogrammet,engelska 5,11294673,"10,0"
barn- och fritidsprogrammet,engelska 5,86327236,"12,5"
bygg- och anläggningsprogrammet,engelska 5,86327236,"14,7"
fordons- och transportprogrammet,engelska 5,86327236,"13,2"
handels- och administrationsprogrammet,engelska 5,86327236,"14,0"
handels- och administrationsprogrammet,engelska 5,28398531,"13,3"
hantverksprogrammet,engelska 5,66335258,"11,3"
vård- och omsorgsprogrammet,engelska 5,66335258,"12,2"
barn- och fritidsprogrammet,engelska 5,54172830,"10,7"
handels- och administrationsprogrammet,engelska 5,54172830,..
industritekniska programmet,engelska 5,54172830,"12,5"
fordons- och transportprogrammet,engelska 5,86310217,"10,2"
barn- och fritidsprogrammet,engelska 5,77352223,"8,3"
bygg- och anläggningsprogrammet,engelska 5,77352223,"12,5"
el- och energiprogrammet,engelska 5,77352223,..
fordons- och transportprogrammet,engelska 5,77352223,..
handels- och administrationsprogrammet,engelska 5,77352223,"7,5"
hantverksprogrammet,engelska 5,77352223,..
restaurang- och livsmedelsprogrammet,engelska 5,77352223,..
vvs- och fastighetsprogrammet,engelska 5,77352223,"11,0"
vård- och omsorgsprogrammet,engelska 5,77352223,"8,5"
naturbruksprogrammet,engelska 5,83085136,"14,1"
barn- och fritidsprogrammet,engelska 5,75458014,"13,8"
restaurang- och livsmedelsprogrammet,engelska 5,65136104,"13,4"
el- och energiprogrammet,engelska 5,79033948,"14,6"
hantverksprogrammet,engelska 5,44392995,"11,3"
bygg- och anläggningsprogrammet,engelska 5,69241230,"8,3"
el- och energiprogrammet,engelska 5,69241230,"9,3"
fordons- och transportprogrammet,engelska 5,69241230,..
hantverksprogrammet,engelska 5,69241230,..
vvs- och fastighetsprogrammet,engelska 5,69241230,"5,6"
naturbruksprogrammet,engelska 5,85544331,"13,0"
bygg- och anläggningsprogrammet,engelska 5,80327946,"12,6"
el- och energiprogrammet,engelska 5,80327946,"12,9"
fordons- och transportprogrammet,engelska 5,80327946,"10,0"
hantverksprogrammet,engelska 5,80327946,"14,2"
restaurang- och livsmedelsprogrammet,engelska 5,80327946,"14,1"
vvs- och fastighetsprogrammet,engelska 5,80327946,"12,4"
vård- och omsorgsprogrammet,engelska 5,78875918,"11,3"
barn- och fritidsprogrammet,engelska 5,78023197,"10,2"
vård- och omsorgsprogrammet,engelska 5,78023197,"9,7"
bygg- och anläggningsprogrammet,engelska 5,86385479,"9,6"
el- och energiprogrammet,engelska 5,86385479,"15,4"
industritekniska programmet,engelska 5,86385479,..
restaurang- och livsmedelsprogrammet,engelska 5,86385479,..
vvs- och fastighetsprogrammet,engelska 5,86385479,"11,7"
el- och energiprogrammet,engelska 5,99838438,"11,6"
el- och energiprogrammet,engelska 5,42859669,"12,3"
handels- och administrationsprogrammet,engelska 5,42859669,"11,5"
hantverksprogrammet,engelska 5,42859669,"6,8"
vvs- och fastighetsprogrammet,engelska 5,42859669,"13,0"
barn- och fritidsprogrammet,engelska 5,70923626,"9,8"
bygg- och anläggningsprogrammet,engelska 5,70923626,"11,2"
fordons- och transportprogrammet,engelska 5,70923626,"12,4"
restaurang- och livsmedelsprogrammet,engelska 5,70923626,"9,6"
vård- och omsorgsprogrammet,engelska 5,70923626,"10,4"
bygg- och anläggningsprogrammet,engelska 5,92905347,"10,4"
el- och energiprogrammet,engelska 5,92905347,"13,2"
fordons- och transportprogrammet,engelska 5,92905347,..
handels- och administrationsprogrammet,engelska 5,92905347,"9,6"
hantverksprogrammet,engelska 5,92905347,"9,1"
industritekniska programmet,engelska 5,92905347,..
vvs- och fastighetsprogrammet,engelska 5,92905347,"10,5"
vård- och omsorgsprogrammet,engelska 5,92905347,"10,4"
el- och energiprogrammet,engelska 5,99592025,"13,8"
vård- och omsorgsprogrammet,engelska 5,34247736,"7,2"
bygg- och anläggningsprogrammet,engelska 5,47550455,"10,5"
handels- och administrationsprogrammet,engelska 5,47550455,"10,6"
industritekniska programmet,engelska 5,47550455,"12,8"
restaurang- och livsmedelsprogrammet,engelska 5,47550455,"10,7"
el- och energiprogrammet,engelska 5,30329172,"14,3"
fordons- och transportprogrammet,engelska 5,30329172,"11,5"
vvs- och fastighetsprogrammet,engelska 5,30329172,"13,9"
barn- och fritidsprogrammet,engelska 5,76877530,"11,9"
industritekniska programmet,engelska 5,20620556,..
restaurang- och livsmedelsprogrammet,engelska 5,20620556,..
fordons- och transportprogrammet,engelska 5,17173461,"10,6"
handels- och administrationsprogrammet,engelska 5,17173461,..
industritekniska programmet,engelska 5,17173461,..
barn- och fritidsprogrammet,engelska 5,19560192,"10,8"
restaurang- och livsmedelsprogrammet,engelska 5,19560192,"10,6"
sjöfartsutbildningen,engelska 5,19560192,"13,6"
vvs- och fastighetsprogrammet,engelska 5,19560192,"13,7"
barn- och fritidsprogrammet,engelska 5,98053087,"10,9"
el- och energiprogrammet,engelska 5,98053087,"12,6"
handels- och administrationsprogrammet,engelska 5,98053087,"12,5"
handels- och administrationsprogrammet,engelska 5,92858957,"10,3"
barn- och fritidsprogrammet,engelska 5,46660042,"10,1"
bygg- och anläggningsprogrammet,engelska 5,46660042,"11,0"
el- och energiprogrammet,engelska 5,46660042,"13,6"
fordons- och transportprogrammet,engelska 5,46660042,"9,4"
industritekniska programmet,engelska 5,46660042,..
restaurang- och livsmedelsprogrammet,engelska 5,46660042,"10,0"
vård- och omsorgsprogrammet,engelska 5,46660042,"9,5"
el- och energiprogrammet,engelska 5,44113417,"13,8"
bygg- och anläggningsprogrammet,engelska 5,38917647,..
fordons- och transportprogrammet,engelska 5,38917647,..
el- och energiprogrammet,engelska 5,39555838,"7,9"
vård- och omsorgsprogrammet,engelska 5,39555838,..
barn- och fritidsprogrammet,engelska 5,85214294,"12,4"
