program,skolkod,andel_minst_e_sva1
nationella program,51981332,.
nationella program,87859089,..
nationella program,54764253,.
nationella program,98908403,"96,3"
nationella program,16493131,"100,0"
nationella program,41119610,.
nationella program,83272868,"100,0"
nationella program,11526364,..
nationella program,48304166,"100,0"
nationella program,24982097,..
nationella program,45552626,"100,0"
nationella program,50906954,.
nationella program,97104132,.
nationella program,16748680,..
nationella program,68597767,..
nationella program,27964873,..
nationella program,30706655,..
nationella program,65674821,"100,0"
nationella program,92332557,..
nationella program,46332927,.
nationella program,78690637,"100,0"
nationella program,24653673,.
nationella program,38048202,"100,0"
nationella program,90990441,..
nationella program,86319615,.
nationella program,87303004,"100,0"
nationella program,97835550,.
nationella program,22446331,..
nationella program,26671095,..
nationella program,42911621,..
nationella program,40575001,.
nationella program,75027822,.
nationella program,26508763,..
nationella program,14504503,..
nationella program,21850904,.
nationella program,65320354,..
nationella program,77544055,..
nationella program,49112879,..
nationella program,30279258,.
nationella program,16198647,..
nationella program,12496135,..
nationella program,76903284,..
nationella program,68649663,"93,8"
nationella program,43623146,.
nationella program,49141105,"100,0"
nationella program,15870428,"100,0"
nationella program,26646080,..
nationella program,26750052,..
nationella program,18974693,"100,0"
nationella program,26996566,..
nationella program,27704246,"100,0"
nationella program,81997762,..
nationella program,28967085,.
nationella program,69747871,.
nationella program,70119254,.
nationella program,31151740,..
nationella program,79346084,"100,0"
nationella program,34222422,.
nationella program,84230226,.
nationella program,42060237,.
nationella program,89816391,..
nationella program,14448619,..
nationella program,12546590,..
nationella program,43565270,..
nationella program,77176811,..
nationella program,52791537,.
nationella program,85152591,..
nationella program,85819857,..
nationella program,40600798,"100,0"
nationella program,52942981,..
nationella program,54117171,..
nationella program,48120273,..
nationella program,33233228,.
nationella program,94167577,"100,0"
nationella program,27023528,..
nationella program,53903798,"97,3"
nationella program,85782695,..
nationella program,98815582,..
nationella program,97770837,.
nationella program,21312503,.
nationella program,69650864,.
nationella program,59581397,..
nationella program,14926020,..
nationella program,41938272,..
nationella program,29423248,.
nationella program,76054399,..
nationella program,33132452,"100,0"
nationella program,56942970,.
nationella program,60142020,..
nationella program,70811222,.
nationella program,17911161,"100,0"
nationella program,35084976,"100,0"
nationella program,25525759,.
nationella program,77632411,"100,0"
nationella program,56653353,.
nationella program,49068301,..
nationella program,59898194,..
nationella program,38195284,"100,0"
nationella program,97510495,"100,0"
nationella program,89461767,..
nationella program,94717858,..
nationella program,53760158,.
nationella program,78422467,..
nationella program,37802196,.
nationella program,38683336,.
nationella program,36288955,..
nationella program,74812809,.
nationella program,88839172,..
nationella program,48412612,"100,0"
nationella program,95618280,"96,4"
nationella program,75075402,..
nationella program,26326048,.
nationella program,37839488,"91,7"
nationella program,46256929,..
nationella program,83374651,.
nationella program,59796774,..
nationella program,17675502,..
nationella program,75600007,..
nationella program,73812226,..
nationella program,30762346,.
nationella program,82964090,..
nationella program,88955893,..
nationella program,15278518,..
nationella program,15390992,..
nationella program,63943560,"96,7"
nationella program,85516596,"100,0"
nationella program,31998226,.
nationella program,38236800,..
nationella program,16784385,.
nationella program,59026584,..
nationella program,79829846,.
nationella program,89963319,.
nationella program,24339566,.
nationella program,20061769,.
nationella program,65458415,..
nationella program,95154882,..
nationella program,52333875,"100,0"
nationella program,24663703,.
nationella program,28519815,"100,0"
nationella program,65666808,"78,6"
nationella program,69543519,"100,0"
nationella program,24397215,..
nationella program,30677562,..
nationella program,85054102,.
nationella program,87274273,.
nationella program,89693952,.
nationella program,24759907,"92,3"
nationella program,78433202,"100,0"
nationella program,41631104,..
nationella program,35366805,..
nationella program,31315191,..
nationella program,80357110,..
nationella program,42775003,.
nationella program,56670842,.
nationella program,89370947,.
nationella program,18451445,.
nationella program,48555205,"100,0"
nationella program,31313926,..
nationella program,30312720,"100,0"
nationella program,32116280,..
nationella program,57143976,..
nationella program,93367005,"100,0"
nationella program,53175499,.
nationella program,64388538,.
nationella program,52153758,.
nationella program,16501673,..
nationella program,26298615,..
nationella program,22116645,..
nationella program,99755443,..
nationella program,30167976,..
nationella program,50104466,.
nationella program,28004794,.
nationella program,32071849,.
nationella program,79845033,..
nationella program,41099519,..
nationella program,59386837,..
nationella program,21627442,.
nationella program,17276047,"100,0"
nationella program,73217812,..
nationella program,21382451,..
nationella program,48244956,..
nationella program,36769815,.
nationella program,16931486,..
nationella program,92489953,.
nationella program,43873969,..
nationella program,55825382,..
nationella program,19306558,.
nationella program,35301145,..
nationella program,24993048,..
nationella program,70132092,..
nationella program,65034473,.
nationella program,13084253,..
nationella program,32321364,..
nationella program,59942080,..
nationella program,66273269,..
nationella program,82888663,.
nationella program,11275959,..
nationella program,58518163,.
nationella program,50615280,..
nationella program,19035583,.
nationella program,27993549,..
nationella program,37912396,..
nationella program,45593337,..
nationella program,90312942,..
nationella program,10226870,..
nationella program,19839859,..
nationella program,80280597,.
nationella program,67628478,..
nationella program,37517404,..
nationella program,29159460,"100,0"
nationella program,32057701,..
nationella program,43601850,..
nationella program,30615080,"100,0"
nationella program,89630851,..
nationella program,25178582,"100,0"
nationella program,70543431,.
nationella program,23476801,..
nationella program,86351879,..
nationella program,56041144,..
nationella program,14586562,.
nationella program,74322969,..
nationella program,90260899,.
nationella program,69302313,..
nationella program,31057219,..
nationella program,27079521,..
nationella program,33572033,.
nationella program,64579522,..
nationella program,65234368,.
nationella program,34381901,..
nationella program,55150847,..
nationella program,90076461,.
nationella program,96414537,..
nationella program,53069733,..
nationella program,99394620,..
nationella program,95368476,..
nationella program,14853321,.
nationella program,76448076,..
nationella program,31537066,..
nationella program,86488203,"100,0"
nationella program,25156286,.
nationella program,28081446,..
nationella program,21400668,.
nationella program,92949043,..
nationella program,92818240,"100,0"
nationella program,84329061,"100,0"
nationella program,71969230,"100,0"
nationella program,91048178,..
nationella program,82718660,.
nationella program,76942525,.
nationella program,12399380,.
nationella program,31486865,..
nationella program,97265732,..
nationella program,10373112,.
nationella program,61720981,"100,0"
nationella program,25698509,.
nationella program,50424828,..
nationella program,82931004,.
nationella program,83584125,.
nationella program,95024660,..
nationella program,32263814,..
nationella program,16496466,.
nationella program,12075195,.
nationella program,62300682,.
nationella program,47393891,..
nationella program,48414975,.
nationella program,65265211,..
nationella program,11533776,..
nationella program,47108751,.
nationella program,97191332,..
nationella program,71938440,..
nationella program,28829503,..
nationella program,22811839,..
nationella program,33205596,.
nationella program,99622695,.
nationella program,19930101,.
nationella program,60727136,..
nationella program,45132264,.
nationella program,61647360,..
nationella program,98651664,..
nationella program,33657492,"100,0"
nationella program,61622991,..
nationella program,66644568,..
nationella program,93659517,..
nationella program,79309485,.
nationella program,61175914,.
nationella program,73316818,..
nationella program,37078868,..
nationella program,27859889,..
nationella program,16130958,..
nationella program,29161632,..
nationella program,82195565,..
nationella program,33596572,..
nationella program,45541222,.
nationella program,77713695,..
nationella program,63451147,.
nationella program,51131594,..
nationella program,89680395,.
nationella program,53696633,.
nationella program,27440210,.
nationella program,62758285,..
nationella program,16218090,..
nationella program,61197669,.
nationella program,64667996,..
nationella program,17812651,..
nationella program,23544320,..
nationella program,57668673,.
nationella program,69040241,..
nationella program,63993414,.
nationella program,49136871,.
nationella program,91905819,.
nationella program,20855811,"100,0"
nationella program,54882637,..
nationella program,53923398,"100,0"
nationella program,74560191,.
nationella program,47844862,..
nationella program,22239675,.
nationella program,72984079,"100,0"
nationella program,36480690,..
nationella program,24787883,..
nationella program,32995170,..
nationella program,52048443,..
nationella program,61674097,..
nationella program,32550660,..
nationella program,93488613,..
nationella program,45600034,..
nationella program,59599256,"100,0"
nationella program,69865450,"100,0"
nationella program,31112935,.
nationella program,26957025,"100,0"
nationella program,90509211,..
nationella program,43277545,..
nationella program,37316242,..
nationella program,20173336,..
nationella program,49872493,..
nationella program,39147056,.
nationella program,11953769,..
nationella program,28646435,..
nationella program,50393060,..
nationella program,85788659,..
nationella program,95340745,..
nationella program,59521477,..
nationella program,92442684,..
nationella program,66095163,..
nationella program,38544187,.
nationella program,54599691,..
nationella program,54004368,..
nationella program,54467211,.
nationella program,23517683,.
nationella program,31975673,..
nationella program,82251333,..
nationella program,99864908,..
nationella program,27106031,..
nationella program,59463950,..
nationella program,63931325,..
nationella program,57391913,..
nationella program,75374280,..
nationella program,46148350,..
nationella program,50133877,..
nationella program,49868916,..
nationella program,74919147,.
nationella program,90240730,..
nationella program,84908877,"100,0"
nationella program,78389879,..
nationella program,24277564,"100,0"
nationella program,88956420,.
nationella program,44412461,..
nationella program,34002355,"78,6"
nationella program,36355200,"100,0"
nationella program,96920524,..
nationella program,18217765,..
nationella program,60919765,..
nationella program,14677676,..
nationella program,96152872,..
nationella program,77835341,..
nationella program,70803636,..
nationella program,49576295,..
nationella program,66028861,..
nationella program,23797825,"100,0"
nationella program,45293715,..
nationella program,44738639,.
nationella program,77712952,"100,0"
nationella program,92009807,..
nationella program,10433896,.
nationella program,10342448,..
nationella program,43154449,..
nationella program,49170638,..
nationella program,46379730,.
nationella program,25379974,..
nationella program,98032567,.
nationella program,96194948,..
nationella program,25955541,.
nationella program,88025221,"100,0"
nationella program,18042101,.
nationella program,14799321,.
nationella program,56041699,"100,0"
