program,skolkod,andel_minst_e_re1
Nationella program,37358234,"59,3"
Nationella program,31657916,"100,0"
Nationella program,21008461,"100,0"
Nationella program,54606928,"96,1"
Nationella program,53893730,"95,4"
Nationella program,46241804,"95,0"
Nationella program,42573391,"100,0"
Nationella program,64574972,"100,0"
Nationella program,19741742,"97,4"
Nationella program,29032715,"98,9"
Nationella program,45830583,"100,0"
Nationella program,48931433,"100,0"
Nationella program,97270136,"79,3"
Nationella program,19909435,"95,9"
Nationella program,30530571,"97,6"
Nationella program,78839208,"100,0"
Nationella program,96024712,"98,1"
Nationella program,30458073,..
Nationella program,40829056,"100,0"
Nationella program,85800840,"97,9"
Nationella program,68920727,"98,0"
Nationella program,27115998,"93,8"
Nationella program,41867682,"88,5"
Nationella program,79516949,"98,6"
Nationella program,65662401,"98,2"
Nationella program,39583059,"82,6"
Nationella program,38645259,"90,6"
Nationella program,96684210,"98,3"
Nationella program,87207941,"90,1"
Nationella program,11673760,"97,2"
Nationella program,46574937,"96,2"
Nationella program,23836342,"98,5"
Nationella program,63791419,"90,5"
Nationella program,39805497,"90,3"
Nationella program,38400227,"74,0"
Nationella program,81619482,"93,4"
Nationella program,83829189,"78,0"
Nationella program,46145886,"100,0"
Nationella program,12395564,"100,0"
Nationella program,90006712,"100,0"
Nationella program,43649848,"100,0"
Nationella program,75344502,"75,0"
Nationella program,84247499,"98,6"
Nationella program,27041885,"94,7"
Nationella program,39149668,"98,6"
Nationella program,97064126,..
Nationella program,32580162,"87,0"
Nationella program,38233622,"91,7"
Nationella program,48722826,"99,2"
Nationella program,73063662,"90,5"
Nationella program,40766349,"89,7"
Nationella program,71571158,"90,6"
Nationella program,53691739,"100,0"
Nationella program,43251309,"91,7"
Nationella program,97596286,"92,9"
Nationella program,67554405,"95,7"
Nationella program,86473502,"100,0"
Nationella program,73944169,"100,0"
Nationella program,98239050,"91,4"
Nationella program,94455820,..
Nationella program,58368956,"100,0"
Nationella program,73567152,"88,6"
Nationella program,61547652,"97,9"
Nationella program,60209222,"82,8"
Nationella program,62104139,"98,4"
Nationella program,87034307,"98,3"
Nationella program,78872213,"98,0"
Nationella program,84286698,"84,6"
Nationella program,62490359,"92,3"
Nationella program,64725297,"86,2"
Nationella program,43362941,"91,3"
Nationella program,23350817,"83,3"
Nationella program,76860623,"96,9"
Nationella program,58191646,"96,8"
