skolkod,andel_minst_e_re1
26326048,"95,0"
37839488,"95,1"
46256929,"88,8"
83374651,"100,0"
59796774,"100,0"
17675502,"94,7"
75600007,"98,6"
73812226,"90,5"
30762346,..
82964090,"98,8"
88955893,"99,2"
15278518,"93,1"
15390992,"98,4"
63943560,"93,6"
85516596,"88,8"
31998226,..
38236800,"83,3"
16784385,"96,3"
59026584,"94,2"
79829846,"97,6"
89963319,..
24339566,"97,6"
20061769,"100,0"
65458415,..
95154882,"92,9"
52333875,"97,2"
24663703,..
28519815,"88,7"
65666808,"78,0"
69543519,"96,3"
24397215,"86,4"
30677562,"93,8"
85054102,"100,0"
87274273,"87,5"
89693952,.
24759907,"82,2"
78433202,"86,4"
41631104,"75,0"
35366805,"89,3"
31315191,"100,0"
80357110,"91,3"
42775003,"98,7"
56670842,"96,7"
89370947,"97,5"
18451445,..
48555205,"94,5"
31313926,"98,3"
30312720,"98,8"
32116280,"96,7"
57143976,"99,1"
93367005,"92,6"
53175499,"100,0"
64388538,"100,0"
52153758,"100,0"
16501673,"97,4"
26298615,"65,2"
22116645,"98,1"
99755443,"97,9"
30167976,"100,0"
50104466,"95,0"
28004794,..
32071849,"99,0"
79845033,"88,4"
41099519,"90,7"
59386837,"77,0"
21627442,"100,0"
17276047,"84,9"
73217812,"76,3"
21382451,"97,7"
48244956,"98,2"
36769815,"96,3"
16931486,"71,4"
92489953,"92,6"
43873969,"98,7"
55825382,"96,1"
19306558,"96,0"
35301145,"97,5"
24993048,"96,0"
70132092,"72,9"
65034473,..
13084253,"94,1"
32321364,..
59942080,"97,5"
66273269,"97,5"
82888663,"100,0"
11275959,"100,0"
58518163,"100,0"
50615280,"88,9"
19035583,"97,4"
27993549,"94,4"
37912396,"97,7"
45593337,"84,2"
90312942,"96,4"
10226870,"100,0"
19839859,"80,8"
80280597,..
67628478,"100,0"
37517404,"100,0"
29159460,"76,0"
32057701,"100,0"
43601850,"97,0"
30615080,"92,2"
89630851,"97,7"
25178582,"88,4"
70543431,"100,0"
23476801,..
86351879,"92,0"
56041144,"96,2"
14586562,..
74322969,"94,6"
90260899,"100,0"
69302313,"100,0"
31057219,"91,0"
27079521,"95,9"
33572033,"97,9"
64579522,"88,7"
65234368,"98,4"
34381901,"87,1"
55150847,"99,0"
90076461,"100,0"
96414537,"100,0"
53069733,"93,9"
99394620,"97,9"
95368476,"98,9"
14853321,"92,2"
76448076,"97,6"
31537066,"100,0"
86488203,"94,2"
25156286,"85,7"
28081446,"96,7"
21400668,"100,0"
92949043,"98,7"
92818240,"84,6"
84329061,"98,0"
71969230,"71,4"
91048178,"94,2"
82718660,"100,0"
76942525,"84,6"
12399380,"93,8"
31486865,"99,1"
97265732,"99,6"
10373112,..
61720981,"96,5"
25698509,"97,4"
50424828,"89,2"
82931004,"92,9"
83584125,"100,0"
95024660,"95,8"
32263814,"89,5"
16496466,"100,0"
12075195,"100,0"
62300682,"78,9"
47393891,"97,3"
48414975,"100,0"
65265211,"89,7"
11533776,"80,0"
47108751,..
97191332,"96,6"
71938440,"100,0"
28829503,"97,8"
22811839,"90,2"
33205596,"100,0"
99622695,..
19930101,"98,2"
60727136,"93,3"
45132264,"91,7"
61647360,..
98651664,"100,0"
33657492,"90,2"
61622991,"86,1"
66644568,"97,2"
93659517,"98,2"
79309485,"97,8"
61175914,"76,5"
73316818,"100,0"
37078868,..
27859889,"100,0"
16130958,"98,6"
29161632,..
82195565,"100,0"
33596572,"100,0"
45541222,"100,0"
77713695,"98,8"
63451147,"100,0"
51131594,"100,0"
89680395,"100,0"
53696633,"100,0"
27440210,"87,5"
62758285,"100,0"
16218090,"100,0"
61197669,..
64667996,"100,0"
17812651,"100,0"
23544320,"99,4"
57668673,"86,4"
69040241,"94,7"
63993414,"100,0"
49136871,..
91905819,"93,3"
20855811,"91,0"
54882637,"100,0"
53923398,"97,4"
74560191,"100,0"
47844862,"96,5"
22239675,"100,0"
72984079,"91,3"
36480690,"89,5"
24787883,"85,7"
32995170,"94,4"
52048443,"100,0"
61674097,"95,6"
32550660,"98,9"
93488613,"91,2"
45600034,"100,0"
59599256,"98,0"
69865450,"88,0"
31112935,"76,7"
26957025,"98,7"
90509211,"93,0"
43277545,"96,4"
37316242,"81,6"
20173336,"78,8"
49872493,"75,9"
39147056,"96,2"
11953769,"100,0"
28646435,"92,0"
50393060,"96,5"
85788659,"77,8"
95340745,"97,0"
59521477,"73,2"
92442684,"86,7"
66095163,"88,2"
38544187,"89,4"
54599691,"91,4"
54004368,"97,4"
54467211,"94,4"
23517683,"94,7"
31975673,"100,0"
82251333,"94,3"
99864908,"92,5"
27106031,"91,5"
59463950,"93,9"
63931325,"94,7"
57391913,"89,3"
75374280,"89,4"
46148350,"93,9"
50133877,"98,2"
49868916,"97,8"
74919147,"100,0"
90240730,"81,8"
84908877,"90,3"
78389879,"92,0"
24277564,"91,4"
88956420,..
44412461,"99,5"
34002355,"76,9"
36355200,"100,0"
96920524,"100,0"
18217765,"96,8"
60919765,..
14677676,"100,0"
96152872,"93,5"
77835341,"100,0"
70803636,"94,9"
49576295,"100,0"
66028861,"100,0"
23797825,"97,3"
45293715,"100,0"
44738639,"75,0"
77712952,"91,9"
92009807,"66,7"
10433896,"97,4"
10342448,"87,0"
43154449,"97,4"
49170638,"100,0"
46379730,"97,4"
25379974,"90,9"
98032567,..
96194948,"85,2"
25955541,"95,8"
88025221,"98,3"
18042101,"95,3"
14799321,"93,1"
56041699,"64,7"
45111086,"100,0"
70955448,"99,4"
68824244,"94,2"
90685868,"90,2"
24501884,"83,7"
46707989,"100,0"
46986216,"97,0"
67924816,"100,0"
92805465,"100,0"
56084099,"89,5"
80711021,"83,9"
17648596,"90,9"
16720048,"98,5"
13960635,"98,7"
39341381,..
61176909,"100,0"
43479922,"95,5"
60088179,"72,1"
28391147,"75,6"
29209307,"96,4"
21778322,"96,2"
31380193,"77,3"
90290154,"86,7"
25847233,"90,1"
62612992,"95,0"
85485803,"90,1"
92816527,"74,4"
16848652,"100,0"
88429477,"100,0"
94975733,"95,5"
56802300,"100,0"
15149235,"96,2"
77379848,"100,0"
13981977,"88,9"
