skolkod,andel_med_utokat_prog
26750052,"20,0"
18974693,"13,4"
26996566,..
27704246,"28,4"
81997762,"26,2"
28967085,.
69747871,..
70119254,"100,0"
31151740,..
79346084,"37,2"
34222422,..
84230226,..
42060237,"31,8"
89816391,..
14448619,"11,4"
12546590,"42,2"
43565270,"53,8"
77176811,..
52791537,..
85152591,..
85819857,..
40600798,"10,5"
52942981,..
54117171,"31,7"
48120273,..
33233228,..
94167577,"17,4"
27023528,"16,0"
53903798,"26,6"
85782695,..
98815582,"48,0"
97770837,"12,0"
21312503,"94,9"
69650864,"42,9"
59581397,.
14926020,..
41938272,"61,0"
29423248,"13,0"
76054399,"51,5"
33132452,"28,7"
56942970,..
60142020,..
70811222,..
17911161,"12,0"
35084976,"58,0"
25525759,.
77632411,"27,2"
56653353,"58,3"
49068301,..
59898194,..
38195284,"7,8"
97510495,"10,9"
89461767,"17,3"
94717858,"13,8"
53760158,"65,1"
78422467,"27,0"
37802196,..
38683336,..
36288955,"46,0"
74812809,"75,3"
88839172,"25,7"
48412612,..
95618280,"20,8"
75075402,"8,8"
26326048,"8,3"
37839488,"6,7"
46256929,"20,2"
83374651,"75,0"
59796774,"100,0"
17675502,"26,3"
75600007,"41,4"
73812226,"13,3"
30762346,..
82964090,"10,5"
88955893,"10,2"
15278518,..
15390992,"42,6"
63943560,"59,6"
85516596,"13,1"
31998226,..
38236800,..
16784385,..
59026584,"43,9"
79829846,"54,8"
89963319,..
24339566,"7,8"
20061769,..
65458415,.
95154882,..
52333875,"52,8"
24663703,..
28519815,"39,6"
65666808,"49,5"
69543519,"37,0"
24397215,"22,7"
30677562,..
85054102,..
87274273,..
89693952,.
24759907,"23,1"
78433202,"30,5"
41631104,..
35366805,"33,9"
31315191,"62,5"
80357110,"91,3"
42775003,"11,8"
56670842,"16,7"
89370947,"67,8"
18451445,..
48555205,"8,4"
31313926,..
30312720,"18,5"
32116280,"16,7"
57143976,"18,7"
93367005,"38,3"
53175499,"69,6"
64388538,..
52153758,"17,2"
16501673,"47,4"
26298615,"100,0"
22116645,"28,6"
99755443,"7,2"
