skolkod,andel_minst_e_sva1
75075402,..
26326048,.
37839488,"91,7"
46256929,..
83374651,.
59796774,..
17675502,..
75600007,..
73812226,..
30762346,.
82964090,..
88955893,..
15278518,..
15390992,..
63943560,"96,7"
85516596,"100,0"
31998226,.
38236800,..
16784385,.
59026584,..
79829846,.
89963319,.
24339566,.
20061769,.
65458415,..
95154882,..
52333875,"100,0"
24663703,.
28519815,"100,0"
65666808,"78,6"
69543519,"100,0"
24397215,..
30677562,..
85054102,.
87274273,.
89693952,.
24759907,"92,3"
78433202,"100,0"
41631104,..
35366805,..
31315191,..
80357110,..
42775003,.
56670842,.
89370947,.
18451445,.
48555205,"100,0"
31313926,..
30312720,"100,0"
32116280,..
57143976,..
93367005,"100,0"
53175499,.
64388538,.
52153758,.
16501673,..
26298615,..
22116645,..
99755443,..
30167976,..
50104466,.
28004794,.
32071849,.
79845033,..
41099519,..
59386837,..
21627442,.
17276047,"100,0"
73217812,..
21382451,..
48244956,..
36769815,.
16931486,..
92489953,.
43873969,..
55825382,..
19306558,.
35301145,..
24993048,..
70132092,..
65034473,.
13084253,..
32321364,..
59942080,..
66273269,..
82888663,.
11275959,..
58518163,.
50615280,..
19035583,.
27993549,..
37912396,..
45593337,..
90312942,..
10226870,..
19839859,..
80280597,.
67628478,..
37517404,..
29159460,"100,0"
32057701,..
43601850,..
30615080,"100,0"
89630851,..
25178582,"100,0"
70543431,.
23476801,..
86351879,..
56041144,..
14586562,.
74322969,..
90260899,.
69302313,..
31057219,..
27079521,..
33572033,.
64579522,..
65234368,.
34381901,..
55150847,..
90076461,.
96414537,..
53069733,..
99394620,..
95368476,..
14853321,.
76448076,..
31537066,..
86488203,"100,0"
25156286,.
28081446,..
21400668,.
92949043,..
92818240,"100,0"
84329061,"100,0"
71969230,"100,0"
91048178,..
82718660,.
76942525,.
12399380,.
31486865,..
97265732,..
10373112,.
61720981,"100,0"
25698509,.
50424828,..
82931004,.
83584125,.
95024660,..
32263814,..
16496466,.
12075195,.
62300682,.
47393891,..
48414975,.
65265211,..
11533776,..
47108751,.
97191332,..
71938440,..
28829503,..
22811839,..
33205596,.
99622695,.
19930101,.
60727136,..
45132264,.
61647360,..
98651664,..
33657492,"100,0"
61622991,..
66644568,..
93659517,..
79309485,.
61175914,.
73316818,..
37078868,..
27859889,..
16130958,..
29161632,..
82195565,..
33596572,..
45541222,.
77713695,..
63451147,.
51131594,..
89680395,.
53696633,.
27440210,.
62758285,..
16218090,..
61197669,.
64667996,..
17812651,..
23544320,..
57668673,.
69040241,..
63993414,.
49136871,.
91905819,.
20855811,"100,0"
54882637,..
53923398,"100,0"
74560191,.
47844862,..
22239675,.
72984079,"100,0"
36480690,..
24787883,..
32995170,..
52048443,..
61674097,..
32550660,..
93488613,..
45600034,..
59599256,"100,0"
69865450,"100,0"
31112935,.
26957025,"100,0"
90509211,..
43277545,..
37316242,..
20173336,..
49872493,..
39147056,.
11953769,..
28646435,..
50393060,..
85788659,..
95340745,..
59521477,..
92442684,..
66095163,..
38544187,.
54599691,..
54004368,..
54467211,.
23517683,.
31975673,..
82251333,..
99864908,..
27106031,..
59463950,..
63931325,..
57391913,..
75374280,..
46148350,..
50133877,..
49868916,..
74919147,.
90240730,..
84908877,"100,0"
78389879,..
24277564,"100,0"
88956420,.
44412461,..
34002355,"78,6"
36355200,"100,0"
96920524,..
18217765,..
60919765,..
14677676,..
96152872,..
77835341,..
70803636,..
49576295,..
66028861,..
23797825,"100,0"
45293715,..
44738639,.
77712952,"100,0"
92009807,..
10433896,.
10342448,..
43154449,..
49170638,..
46379730,.
25379974,..
98032567,.
96194948,..
25955541,.
88025221,"100,0"
18042101,.
14799321,.
56041699,"100,0"
45111086,.
70955448,.
68824244,"92,9"
90685868,..
24501884,.
46707989,..
46986216,..
67924816,..
92805465,..
56084099,..
80711021,..
17648596,..
16720048,..
13960635,.
39341381,..
61176909,..
43479922,.
60088179,..
28391147,..
29209307,"100,0"
21778322,"100,0"
31380193,..
90290154,.
25847233,..
62612992,..
85485803,..
92816527,..
16848652,..
88429477,..
94975733,..
56802300,..
15149235,..
77379848,..
13981977,.
24538846,.
36886750,.
67422309,..
67058407,..
34421265,.
15791044,..
65392939,..
98696836,..
82160887,.
23175129,.
64908550,..
77358716,.
49739986,.
29225010,..
92192566,"100,0"
56886667,"100,0"
33249781,.
64648566,"100,0"
18691102,..
70302356,..
65421426,"100,0"
62394916,..
67908927,..
72071234,..
24349146,"100,0"
83605345,..
15933512,"100,0"
12198363,.
47692481,"100,0"
64693272,.
18072172,.
65833454,.
85188855,.
11341077,.
39528347,..
34988313,..
85473846,..
29744774,.
89690587,..
28045567,..
20768651,..
32239920,..
98781765,..
38880984,..
28872974,..
87112995,..
18686599,.
93779220,.
77797484,..
53279140,..
80785976,..
47559319,.
21532545,..
56187883,..
20752831,..
51023367,..
34739511,.
95069937,..
52690153,..
74776778,..
18345915,..
68229719,..
61004230,..
71262305,..
55795961,..
84947634,.
23517336,..
48009865,"100,0"
82840198,..
18208087,"100,0"
89982804,..
19464342,..
60743463,.
32960825,..
43609520,.
97968599,..
91748148,..
42218661,..
74434644,"100,0"
42022406,..
65192707,..
43634528,"100,0"
36263479,..
56679384,..
30538202,..
19150273,..
69018222,..
12889940,..
16554575,.
34076477,..
54896448,.
64284020,.
53400472,"100,0"
97758137,"96,9"
26334561,"100,0"
40386043,"100,0"
59483268,..
33685428,.
32879845,.
88573795,.
20699742,.
21663998,..
20595770,.
82814120,.
45164827,.
10924758,..
34153869,..
88259298,.
17846181,..
75082798,..
23555409,"100,0"
30341162,..
72266906,"100,0"
27030026,..
16950252,..
34637764,"100,0"
19912478,..
15077883,..
48434184,"100,0"
58724424,..
95684185,..
51138448,..
56421429,.
39911065,..
17008320,..
56737496,.
93939982,..
25720752,..
55155562,..
31533003,..
16361868,.
23164911,..
24008049,..
19981611,..
54481243,.
36680097,..
19586169,..
24273261,..
95683850,..
59455288,..
25679488,..
25677996,.
89888648,.
35063170,..
31279294,..
36782335,..
23897040,.
20666515,..
37906565,.
67279303,.
21648755,..
11111710,..
90551279,..
69686851,.
49616977,..
54965510,"100,0"
84835666,"97,9"
25872338,.
54164490,"100,0"
20319353,..
92194545,..
64740897,..
78979604,.
10974852,.
85068812,"100,0"
78397312,..
36444853,.
16819383,"100,0"
89837629,"100,0"
12994441,.
88774402,..
75141151,"100,0"
61701709,..
61469192,..
84306392,..
28627819,..
30086854,.
26627862,"100,0"
48847282,..
72517762,"100,0"
79094701,..
38684438,"100,0"
31251822,"100,0"
90099336,.
35647481,"100,0"
39549479,..
73147554,.
69983740,.
66491596,.
12052268,"95,8"
71597051,..
53231578,.
96279444,..
40690520,"100,0"
91011325,..
97382366,.
35006050,..
10638939,..
21505555,..
34336190,.
21052710,..
69739484,..
92887917,..
88834120,..
70066748,..
19207279,.
53640774,.
58502307,.
97177328,..
72127035,..
70969714,.
68734112,..
71922787,..
74148070,..
92507006,..
44653962,..
20100577,..
81993306,..
19051089,..
47264019,..
50198492,..
98052678,..
20099064,..
16313848,"100,0"
79606767,.
11294673,..
86327236,..
41745951,.
83137205,"100,0"
28398531,"100,0"
66335258,..
54172830,..
75458014,.
65136104,.
61826221,.
79033948,..
56330385,"100,0"
20228162,..
68240485,..
95046058,.
44392995,..
53462953,"100,0"
60730660,.
82592568,..
78875918,"100,0"
86385479,..
49862313,"100,0"
99838438,.
42859669,"100,0"
99592025,"100,0"
34247736,..
47550455,..
30329172,.
76877530,.
47046103,..
38167912,.
43826783,.
58125096,..
82914148,..
20620556,..
77839100,.
17173461,.
55535552,.
30468157,..
92533079,..
61528940,..
23681822,.
66861851,.
72206824,..
92858957,"100,0"
86296935,..
44113417,..
67783774,..
39555838,..
85214294,..
82084961,"100,0"
46162400,.
67279263,..
51210136,"100,0"
73829818,..
54395430,.
18881773,..
50908408,..
18594470,..
78295411,..
80686587,..
72232853,..
12279302,"100,0"
64205087,..
50500028,..
91984508,.
40667807,.
18091973,.
88466776,..
36539945,..
40634612,.
66132676,..
57942242,"100,0"
77688926,..
14508922,..
37358234,..
21008461,..
54606928,..
53893730,..
42573391,.
64574972,.
19741742,..
29032715,..
45830583,.
48931433,..
19909435,..
30530571,.
78839208,..
96024712,..
30458073,.
85800840,.
68920727,.
27115998,..
41867682,..
79516949,..
96684210,..
87207941,..
11673760,..
46574937,"100,0"
23836342,..
63791419,..
39805497,..
38400227,..
81619482,..
12395564,.
90006712,.
39149668,..
38233622,.
48722826,..
73063662,.
40766349,..
53691739,.
43251309,.
67554405,"100,0"
73944169,..
98239050,..
94455820,.
61547652,.
62104139,..
87034307,"100,0"
78872213,..
76860623,.
58191646,..
80405898,..
56021320,..
63179610,..
64569393,.
64160122,.
48217580,..
51620045,..
86888278,.
57397381,.
56947954,..
72022487,..
71512894,..
28248021,"100,0"
44417214,..
25025681,..
88776535,..
49488344,..
74408578,..
71043974,..
57777751,.
38732602,..
89807183,..
61161774,..
86158933,..
75914181,..
39302565,.
96818167,..
79527481,..
67300857,..
99279503,..
63653488,.
84476205,..
24544503,..
25392789,.
69240218,..
38460895,..
31199511,..
12934438,"100,0"
43313366,..
86787111,..
97868185,.
77823650,.
37550979,..
60214465,..
70137084,..
82002016,..
23306658,..
97535124,..
11102578,..
69306209,..
10129345,..
17944628,..
94468610,..
94090461,.
12954099,.
80931789,..
90473340,.
69807202,"100,0"
64648904,..
75939593,..
26324896,..
56639389,..
95700485,..
51449748,.
28267726,..
12613085,..
53896162,..
17779637,..
66824652,..
49168016,..
71929526,..
60873719,..
28085125,..
21938183,..
78986228,.
71472793,..
69063711,..
77609073,..
35894996,.
12926770,"100,0"
68748767,..
23548714,"100,0"
48593439,"100,0"
91773491,"97,3"
30361243,"100,0"
25596917,..
65722876,"100,0"
52129378,..
65381163,"96,8"
31155312,"100,0"
84424083,.
49231191,..
78231062,"100,0"
10481541,"100,0"
68381790,.
13006857,.
16956086,..
58187973,..
88894245,.
31870541,..
44672598,..
31822012,..
83161201,..
99356671,.
16702464,..
29449669,..
62855448,.
36252055,..
91812793,..
14355031,..
46611859,.
58907711,..
68285560,.
58544422,..
65150019,..
71541108,"100,0"
53832505,..
47537928,.
69471748,"100,0"
49750031,..
76485705,"100,0"
93239262,..
99976753,..
75575321,..
28023078,..
43284031,.
24194577,..
26267406,.
51955293,..
57690933,..
12130801,..
51736304,..
44285075,..
95785055,..
68655578,..
68741484,"100,0"
37054246,..
39199869,"100,0"
31179045,.
72421673,..
15763669,.
59655752,..
88750078,..
41555549,..
85459854,..
81876614,..
18711877,.
67071618,..
75324351,.
61229217,..
70376604,.
59575030,.
18617410,.
28025244,..
40338843,.
77440824,..
14292382,.
51981332,.
87859089,..
98908403,"96,0"
16493131,"100,0"
83272868,"100,0"
11526364,..
45552626,"100,0"
50906954,.
16748680,..
65674821,..
92332557,..
78690637,"100,0"
38048202,..
90990441,..
26671095,..
65320354,..
77544055,..
49112879,..
30279258,.
76903284,..
43623146,.
49141105,"100,0"
15870428,..
26646080,..
26750052,..
18974693,"100,0"
26996566,..
27704246,"100,0"
28967085,.
69747871,.
31151740,..
79346084,..
89816391,..
14448619,..
12546590,.
43565270,..
77176811,..
52791537,.
85152591,..
