skolkod,andel_minst_e_hist1
70811222,"100,0"
17911161,"94,6"
35084976,"100,0"
25525759,.
77632411,"100,0"
56653353,"79,2"
49068301,"98,2"
59898194,"100,0"
38195284,"100,0"
97510495,"97,1"
89461767,"98,7"
94717858,"98,2"
53760158,"100,0"
78422467,"98,0"
37802196,..
38683336,"100,0"
36288955,"99,2"
74812809,"97,8"
88839172,"98,7"
48412612,"98,6"
95618280,"96,2"
75075402,"99,1"
26326048,"94,2"
37839488,"92,7"
46256929,"92,1"
83374651,"100,0"
59796774,"100,0"
17675502,"94,7"
75600007,"90,0"
73812226,"91,4"
30762346,..
82964090,"100,0"
88955893,"100,0"
15278518,"97,2"
15390992,"99,2"
63943560,"97,9"
85516596,"90,7"
31998226,..
38236800,"56,3"
16784385,"100,0"
59026584,"96,5"
79829846,"97,6"
89963319,..
24339566,"98,8"
20061769,"100,0"
65458415,..
95154882,"92,9"
52333875,"89,8"
24663703,..
28519815,"91,5"
65666808,"85,7"
69543519,"96,3"
24397215,"93,2"
30677562,"97,5"
85054102,"90,5"
87274273,"87,5"
89693952,.
24759907,"84,0"
78433202,"89,8"
41631104,"81,3"
35366805,"98,2"
31315191,"100,0"
80357110,"87,0"
42775003,"100,0"
56670842,"100,0"
89370947,"100,0"
18451445,..
48555205,"100,0"
31313926,"96,6"
30312720,"98,8"
32116280,"98,9"
57143976,"100,0"
93367005,"94,7"
53175499,"100,0"
64388538,"100,0"
52153758,"100,0"
16501673,"97,4"
26298615,"73,9"
22116645,"100,0"
99755443,"100,0"
30167976,"100,0"
50104466,"100,0"
28004794,..
32071849,"100,0"
79845033,"96,5"
41099519,"97,3"
59386837,"98,6"
21627442,"98,2"
17276047,"92,5"
73217812,"81,6"
21382451,"98,8"
48244956,"100,0"
36769815,"100,0"
16931486,"81,0"
92489953,"96,3"
43873969,"99,4"
55825382,"100,0"
19306558,"100,0"
35301145,"95,0"
24993048,"92,0"
70132092,"79,7"
65034473,..
13084253,"93,1"
32321364,"100,0"
59942080,"100,0"
66273269,"95,0"
82888663,"94,9"
11275959,"100,0"
58518163,"100,0"
50615280,"100,0"
19035583,"94,7"
27993549,"96,6"
37912396,"97,7"
45593337,"96,1"
90312942,"92,9"
10226870,"100,0"
19839859,"76,9"
80280597,..
67628478,"100,0"
37517404,"100,0"
29159460,"100,0"
32057701,"100,0"
43601850,"97,0"
30615080,"100,0"
89630851,"100,0"
25178582,"92,8"
70543431,"100,0"
23476801,..
86351879,"92,0"
56041144,"98,1"
14586562,..
74322969,"89,3"
90260899,"98,6"
69302313,"100,0"
31057219,"98,2"
27079521,"99,0"
33572033,"93,8"
64579522,"95,2"
65234368,"96,8"
34381901,"91,1"
55150847,"99,0"
90076461,"99,0"
96414537,"96,8"
53069733,"98,0"
99394620,"100,0"
95368476,"100,0"
14853321,"92,2"
76448076,"93,9"
31537066,"100,0"
86488203,"95,7"
25156286,"91,4"
28081446,"97,8"
21400668,"90,5"
92949043,"100,0"
92818240,"76,4"
84329061,"99,0"
71969230,"95,2"
91048178,"96,5"
82718660,"100,0"
76942525,"84,6"
12399380,"100,0"
31486865,"99,7"
97265732,"100,0"
10373112,..
61720981,"99,3"
25698509,"94,7"
50424828,"96,1"
82931004,"92,9"
83584125,"100,0"
95024660,"97,2"
32263814,"94,7"
16496466,..
12075195,"62,5"
62300682,"78,9"
47393891,"96,0"
48414975,"100,0"
65265211,"89,7"
11533776,"96,0"
47108751,..
97191332,"100,0"
71938440,"78,6"
28829503,"100,0"
22811839,"85,2"
33205596,"100,0"
99622695,..
19930101,"100,0"
60727136,"100,0"
45132264,"100,0"
61647360,..
98651664,"100,0"
33657492,"89,5"
61622991,"93,1"
66644568,"91,7"
93659517,"94,7"
79309485,"98,9"
61175914,"94,1"
73316818,"100,0"
37078868,..
27859889,"92,3"
16130958,"97,1"
29161632,..
82195565,"100,0"
33596572,"100,0"
45541222,"100,0"
77713695,"100,0"
63451147,"100,0"
51131594,"100,0"
89680395,"100,0"
53696633,"100,0"
27440210,"97,9"
62758285,"100,0"
16218090,"100,0"
61197669,..
64667996,"100,0"
17812651,"100,0"
23544320,"98,8"
57668673,"86,4"
69040241,"100,0"
63993414,"100,0"
49136871,..
91905819,"100,0"
20855811,"93,7"
54882637,"100,0"
53923398,"92,7"
74560191,"100,0"
47844862,"98,8"
22239675,"90,5"
72984079,"94,5"
36480690,"97,4"
24787883,"100,0"
32995170,"97,2"
52048443,"95,7"
61674097,"100,0"
32550660,"100,0"
93488613,"100,0"
45600034,"100,0"
59599256,"97,4"
69865450,"96,0"
31112935,"93,3"
26957025,"100,0"
90509211,"96,0"
43277545,"94,6"
37316242,"92,0"
20173336,"87,9"
49872493,"93,1"
39147056,"94,3"
11953769,"100,0"
28646435,"92,0"
50393060,"95,3"
85788659,"86,7"
95340745,"90,9"
59521477,"90,1"
92442684,"78,3"
66095163,"94,1"
38544187,"91,5"
54599691,"96,7"
54004368,"98,0"
54467211,"86,7"
23517683,"100,0"
31975673,"100,0"
82251333,"100,0"
99864908,"98,1"
27106031,"95,8"
59463950,"98,5"
63931325,"96,1"
57391913,"96,0"
75374280,"100,0"
46148350,"90,9"
50133877,"91,7"
49868916,"98,6"
74919147,"100,0"
90240730,"94,8"
84908877,"87,1"
78389879,"96,0"
24277564,"82,9"
88956420,..
44412461,"100,0"
34002355,"84,6"
36355200,"98,8"
96920524,"100,0"
18217765,"100,0"
60919765,..
14677676,"93,9"
96152872,"95,7"
77835341,"100,0"
70803636,"98,3"
49576295,"100,0"
66028861,"100,0"
23797825,"91,9"
45293715,"98,5"
44738639,"81,3"
77712952,"91,9"
92009807,"84,6"
10433896,"99,1"
10342448,"95,7"
43154449,"94,7"
49170638,"100,0"
46379730,"100,0"
25379974,"95,5"
98032567,..
96194948,"92,6"
25955541,"95,8"
88025221,"97,4"
18042101,"100,0"
14799321,"96,6"
56041699,"79,4"
45111086,"86,7"
70955448,"99,4"
68824244,"95,1"
90685868,"98,4"
24501884,"90,7"
46707989,"100,0"
46986216,"98,5"
67924816,"100,0"
92805465,"96,6"
56084099,"89,5"
80711021,"91,4"
17648596,"89,1"
16720048,"98,5"
13960635,"100,0"
39341381,..
61176909,"100,0"
43479922,"100,0"
60088179,"86,9"
28391147,"98,5"
29209307,"100,0"
21778322,"96,2"
31380193,"100,0"
90290154,"93,3"
25847233,"88,7"
62612992,"94,1"
85485803,"95,8"
92816527,"95,3"
16848652,"100,0"
88429477,"97,9"
94975733,"100,0"
56802300,"100,0"
15149235,"98,7"
77379848,"100,0"
13981977,"100,0"
24538846,"100,0"
36886750,"94,4"
67422309,"45,7"
67058407,"88,6"
34421265,"95,2"
15791044,"100,0"
65392939,"99,1"
98696836,"97,4"
82160887,"96,3"
23175129,..
64908550,"100,0"
77358716,"100,0"
49739986,"94,5"
29225010,"96,1"
92192566,"100,0"
56886667,"99,4"
33249781,"100,0"
64648566,"97,4"
18691102,"76,9"
70302356,"100,0"
65421426,"98,7"
62394916,"100,0"
67908927,"95,8"
72071234,"99,4"
24349146,"96,7"
83605345,"95,2"
15933512,"97,2"
12198363,..
47692481,"78,3"
64693272,"77,8"
18072172,"100,0"
65833454,"96,2"
85188855,"82,6"
11341077,"100,0"
39528347,"88,9"
34988313,"98,9"
85473846,"91,9"
29744774,..
89690587,"89,4"
28045567,"97,5"
20768651,"94,7"
32239920,"96,9"
98781765,"97,1"
38880984,"96,8"
28872974,"100,0"
87112995,"96,4"
18686599,"98,2"
93779220,"100,0"
77797484,"97,1"
53279140,"100,0"
80785976,"92,9"
47559319,"94,1"
21532545,"95,7"
56187883,"89,7"
20752831,"100,0"
51023367,"93,5"
34739511,"100,0"
95069937,"100,0"
52690153,"93,8"
74776778,"100,0"
18345915,"100,0"
68229719,"100,0"
61004230,"93,9"
71262305,"97,1"
55795961,"100,0"
84947634,"100,0"
23517336,"100,0"
48009865,"99,1"
82840198,"100,0"
18208087,"100,0"
89982804,..
19464342,"100,0"
60743463,"100,0"
32960825,"100,0"
43609520,"100,0"
97968599,"100,0"
91748148,"96,6"
42218661,"97,0"
74434644,"98,4"
42022406,"92,9"
65192707,"97,1"
43634528,"99,2"
36263479,"100,0"
56679384,"98,7"
30538202,"100,0"
19150273,"90,9"
69018222,"93,4"
12889940,"99,1"
16554575,.
34076477,"98,7"
54896448,"100,0"
64284020,..
53400472,"90,0"
97758137,"93,3"
26334561,"99,4"
40386043,"97,8"
59483268,"94,9"
33685428,"100,0"
32879845,"100,0"
88573795,..
20699742,"100,0"
21663998,"99,1"
20595770,"99,0"
82814120,"97,0"
45164827,"98,9"
10924758,"97,3"
34153869,"100,0"
88259298,"100,0"
17846181,"100,0"
75082798,"98,7"
23555409,"99,2"
30341162,"100,0"
72266906,"97,2"
27030026,"96,3"
16950252,"99,0"
34637764,"98,6"
19912478,"95,4"
15077883,"100,0"
48434184,"98,4"
58724424,"100,0"
95684185,"100,0"
51138448,"100,0"
56421429,"100,0"
39911065,"100,0"
17008320,"100,0"
56737496,"97,4"
93939982,"100,0"
25720752,"96,3"
55155562,"95,9"
31533003,"98,9"
16361868,..
23164911,"99,2"
24008049,"96,7"
19981611,"100,0"
54481243,"100,0"
36680097,..
19586169,"100,0"
24273261,"100,0"
95683850,"100,0"
59455288,"92,9"
25679488,"100,0"
25677996,"97,1"
89888648,"91,5"
35063170,"98,0"
31279294,"84,6"
36782335,"100,0"
23897040,..
20666515,"94,4"
37906565,..
67279303,..
21648755,"98,9"
11111710,"100,0"
90551279,"98,0"
69686851,..
49616977,"100,0"
54965510,"99,3"
84835666,"92,7"
25872338,..
54164490,"92,0"
20319353,"85,3"
92194545,"98,4"
64740897,..
78979604,..
10974852,..
85068812,"84,0"
78397312,"98,4"
36444853,"96,3"
16819383,"100,0"
89837629,"100,0"
12994441,"92,6"
88774402,"100,0"
75141151,"96,3"
61701709,"100,0"
61469192,"98,4"
84306392,"100,0"
28627819,"100,0"
30086854,.
26627862,"97,9"
48847282,"100,0"
72517762,"88,5"
79094701,"99,2"
38684438,"95,2"
31251822,"98,1"
90099336,..
35647481,"93,2"
39549479,"95,2"
73147554,"100,0"
69983740,"100,0"
66491596,"100,0"
12052268,"96,3"
71597051,"100,0"
53231578,"98,9"
96279444,"100,0"
40690520,"99,5"
91011325,"100,0"
97382366,"83,3"
35006050,"100,0"
10638939,"78,8"
21505555,"97,5"
34336190,"100,0"
21052710,"99,2"
69739484,"93,0"
92887917,"98,7"
88834120,"100,0"
70066748,"97,4"
19207279,"100,0"
53640774,"97,5"
58502307,"100,0"
97177328,"100,0"
72127035,"100,0"
70969714,"100,0"
68734112,"100,0"
71922787,"97,6"
74148070,"100,0"
92507006,"99,0"
44653962,"100,0"
20100577,"98,9"
81993306,"98,4"
19051089,"100,0"
47264019,"100,0"
50198492,"99,3"
98052678,"97,9"
20099064,"97,5"
16313848,"94,9"
79606767,"100,0"
11294673,"100,0"
86327236,"97,0"
41745951,"100,0"
83137205,"97,7"
28398531,"81,8"
66335258,"100,0"
54172830,"96,9"
75458014,"100,0"
65136104,..
61826221,.
79033948,"100,0"
56330385,"97,7"
20228162,"100,0"
68240485,"100,0"
95046058,"94,7"
44392995,"95,8"
53462953,"96,0"
60730660,"100,0"
82592568,"100,0"
78875918,"98,4"
86385479,"100,0"
49862313,"96,2"
99838438,"94,2"
42859669,"95,3"
99592025,"99,1"
34247736,"100,0"
47550455,"100,0"
30329172,"92,9"
76877530,"81,3"
47046103,"100,0"
38167912,"100,0"
43826783,..
58125096,"94,4"
82914148,"100,0"
20620556,"100,0"
77839100,..
17173461,"100,0"
55535552,.
30468157,"96,7"
