program,skolkod,andel_med_gr_behorighet
Nationella program,27115998,"80,7"
Nationella program,41867682,"61,5"
Nationella program,79516949,"90,3"
Nationella program,65662401,"42,1"
Nationella program,39583059,"24,5"
Nationella program,38645259,..
Nationella program,96684210,"95,4"
Nationella program,87207941,"83,1"
Nationella program,11673760,"71,2"
Nationella program,46574937,"93,8"
Nationella program,23836342,"87,9"
Nationella program,63791419,"61,1"
Nationella program,39805497,"48,6"
Nationella program,38400227,"47,0"
Nationella program,81619482,"98,4"
Nationella program,83829189,..
Nationella program,46145886,"29,3"
Nationella program,12395564,"100,0"
Nationella program,90006712,"100,0"
Nationella program,43649848,"75,0"
Nationella program,75344502,..
Nationella program,84247499,..
Nationella program,27041885,"42,1"
Nationella program,39149668,"95,8"
Nationella program,97064126,..
Nationella program,32580162,"65,2"
Nationella program,38233622,"87,5"
Nationella program,48722826,"54,2"
Nationella program,73063662,"71,4"
Nationella program,40766349,"89,7"
Nationella program,71571158,..
Nationella program,53691739,"73,3"
Nationella program,43251309,"100,0"
Nationella program,97596286,"31,0"
Nationella program,67554405,"73,0"
Nationella program,86473502,..
Nationella program,73944169,"96,0"
Nationella program,98239050,"82,9"
Nationella program,94455820,..
Nationella program,58368956,"35,7"
Nationella program,73567152,..
Nationella program,61547652,"41,7"
Nationella program,60209222,..
Nationella program,62104139,"85,7"
Nationella program,87034307,"90,8"
Nationella program,78872213,"84,8"
Nationella program,84286698,..
Nationella program,62490359,..
Nationella program,64725297,..
Nationella program,43362941,..
Nationella program,23350817,..
Nationella program,76860623,"95,3"
Nationella program,58191646,"89,4"
Nationella program,80405898,"95,2"
Nationella program,56021320,"90,0"
Nationella program,41358402,..
Nationella program,63179610,"73,9"
Nationella program,64569393,"61,4"
Nationella program,87262566,..
Nationella program,64160122,"100,0"
Nationella program,48217580,"93,0"
Nationella program,41844601,"23,3"
Nationella program,51620045,"76,9"
Nationella program,86888278,"78,9"
Nationella program,23457902,..
Nationella program,27597104,"78,3"
Nationella program,57397381,"66,7"
Nationella program,56947954,"58,0"
