skolkod,andel_med_studiebevis
12496135,.
76903284,"13,6"
68649663,..
43623146,.
49141105,"28,8"
15870428,..
26646080,"8,8"
26750052,..
18974693,"7,5"
26996566,..
27704246,"9,1"
81997762,..
28967085,.
69747871,..
70119254,.
31151740,..
79346084,"12,8"
34222422,..
84230226,.
42060237,..
89816391,..
14448619,"10,5"
12546590,"17,2"
43565270,"19,8"
77176811,..
52791537,..
85152591,.
85819857,.
40600798,..
52942981,..
54117171,..
48120273,..
33233228,.
94167577,"32,9"
27023528,"23,4"
53903798,"31,6"
85782695,..
98815582,"22,7"
97770837,"16,2"
21312503,.
69650864,.
59581397,..
14926020,..
41938272,..
29423248,..
76054399,..
33132452,"23,8"
56942970,.
60142020,.
70811222,.
17911161,"41,0"
35084976,..
25525759,.
77632411,..
56653353,..
49068301,"23,2"
59898194,..
38195284,"10,1"
97510495,"8,7"
89461767,"13,3"
94717858,"9,2"
53760158,.
78422467,..
37802196,..
38683336,.
36288955,..
74812809,..
88839172,..
48412612,..
95618280,"23,6"
75075402,"10,5"
26326048,"23,3"
37839488,"22,0"
46256929,..
83374651,.
59796774,.
17675502,"39,5"
75600007,"20,0"
73812226,"22,9"
30762346,.
82964090,..
88955893,..
15278518,"13,9"
15390992,"4,7"
63943560,..
85516596,"12,1"
31998226,..
38236800,..
16784385,"12,5"
59026584,"6,4"
79829846,..
89963319,.
24339566,..
20061769,.
65458415,.
95154882,..
52333875,"22,2"
24663703,.
28519815,"25,5"
65666808,"14,3"
69543519,"40,7"
24397215,..
30677562,..
85054102,..
87274273,.
89693952,.
24759907,"43,1"
78433202,..
41631104,..
35366805,..
31315191,..
80357110,..
42775003,..
56670842,.
89370947,..
18451445,.
48555205,"13,1"
31313926,"27,6"
30312720,..
32116280,..
57143976,"14,0"
93367005,"17,0"
53175499,.
64388538,.
52153758,.
16501673,"31,6"
26298615,.
22116645,..
99755443,..
30167976,..
50104466,.
28004794,.
32071849,..
79845033,..
41099519,..
59386837,..
21627442,.
17276047,"20,8"
73217812,"26,3"
21382451,..
48244956,"20,0"
36769815,.
16931486,..
92489953,..
43873969,..
55825382,"19,7"
19306558,..
35301145,"12,5"
24993048,..
70132092,..
65034473,..
13084253,"19,6"
32321364,..
59942080,..
66273269,..
82888663,"28,8"
11275959,..
58518163,..
50615280,..
19035583,.
27993549,"31,5"
37912396,..
45593337,"14,5"
90312942,..
10226870,..
19839859,.
80280597,.
67628478,.
37517404,.
29159460,..
32057701,..
43601850,..
30615080,"31,0"
89630851,..
25178582,..
70543431,.
23476801,.
86351879,"11,5"
56041144,..
14586562,.
74322969,..
90260899,..
69302313,..
31057219,"13,5"
27079521,..
33572033,..
64579522,..
65234368,.
34381901,..
55150847,..
90076461,..
96414537,..
53069733,..
99394620,.
95368476,..
14853321,..
76448076,"20,7"
31537066,..
86488203,"15,1"
25156286,..
28081446,..
21400668,..
92949043,"13,0"
92818240,"13,8"
84329061,"10,4"
71969230,..
91048178,"11,6"
82718660,.
76942525,..
12399380,.
31486865,..
97265732,..
10373112,.
61720981,"10,5"
25698509,..
50424828,"17,6"
82931004,..
83584125,.
95024660,..
32263814,..
16496466,..
12075195,..
62300682,..
47393891,..
48414975,.
65265211,..
11533776,"17,3"
47108751,..
97191332,..
71938440,..
28829503,..
22811839,.
33205596,.
99622695,.
19930101,..
60727136,.
45132264,..
61647360,.
98651664,..
33657492,"14,4"
61622991,..
66644568,..
93659517,..
79309485,..
61175914,..
73316818,.
37078868,.
27859889,.
16130958,..
29161632,.
82195565,..
33596572,..
45541222,.
77713695,..
63451147,.
51131594,..
89680395,.
53696633,.
27440210,..
62758285,.
16218090,.
61197669,.
64667996,..
17812651,..
23544320,.
57668673,..
69040241,..
63993414,.
49136871,.
91905819,..
20855811,"27,9"
54882637,..
53923398,"16,6"
74560191,.
47844862,"6,3"
22239675,..
72984079,"28,3"
36480690,"13,2"
24787883,..
32995170,..
52048443,..
61674097,..
32550660,..
93488613,..
45600034,.
59599256,"4,6"
69865450,..
31112935,..
26957025,..
90509211,"13,0"
43277545,"30,4"
37316242,..
20173336,"15,2"
49872493,..
39147056,..
11953769,..
28646435,..
50393060,..
85788659,..
95340745,..
59521477,..
92442684,"16,7"
66095163,"19,6"
38544187,"23,4"
54599691,"11,3"
