program,skolkod,antal_elever
nationella program,48722826,120
nationella program,73063662,63
nationella program,40766349,29
nationella program,71571158,32
nationella program,53691739,45
nationella program,43251309,24
nationella program,97596286,84
nationella program,67554405,163
nationella program,86473502,14
nationella program,73944169,101
nationella program,98239050,59
nationella program,94455820,..
nationella program,58368956,42
nationella program,73567152,35
nationella program,61547652,48
nationella program,60209222,58
nationella program,62104139,63
nationella program,87034307,119
nationella program,78872213,99
nationella program,84286698,26
nationella program,62490359,13
nationella program,64725297,29
nationella program,43362941,23
nationella program,23350817,12
nationella program,76860623,64
nationella program,58191646,94
nationella program,80405898,62
nationella program,56021320,43
nationella program,41358402,25
nationella program,63179610,23
nationella program,64569393,44
nationella program,87262566,41
nationella program,64160122,48
nationella program,48217580,142
nationella program,41844601,60
nationella program,51620045,78
nationella program,86888278,19
nationella program,23457902,14
nationella program,27597104,23
nationella program,57397381,210
nationella program,56947954,157
nationella program,72022487,225
nationella program,71512894,62
nationella program,70969556,20
nationella program,28248021,77
nationella program,44417214,130
nationella program,25025681,68
nationella program,88776535,84
nationella program,49488344,41
nationella program,74408578,80
nationella program,71043974,270
nationella program,57777751,..
nationella program,38732602,12
nationella program,89807183,99
nationella program,86724994,83
nationella program,61161774,137
nationella program,86158933,75
nationella program,14102256,80
nationella program,75082280,14
nationella program,75914181,62
nationella program,39302565,60
nationella program,96818167,17
nationella program,36072799,26
nationella program,61432781,71
nationella program,78287294,27
nationella program,74316305,35
nationella program,39096170,17
nationella program,79527481,134
nationella program,67300857,88
nationella program,99279503,70
nationella program,63653488,..
nationella program,84476205,45
nationella program,24544503,114
nationella program,25392789,115
nationella program,72109637,..
nationella program,69240218,86
nationella program,14057258,10
nationella program,38460895,18
nationella program,31199511,119
nationella program,12934438,198
nationella program,43313366,124
nationella program,86787111,70
nationella program,97868185,29
nationella program,81551726,18
nationella program,77823650,57
nationella program,37550979,20
nationella program,52634142,93
nationella program,76195214,65
nationella program,54839753,..
nationella program,32705515,55
nationella program,60214465,37
nationella program,70137084,88
nationella program,82002016,67
nationella program,21901328,19
nationella program,23306658,119
nationella program,57350392,..
nationella program,97535124,34
nationella program,11102578,102
nationella program,69306209,79
nationella program,92651253,21
nationella program,31740319,37
nationella program,10129345,88
nationella program,17944628,130
nationella program,82826083,32
nationella program,94468610,37
nationella program,94090461,89
nationella program,12954099,78
nationella program,80931789,127
nationella program,84098842,29
nationella program,90473340,31
nationella program,26167236,56
nationella program,69807202,74
nationella program,64648904,51
nationella program,75939593,327
nationella program,63035915,274
nationella program,26324896,46
nationella program,56639389,452
nationella program,95700485,42
nationella program,51449748,121
nationella program,28267726,50
nationella program,28848709,20
nationella program,12613085,50
nationella program,53896162,714
nationella program,17779637,87
nationella program,11185244,35
nationella program,56211717,20
nationella program,66824652,47
nationella program,49168016,58
nationella program,32042066,52
nationella program,50821167,10
nationella program,71929526,31
nationella program,92814975,40
nationella program,60873719,80
nationella program,28085125,16
nationella program,28770304,37
nationella program,21938183,69
nationella program,78986228,10
nationella program,71472793,31
nationella program,64123241,15
nationella program,69063711,43
nationella program,77609073,52
nationella program,35894996,79
nationella program,12926770,38
nationella program,17119840,33
nationella program,68748767,94
nationella program,23548714,63
nationella program,48593439,60
nationella program,91773491,70
nationella program,30361243,364
nationella program,25596917,128
nationella program,65722876,287
nationella program,20984584,19
nationella program,52129378,73
nationella program,65381163,187
nationella program,98541468,18
nationella program,31155312,50
nationella program,25648215,48
nationella program,61823258,24
nationella program,84424083,216
nationella program,39178171,29
nationella program,49231191,47
nationella program,78231062,239
nationella program,79994304,..
nationella program,10481541,122
nationella program,68006362,122
nationella program,11608031,51
nationella program,86762103,28
nationella program,68381790,83
nationella program,13006857,198
nationella program,76007769,39
nationella program,16956086,200
nationella program,58187973,40
nationella program,88894245,21
nationella program,31870541,75
nationella program,71160225,25
nationella program,67752682,48
nationella program,47884009,31
nationella program,44672598,152
nationella program,75340089,32
nationella program,36670439,26
nationella program,22220001,59
nationella program,31822012,95
nationella program,83161201,81
nationella program,15100079,..
nationella program,55421481,..
nationella program,99356671,17
nationella program,16702464,23
nationella program,71353314,..
nationella program,29449669,108
nationella program,62855448,54
nationella program,36252055,292
nationella program,91812793,350
nationella program,14355031,45
nationella program,72891848,42
nationella program,46611859,180
nationella program,58907711,118
nationella program,68285560,150
nationella program,58544422,97
nationella program,65150019,72
nationella program,31796890,..
nationella program,22426680,13
nationella program,83805032,29
nationella program,48862305,81
nationella program,32887559,46
nationella program,71541108,40
nationella program,53832505,41
nationella program,47537928,29
nationella program,69471748,115
nationella program,49750031,50
nationella program,76485705,57
nationella program,93239262,76
nationella program,25745773,69
nationella program,99976753,93
nationella program,14278480,36
nationella program,75575321,128
nationella program,28023078,65
nationella program,43284031,83
nationella program,13963517,12
nationella program,24194577,..
nationella program,26267406,24
nationella program,31255918,68
nationella program,51955293,95
nationella program,57690933,95
