program,skolkod,gbp
Nationella program,17173461,"13,6"
Nationella program,55535552,..
Nationella program,19560192,"13,1"
Nationella program,30468157,"14,6"
Nationella program,98053087,"12,8"
Nationella program,92533079,"15,4"
Nationella program,61528940,"15,7"
Nationella program,23681822,"15,6"
Nationella program,66861851,"14,2"
Nationella program,72206824,"14,4"
Nationella program,92858957,"14,5"
Nationella program,46660042,"13,0"
Nationella program,86296935,..
Nationella program,44113417,"14,3"
Nationella program,67783774,..
Nationella program,38917647,"12,5"
Nationella program,21363125,..
Nationella program,39555838,"14,0"
Nationella program,85214294,"13,0"
Nationella program,82084961,"12,9"
Nationella program,46162400,"12,4"
Nationella program,98369689,"12,6"
Nationella program,56529916,"13,8"
Nationella program,40810950,"14,7"
Nationella program,67279263,"14,6"
Nationella program,40037982,"13,2"
Nationella program,51210136,"15,8"
Nationella program,73829818,"14,7"
Nationella program,54395430,.
Nationella program,18881773,"12,7"
Nationella program,50908408,"14,2"
Nationella program,18594470,"13,5"
Nationella program,78295411,"13,9"
Nationella program,80686587,"15,6"
Nationella program,72232853,"15,3"
Nationella program,12279302,"12,8"
Nationella program,17849518,"12,5"
Nationella program,64205087,"13,6"
Nationella program,50500028,"14,1"
Nationella program,94570025,"13,2"
Nationella program,91984508,"14,0"
Nationella program,78659008,"14,8"
Nationella program,12448823,..
Nationella program,40667807,"14,4"
Nationella program,18091973,"14,2"
Nationella program,88466776,"15,7"
Nationella program,36539945,..
Nationella program,40634612,"13,7"
Nationella program,62439199,"12,8"
Nationella program,66132676,"14,7"
Nationella program,57942242,"15,0"
Nationella program,80762863,"12,4"
Nationella program,77688926,"16,2"
Nationella program,14508922,"14,5"
Nationella program,69629086,"13,1"
Nationella program,88624631,"12,4"
Nationella program,35390185,..
Nationella program,37358234,"13,0"
Nationella program,31657916,"12,6"
Nationella program,21008461,"14,6"
Nationella program,54606928,"14,7"
Nationella program,53893730,"13,9"
Nationella program,46241804,"13,2"
Nationella program,42573391,"13,7"
Nationella program,64574972,"14,0"
Nationella program,19741742,"13,9"
Nationella program,29032715,"14,0"
Nationella program,45830583,"14,4"
Nationella program,48931433,"14,5"
Nationella program,97270136,"13,7"
Nationella program,19909435,"13,6"
Nationella program,30530571,"14,3"
Nationella program,78839208,"15,2"
Nationella program,96024712,"14,7"
Nationella program,30458073,..
Nationella program,40829056,"12,8"
Nationella program,85800840,"14,2"
Nationella program,68920727,"14,9"
Nationella program,27115998,"14,0"
Nationella program,41867682,"12,5"
Nationella program,79516949,"13,9"
Nationella program,65662401,"14,5"
Nationella program,39583059,"13,2"
Nationella program,38645259,"12,3"
Nationella program,96684210,"14,6"
Nationella program,87207941,"14,3"
Nationella program,11673760,"13,6"
Nationella program,46574937,"14,9"
Nationella program,23836342,"14,3"
Nationella program,63791419,"13,5"
Nationella program,39805497,"13,7"
Nationella program,38400227,"13,0"
Nationella program,81619482,"15,7"
Nationella program,83829189,"13,2"
Nationella program,46145886,"14,9"
Nationella program,12395564,"15,9"
Nationella program,90006712,"16,7"
Nationella program,43649848,"13,3"
Nationella program,75344502,"13,8"
Nationella program,84247499,"12,8"
Nationella program,27041885,"12,6"
Nationella program,39149668,"13,8"
Nationella program,97064126,..
Nationella program,32580162,"14,5"
Nationella program,38233622,"15,2"
Nationella program,48722826,"13,6"
Nationella program,73063662,"13,8"
Nationella program,40766349,"13,9"
Nationella program,71571158,"12,3"
Nationella program,53691739,"12,4"
Nationella program,43251309,"13,5"
Nationella program,97596286,"12,9"
Nationella program,67554405,"13,9"
Nationella program,86473502,"12,1"
Nationella program,73944169,"14,9"
Nationella program,98239050,"15,0"
Nationella program,94455820,..
Nationella program,58368956,"13,6"
Nationella program,73567152,"13,0"
Nationella program,61547652,"13,4"
Nationella program,60209222,"13,6"
Nationella program,62104139,"14,2"
Nationella program,87034307,"15,0"
Nationella program,78872213,"15,2"
Nationella program,84286698,"13,8"
Nationella program,62490359,"14,3"
Nationella program,64725297,"13,4"
Nationella program,43362941,"14,0"
Nationella program,23350817,"13,2"
Nationella program,76860623,"15,8"
Nationella program,58191646,"13,7"
Nationella program,80405898,"14,5"
Nationella program,56021320,"14,4"
Nationella program,41358402,"11,3"
Nationella program,63179610,"11,5"
Nationella program,64569393,"13,9"
Nationella program,87262566,"12,4"
Nationella program,64160122,"16,3"
Nationella program,48217580,"13,2"
Nationella program,41844601,"13,4"
Nationella program,51620045,"14,1"
Nationella program,86888278,"13,6"
Nationella program,23457902,"12,5"
Nationella program,27597104,"13,4"
Nationella program,57397381,"13,1"
Nationella program,56947954,"13,9"
Nationella program,72022487,"13,9"
Nationella program,71512894,"15,0"
Nationella program,70969556,"13,0"
Nationella program,28248021,"13,2"
Nationella program,44417214,"14,1"
Nationella program,25025681,"13,2"
Nationella program,88776535,"15,1"
Nationella program,49488344,"14,5"
Nationella program,74408578,"13,6"
Nationella program,71043974,"14,8"
Nationella program,57777751,..
Nationella program,38732602,"15,6"
Nationella program,89807183,"15,4"
Nationella program,86724994,"13,1"
Nationella program,61161774,"14,4"
Nationella program,86158933,"14,5"
Nationella program,14102256,"13,5"
Nationella program,75082280,"12,8"
Nationella program,75914181,"13,3"
Nationella program,39302565,"12,4"
Nationella program,96818167,"14,8"
Nationella program,36072799,"14,7"
Nationella program,61432781,"12,7"
Nationella program,78287294,"13,4"
Nationella program,74316305,"12,6"
Nationella program,39096170,"13,9"
Nationella program,79527481,"14,6"
Nationella program,67300857,"15,6"
Nationella program,99279503,"13,6"
Nationella program,63653488,..
Nationella program,84476205,"15,4"
Nationella program,24544503,"14,7"
Nationella program,25392789,"14,8"
Nationella program,72109637,..
Nationella program,69240218,"15,0"
Nationella program,14057258,"12,7"
Nationella program,38460895,"12,5"
Nationella program,31199511,"14,9"
Nationella program,12934438,"16,3"
Nationella program,43313366,"14,3"
Nationella program,86787111,"13,2"
Nationella program,97868185,"15,4"
Nationella program,81551726,"11,3"
Nationella program,77823650,"13,7"
Nationella program,37550979,"14,3"
Nationella program,52634142,"14,2"
Nationella program,76195214,"14,5"
Nationella program,54839753,..
Nationella program,32705515,"13,5"
Nationella program,60214465,"13,5"
Nationella program,70137084,"13,4"
Nationella program,82002016,"14,9"
Nationella program,21901328,"13,3"
Nationella program,23306658,"14,2"
Nationella program,57350392,..
Nationella program,97535124,"15,2"
Nationella program,11102578,"14,6"
Nationella program,69306209,"13,7"
Nationella program,92651253,"13,3"
Nationella program,31740319,"13,3"
Nationella program,10129345,"15,0"
Nationella program,17944628,"14,7"
Nationella program,82826083,"13,2"
Nationella program,94468610,"14,9"
Nationella program,94090461,"14,0"
Nationella program,12954099,"14,2"
Nationella program,80931789,"15,4"
Nationella program,84098842,"13,3"
Nationella program,90473340,"13,3"
Nationella program,26167236,"13,2"
Nationella program,69807202,"14,3"
Nationella program,64648904,"15,0"
Nationella program,75939593,"15,6"
Nationella program,63035915,"12,9"
Nationella program,26324896,"13,7"
Nationella program,56639389,"16,4"
Nationella program,95700485,"16,6"
Nationella program,51449748,"14,7"
Nationella program,28267726,"17,4"
Nationella program,28848709,"12,7"
Nationella program,12613085,"12,4"
Nationella program,53896162,"14,9"
Nationella program,17779637,"15,6"
Nationella program,11185244,"13,2"
Nationella program,56211717,"13,5"
Nationella program,66824652,"13,7"
Nationella program,49168016,"14,2"
Nationella program,32042066,"13,9"
Nationella program,50821167,"13,8"
Nationella program,71929526,"15,0"
Nationella program,92814975,"13,0"
Nationella program,60873719,"15,4"
Nationella program,28085125,"13,2"
Nationella program,28770304,"12,6"
Nationella program,21938183,"15,1"
Nationella program,78986228,.
Nationella program,71472793,"14,1"
Nationella program,64123241,"12,5"
Nationella program,69063711,"13,6"
Nationella program,77609073,"12,4"
Nationella program,35894996,"13,6"
Nationella program,12926770,"13,3"
Nationella program,17119840,"13,0"
Nationella program,68748767,"12,3"
Nationella program,23548714,"13,3"
Nationella program,48593439,"13,4"
Nationella program,91773491,"13,2"
Nationella program,30361243,"15,0"
Nationella program,25596917,"14,7"
Nationella program,65722876,"15,4"
