program,skolkod,andel_minst_e_eng5
Nationella program,76877530,"100,0"
Nationella program,47046103,"100,0"
Nationella program,56664512,..
Nationella program,38167912,"100,0"
Nationella program,43826783,..
Nationella program,58125096,"99,2"
Nationella program,82914148,"100,0"
Nationella program,20620556,"100,0"
Nationella program,77839100,..
Nationella program,17173461,"96,4"
Nationella program,55535552,..
Nationella program,19560192,"96,2"
Nationella program,30468157,"100,0"
Nationella program,98053087,"94,6"
Nationella program,92533079,"100,0"
Nationella program,61528940,"100,0"
Nationella program,23681822,"100,0"
Nationella program,66861851,"100,0"
Nationella program,72206824,"100,0"
Nationella program,92858957,"98,9"
Nationella program,46660042,"93,8"
Nationella program,86296935,..
Nationella program,44113417,"100,0"
Nationella program,67783774,..
Nationella program,38917647,"100,0"
Nationella program,21363125,..
Nationella program,39555838,"100,0"
Nationella program,85214294,"92,9"
Nationella program,82084961,"99,5"
Nationella program,46162400,"100,0"
Nationella program,98369689,"91,9"
Nationella program,56529916,"98,3"
Nationella program,40810950,"100,0"
Nationella program,67279263,"100,0"
Nationella program,40037982,"97,8"
Nationella program,51210136,"100,0"
Nationella program,73829818,"100,0"
Nationella program,54395430,.
Nationella program,18881773,"100,0"
Nationella program,50908408,"100,0"
Nationella program,18594470,"100,0"
Nationella program,78295411,"100,0"
Nationella program,80686587,"100,0"
Nationella program,72232853,"100,0"
Nationella program,12279302,"98,9"
Nationella program,17849518,"100,0"
Nationella program,64205087,"100,0"
Nationella program,50500028,"100,0"
Nationella program,94570025,"100,0"
Nationella program,91984508,"100,0"
Nationella program,78659008,"97,2"
Nationella program,12448823,..
Nationella program,40667807,"98,4"
Nationella program,18091973,"100,0"
Nationella program,88466776,"100,0"
Nationella program,36539945,..
Nationella program,40634612,"100,0"
Nationella program,62439199,"100,0"
Nationella program,66132676,"98,9"
Nationella program,57942242,"97,4"
Nationella program,80762863,"93,1"
Nationella program,77688926,"100,0"
Nationella program,14508922,"100,0"
Nationella program,69629086,"99,1"
Nationella program,88624631,"87,0"
Nationella program,35390185,..
Nationella program,37358234,"100,0"
Nationella program,31657916,"91,7"
Nationella program,21008461,"100,0"
Nationella program,54606928,"97,1"
Nationella program,53893730,"100,0"
Nationella program,46241804,"100,0"
Nationella program,42573391,"100,0"
Nationella program,64574972,"98,5"
Nationella program,19741742,"100,0"
Nationella program,29032715,"100,0"
Nationella program,45830583,"100,0"
Nationella program,48931433,"100,0"
Nationella program,97270136,"86,2"
Nationella program,19909435,"100,0"
Nationella program,30530571,"100,0"
Nationella program,78839208,"100,0"
Nationella program,96024712,"100,0"
Nationella program,30458073,..
Nationella program,40829056,"100,0"
Nationella program,85800840,"100,0"
Nationella program,68920727,"100,0"
Nationella program,27115998,"100,0"
Nationella program,41867682,"100,0"
Nationella program,79516949,"100,0"
Nationella program,65662401,"100,0"
Nationella program,39583059,"94,0"
Nationella program,38645259,"96,9"
Nationella program,96684210,"100,0"
Nationella program,87207941,"100,0"
Nationella program,11673760,"96,7"
Nationella program,46574937,"99,7"
Nationella program,23836342,"97,0"
Nationella program,63791419,"97,9"
Nationella program,39805497,"95,8"
Nationella program,38400227,"99,0"
Nationella program,81619482,"100,0"
Nationella program,83829189,"100,0"
Nationella program,46145886,"100,0"
Nationella program,12395564,"100,0"
Nationella program,90006712,"100,0"
Nationella program,43649848,"100,0"
Nationella program,75344502,"95,0"
Nationella program,84247499,"100,0"
Nationella program,27041885,"81,6"
Nationella program,39149668,"100,0"
Nationella program,97064126,..
Nationella program,32580162,"100,0"
Nationella program,38233622,"100,0"
Nationella program,48722826,"99,2"
Nationella program,73063662,"100,0"
Nationella program,40766349,"100,0"
Nationella program,71571158,"93,8"
Nationella program,53691739,"100,0"
Nationella program,43251309,"100,0"
Nationella program,97596286,"95,2"
Nationella program,67554405,"100,0"
Nationella program,86473502,"100,0"
Nationella program,73944169,"100,0"
Nationella program,98239050,"100,0"
Nationella program,94455820,..
Nationella program,58368956,"90,5"
Nationella program,73567152,"85,7"
Nationella program,61547652,"97,9"
Nationella program,60209222,"100,0"
Nationella program,62104139,"100,0"
Nationella program,87034307,"100,0"
Nationella program,78872213,"100,0"
Nationella program,84286698,"100,0"
Nationella program,62490359,"92,3"
Nationella program,64725297,"100,0"
Nationella program,43362941,"100,0"
Nationella program,23350817,"100,0"
Nationella program,76860623,"100,0"
Nationella program,58191646,"100,0"
Nationella program,80405898,"100,0"
Nationella program,56021320,"100,0"
Nationella program,41358402,"100,0"
Nationella program,63179610,"100,0"
Nationella program,64569393,"100,0"
Nationella program,87262566,"95,1"
Nationella program,64160122,"100,0"
Nationella program,48217580,"100,0"
Nationella program,41844601,"100,0"
Nationella program,51620045,"98,7"
Nationella program,86888278,"100,0"
Nationella program,23457902,"100,0"
Nationella program,27597104,"100,0"
Nationella program,57397381,"99,5"
Nationella program,56947954,"100,0"
Nationella program,72022487,"98,7"
Nationella program,71512894,"100,0"
Nationella program,70969556,"100,0"
Nationella program,28248021,"97,4"
Nationella program,44417214,"99,2"
Nationella program,25025681,"98,5"
Nationella program,88776535,"100,0"
Nationella program,49488344,"100,0"
Nationella program,74408578,"100,0"
Nationella program,71043974,"100,0"
Nationella program,57777751,..
Nationella program,38732602,"100,0"
Nationella program,89807183,"100,0"
Nationella program,86724994,"98,8"
Nationella program,61161774,"100,0"
Nationella program,86158933,"97,3"
Nationella program,14102256,"98,8"
Nationella program,75082280,"100,0"
Nationella program,75914181,"100,0"
Nationella program,39302565,"98,3"
Nationella program,96818167,"100,0"
Nationella program,36072799,"96,2"
Nationella program,61432781,"91,5"
Nationella program,78287294,"100,0"
Nationella program,74316305,"97,1"
Nationella program,39096170,"100,0"
Nationella program,79527481,"100,0"
Nationella program,67300857,"100,0"
Nationella program,99279503,"98,6"
Nationella program,63653488,..
Nationella program,84476205,"100,0"
Nationella program,24544503,"99,1"
Nationella program,25392789,"100,0"
Nationella program,72109637,..
Nationella program,69240218,"98,8"
Nationella program,14057258,..
Nationella program,38460895,"100,0"
Nationella program,31199511,"100,0"
Nationella program,12934438,"100,0"
Nationella program,43313366,"100,0"
Nationella program,86787111,"98,6"
