program,skolkod,andel_minst_e_ma1
nationella program,70066748,"100,0"
nationella program,19207279,"100,0"
nationella program,53640774,"98,3"
nationella program,58502307,"100,0"
nationella program,97177328,"98,0"
nationella program,72127035,"100,0"
nationella program,70969714,"100,0"
nationella program,85003442,"100,0"
nationella program,22752398,"100,0"
nationella program,68734112,"100,0"
nationella program,71922787,"100,0"
nationella program,31843016,"88,2"
nationella program,74148070,"100,0"
nationella program,50696507,"100,0"
nationella program,92507006,"100,0"
nationella program,44653962,"100,0"
nationella program,20100577,"100,0"
nationella program,81993306,"98,9"
nationella program,19051089,"100,0"
nationella program,29097621,"93,5"
nationella program,47264019,"98,4"
nationella program,87764775,"83,3"
nationella program,50198492,"98,6"
nationella program,48438396,"85,4"
nationella program,98052678,"100,0"
nationella program,20099064,"93,8"
nationella program,44341171,"69,0"
nationella program,32671805,"78,7"
nationella program,38448056,"93,3"
nationella program,16313848,"98,6"
nationella program,79606767,"97,0"
nationella program,11294673,"100,0"
nationella program,86327236,"100,0"
nationella program,41745951,"100,0"
nationella program,83137205,"100,0"
nationella program,28398531,"100,0"
nationella program,66335258,"98,0"
nationella program,54172830,"100,0"
nationella program,86310217,"96,4"
nationella program,83085136,"100,0"
nationella program,75458014,"100,0"
nationella program,65136104,"100,0"
nationella program,61826221,.
nationella program,79033948,"98,5"
nationella program,56330385,"93,4"
nationella program,20228162,"100,0"
nationella program,68240485,"100,0"
nationella program,95046058,"94,7"
nationella program,44392995,"98,0"
nationella program,53462953,"100,0"
nationella program,69241230,"91,3"
nationella program,60730660,"100,0"
nationella program,85544331,"100,0"
nationella program,80327946,"97,5"
nationella program,82592568,"99,3"
nationella program,78875918,"99,3"
nationella program,78023197,"95,7"
nationella program,86385479,"94,7"
nationella program,40991561,..
nationella program,49862313,"88,6"
nationella program,99838438,"97,2"
nationella program,42859669,"99,2"
nationella program,70923626,"84,1"
nationella program,92905347,"100,0"
nationella program,99592025,"99,6"
nationella program,34247736,"97,6"
nationella program,47550455,"96,3"
nationella program,30329172,"100,0"
nationella program,76877530,"88,2"
nationella program,47046103,"90,0"
nationella program,56664512,..
nationella program,38167912,"93,3"
nationella program,43826783,..
nationella program,58125096,"100,0"
nationella program,82914148,"100,0"
nationella program,20620556,"100,0"
nationella program,77839100,..
nationella program,17173461,"92,9"
nationella program,55535552,..
nationella program,19560192,"92,3"
nationella program,30468157,"100,0"
nationella program,98053087,"95,9"
nationella program,92533079,"100,0"
nationella program,61528940,"100,0"
nationella program,23681822,"100,0"
nationella program,66861851,"100,0"
nationella program,72206824,"100,0"
nationella program,92858957,"98,9"
nationella program,46660042,"94,5"
nationella program,86296935,..
nationella program,44113417,"97,7"
nationella program,67783774,..
nationella program,38917647,..
nationella program,21363125,.
nationella program,39555838,"100,0"
nationella program,85214294,"95,2"
nationella program,82084961,"96,8"
nationella program,46162400,"100,0"
nationella program,98369689,"98,4"
nationella program,56529916,"98,3"
nationella program,40810950,"100,0"
nationella program,67279263,"100,0"
nationella program,40037982,"97,8"
nationella program,51210136,"100,0"
nationella program,73829818,"100,0"
nationella program,54395430,.
nationella program,18881773,"100,0"
nationella program,50908408,"90,9"
nationella program,18594470,"96,8"
nationella program,78295411,"98,7"
nationella program,80686587,"100,0"
nationella program,72232853,"100,0"
nationella program,12279302,"97,9"
nationella program,17849518,"100,0"
nationella program,64205087,"98,6"
nationella program,50500028,"100,0"
nationella program,94570025,"87,5"
nationella program,91984508,"94,1"
nationella program,78659008,"100,0"
nationella program,12448823,..
nationella program,40667807,"98,4"
nationella program,18091973,"100,0"
nationella program,88466776,"100,0"
nationella program,36539945,..
nationella program,40634612,"96,5"
nationella program,62439199,"95,0"
nationella program,66132676,"96,6"
nationella program,57942242,"100,0"
nationella program,80762863,"98,3"
nationella program,77688926,"100,0"
nationella program,14508922,"100,0"
nationella program,69629086,"100,0"
nationella program,88624631,"100,0"
nationella program,35390185,..
nationella program,37358234,"88,9"
nationella program,31657916,"100,0"
nationella program,21008461,"100,0"
nationella program,54606928,"99,0"
nationella program,53893730,"100,0"
nationella program,46241804,"95,0"
nationella program,42573391,"100,0"
nationella program,64574972,"96,9"
nationella program,19741742,"94,7"
