program,provnamn,skol_kod,andel_c
fordons- och transportprogrammet,engelska 5,87764775,..
hantverksprogrammet,engelska 5,87764775,..
vvs- och fastighetsprogrammet,engelska 5,87764775,..
vård- och omsorgsprogrammet,engelska 5,87764775,.
vård- och omsorgsprogrammet,engelska 5,48438396,..
barn- och fritidsprogrammet,engelska 5,98052678,"27,8"
handels- och administrationsprogrammet,engelska 5,44341171,..
barn- och fritidsprogrammet,engelska 5,32671805,..
handels- och administrationsprogrammet,engelska 5,32671805,..
hantverksprogrammet,engelska 5,32671805,..
industritekniska programmet,engelska 5,32671805,..
restaurang- och livsmedelsprogrammet,engelska 5,32671805,"47,6"
vård- och omsorgsprogrammet,engelska 5,32671805,..
naturbruksprogrammet,engelska 5,38448056,"18,2"
barn- och fritidsprogrammet,engelska 5,16313848,"19,6"
bygg- och anläggningsprogrammet,engelska 5,16313848,..
el- och energiprogrammet,engelska 5,16313848,"32,3"
fordons- och transportprogrammet,engelska 5,16313848,"22,0"
industritekniska programmet,engelska 5,16313848,..
vvs- och fastighetsprogrammet,engelska 5,16313848,..
vård- och omsorgsprogrammet,engelska 5,16313848,..
handels- och administrationsprogrammet,engelska 5,79606767,..
bygg- och anläggningsprogrammet,engelska 5,11294673,..
el- och energiprogrammet,engelska 5,11294673,"46,2"
handels- och administrationsprogrammet,engelska 5,11294673,.
vård- och omsorgsprogrammet,engelska 5,11294673,..
barn- och fritidsprogrammet,engelska 5,86327236,.
bygg- och anläggningsprogrammet,engelska 5,86327236,"52,9"
fordons- och transportprogrammet,engelska 5,86327236,..
handels- och administrationsprogrammet,engelska 5,86327236,..
handels- och administrationsprogrammet,engelska 5,28398531,"31,0"
hantverksprogrammet,engelska 5,66335258,..
vård- och omsorgsprogrammet,engelska 5,66335258,"26,1"
barn- och fritidsprogrammet,engelska 5,54172830,"27,8"
handels- och administrationsprogrammet,engelska 5,54172830,..
industritekniska programmet,engelska 5,54172830,..
fordons- och transportprogrammet,engelska 5,86310217,"19,2"
barn- och fritidsprogrammet,engelska 5,77352223,..
bygg- och anläggningsprogrammet,engelska 5,77352223,.
el- och energiprogrammet,engelska 5,77352223,..
fordons- och transportprogrammet,engelska 5,77352223,..
handels- och administrationsprogrammet,engelska 5,77352223,..
hantverksprogrammet,engelska 5,77352223,..
restaurang- och livsmedelsprogrammet,engelska 5,77352223,..
vvs- och fastighetsprogrammet,engelska 5,77352223,.
vård- och omsorgsprogrammet,engelska 5,77352223,.
naturbruksprogrammet,engelska 5,83085136,"30,8"
barn- och fritidsprogrammet,engelska 5,75458014,..
restaurang- och livsmedelsprogrammet,engelska 5,65136104,..
el- och energiprogrammet,engelska 5,79033948,"31,9"
hantverksprogrammet,engelska 5,44392995,"22,6"
bygg- och anläggningsprogrammet,engelska 5,69241230,..
el- och energiprogrammet,engelska 5,69241230,.
fordons- och transportprogrammet,engelska 5,69241230,..
hantverksprogrammet,engelska 5,69241230,..
vvs- och fastighetsprogrammet,engelska 5,69241230,.
naturbruksprogrammet,engelska 5,85544331,"22,2"
bygg- och anläggningsprogrammet,engelska 5,80327946,..
el- och energiprogrammet,engelska 5,80327946,"29,2"
fordons- och transportprogrammet,engelska 5,80327946,..
hantverksprogrammet,engelska 5,80327946,..
restaurang- och livsmedelsprogrammet,engelska 5,80327946,"23,3"
vvs- och fastighetsprogrammet,engelska 5,80327946,"30,0"
vård- och omsorgsprogrammet,engelska 5,78875918,..
barn- och fritidsprogrammet,engelska 5,78023197,"28,0"
vård- och omsorgsprogrammet,engelska 5,78023197,..
bygg- och anläggningsprogrammet,engelska 5,86385479,..
el- och energiprogrammet,engelska 5,86385479,..
industritekniska programmet,engelska 5,86385479,..
restaurang- och livsmedelsprogrammet,engelska 5,86385479,..
vvs- och fastighetsprogrammet,engelska 5,86385479,..
el- och energiprogrammet,engelska 5,99838438,"29,4"
el- och energiprogrammet,engelska 5,42859669,"28,6"
handels- och administrationsprogrammet,engelska 5,42859669,..
hantverksprogrammet,engelska 5,42859669,..
vvs- och fastighetsprogrammet,engelska 5,42859669,"21,7"
barn- och fritidsprogrammet,engelska 5,70923626,"21,5"
bygg- och anläggningsprogrammet,engelska 5,70923626,"27,7"
fordons- och transportprogrammet,engelska 5,70923626,"36,4"
restaurang- och livsmedelsprogrammet,engelska 5,70923626,..
vård- och omsorgsprogrammet,engelska 5,70923626,..
bygg- och anläggningsprogrammet,engelska 5,92905347,..
el- och energiprogrammet,engelska 5,92905347,"45,5"
fordons- och transportprogrammet,engelska 5,92905347,..
handels- och administrationsprogrammet,engelska 5,92905347,..
hantverksprogrammet,engelska 5,92905347,.
industritekniska programmet,engelska 5,92905347,..
vvs- och fastighetsprogrammet,engelska 5,92905347,.
vård- och omsorgsprogrammet,engelska 5,92905347,.
el- och energiprogrammet,engelska 5,99592025,..
vård- och omsorgsprogrammet,engelska 5,34247736,.
bygg- och anläggningsprogrammet,engelska 5,47550455,"14,0"
handels- och administrationsprogrammet,engelska 5,47550455,..
industritekniska programmet,engelska 5,47550455,..
restaurang- och livsmedelsprogrammet,engelska 5,47550455,"33,3"
el- och energiprogrammet,engelska 5,30329172,"52,9"
fordons- och transportprogrammet,engelska 5,30329172,..
vvs- och fastighetsprogrammet,engelska 5,30329172,..
barn- och fritidsprogrammet,engelska 5,76877530,.
industritekniska programmet,engelska 5,20620556,..
restaurang- och livsmedelsprogrammet,engelska 5,20620556,..
fordons- och transportprogrammet,engelska 5,17173461,..
handels- och administrationsprogrammet,engelska 5,17173461,..
industritekniska programmet,engelska 5,17173461,..
barn- och fritidsprogrammet,engelska 5,19560192,..
restaurang- och livsmedelsprogrammet,engelska 5,19560192,..
sjöfartsutbildningen,engelska 5,19560192,"50,0"
vvs- och fastighetsprogrammet,engelska 5,19560192,"46,7"
barn- och fritidsprogrammet,engelska 5,98053087,..
el- och energiprogrammet,engelska 5,98053087,..
handels- och administrationsprogrammet,engelska 5,98053087,"30,8"
handels- och administrationsprogrammet,engelska 5,92858957,"25,0"
barn- och fritidsprogrammet,engelska 5,46660042,..
bygg- och anläggningsprogrammet,engelska 5,46660042,..
el- och energiprogrammet,engelska 5,46660042,"50,0"
fordons- och transportprogrammet,engelska 5,46660042,..
industritekniska programmet,engelska 5,46660042,..
restaurang- och livsmedelsprogrammet,engelska 5,46660042,..
vård- och omsorgsprogrammet,engelska 5,46660042,..
el- och energiprogrammet,engelska 5,44113417,"29,4"
bygg- och anläggningsprogrammet,engelska 5,38917647,..
fordons- och transportprogrammet,engelska 5,38917647,..
el- och energiprogrammet,engelska 5,39555838,..
vård- och omsorgsprogrammet,engelska 5,39555838,..
barn- och fritidsprogrammet,engelska 5,85214294,"42,9"
vård- och omsorgsprogrammet,engelska 5,85214294,..
bygg- och anläggningsprogrammet,engelska 5,82084961,..
el- och energiprogrammet,engelska 5,82084961,"48,6"
vvs- och fastighetsprogrammet,engelska 5,82084961,..
el- och energiprogrammet,engelska 5,46162400,"34,5"
industritekniska programmet,engelska 5,46162400,..
fordons- och transportprogrammet,engelska 5,98369689,"15,5"
bygg- och anläggningsprogrammet,engelska 5,56529916,"21,5"
hantverksprogrammet,engelska 5,56529916,..
restaurang- och livsmedelsprogrammet,engelska 5,40810950,"31,8"
vård- och omsorgsprogrammet,engelska 5,40037982,"27,8"
vvs- och fastighetsprogrammet,engelska 5,73829818,"23,1"
handels- och administrationsprogrammet,engelska 5,18881773,..
hantverksprogrammet,engelska 5,12279302,..
vård- och omsorgsprogrammet,engelska 5,12279302,..
bygg- och anläggningsprogrammet,engelska 5,17849518,..
fordons- och transportprogrammet,engelska 5,17849518,..
barn- och fritidsprogrammet,engelska 5,91984508,..
naturbruksprogrammet,engelska 5,78659008,"28,2"
barn- och fritidsprogrammet,engelska 5,12448823,..
el- och energiprogrammet,engelska 5,12448823,..
barn- och fritidsprogrammet,engelska 5,40667807,..
fordons- och transportprogrammet,engelska 5,40667807,.
vård- och omsorgsprogrammet,engelska 5,40667807,..
bygg- och anläggningsprogrammet,engelska 5,18091973,..
el- och energiprogrammet,engelska 5,18091973,..
industritekniska programmet,engelska 5,18091973,..
naturbruksprogrammet,engelska 5,18091973,..
barn- och fritidsprogrammet,engelska 5,40634612,.
el- och energiprogrammet,engelska 5,40634612,"55,6"
restaurang- och livsmedelsprogrammet,engelska 5,66132676,"16,1"
barn- och fritidsprogrammet,engelska 5,80762863,..
vård- och omsorgsprogrammet,engelska 5,80762863,..
hantverksprogrammet,engelska 5,77688926,..
vvs- och fastighetsprogrammet,engelska 5,14508922,..
bygg- och anläggningsprogrammet,engelska 5,69629086,"11,9"
el- och energiprogrammet,engelska 5,69629086,"35,9"
fordons- och transportprogrammet,engelska 5,69629086,"31,6"
naturbruksprogrammet,engelska 5,88624631,..
naturbruksprogrammet,engelska 5,35390185,..
