program,skolkod,andel_med_utokat_prog
nationella program,61432781,"67,6"
nationella program,78287294,..
nationella program,74316305,"91,4"
nationella program,39096170,..
nationella program,79527481,"32,8"
nationella program,67300857,"21,6"
nationella program,99279503,"24,3"
nationella program,63653488,..
nationella program,84476205,"60,0"
nationella program,24544503,"15,8"
nationella program,25392789,"8,7"
nationella program,72109637,..
nationella program,69240218,"79,1"
nationella program,14057258,..
nationella program,38460895,..
nationella program,31199511,"22,8"
nationella program,12934438,"20,7"
nationella program,43313366,"35,5"
nationella program,86787111,"21,4"
nationella program,97868185,..
nationella program,81551726,..
nationella program,77823650,"71,9"
nationella program,37550979,..
nationella program,52634142,"50,5"
nationella program,76195214,"24,6"
nationella program,54839753,..
nationella program,32705515,"49,1"
nationella program,60214465,..
nationella program,70137084,"14,8"
nationella program,82002016,"35,8"
nationella program,21901328,.
nationella program,23306658,"56,3"
nationella program,57350392,..
nationella program,97535124,"70,6"
nationella program,11102578,"27,5"
nationella program,69306209,"46,8"
nationella program,92651253,..
nationella program,31740319,"45,9"
nationella program,10129345,..
nationella program,17944628,"11,5"
nationella program,82826083,"65,6"
nationella program,94468610,..
nationella program,94090461,"42,7"
nationella program,12954099,"44,9"
nationella program,80931789,"11,8"
nationella program,84098842,"51,7"
nationella program,90473340,"38,7"
nationella program,26167236,..
nationella program,69807202,"32,4"
nationella program,64648904,"25,5"
nationella program,75939593,"18,3"
nationella program,63035915,"15,3"
nationella program,26324896,..
nationella program,56639389,"17,9"
nationella program,95700485,"92,9"
nationella program,51449748,"25,6"
nationella program,28267726,"72,0"
nationella program,28848709,..
nationella program,12613085,"30,0"
nationella program,53896162,"27,0"
nationella program,17779637,"24,1"
nationella program,11185244,"42,9"
nationella program,56211717,"85,0"
nationella program,66824652,"55,3"
nationella program,49168016,"24,1"
nationella program,32042066,"38,5"
nationella program,50821167,..
nationella program,71929526,"45,2"
nationella program,92814975,"57,5"
nationella program,60873719,"33,8"
nationella program,28085125,..
nationella program,28770304,"62,2"
nationella program,21938183,"21,7"
nationella program,78986228,.
nationella program,71472793,"48,4"
nationella program,64123241,"86,7"
nationella program,69063711,"25,6"
nationella program,77609073,..
nationella program,35894996,"60,8"
nationella program,12926770,..
nationella program,17119840,..
nationella program,68748767,"37,2"
nationella program,23548714,..
nationella program,48593439,..
nationella program,91773491,..
nationella program,30361243,"32,4"
nationella program,25596917,"62,5"
nationella program,65722876,"22,0"
nationella program,20984584,"63,2"
nationella program,52129378,"32,9"
nationella program,65381163,"23,0"
nationella program,98541468,"72,2"
nationella program,31155312,..
nationella program,25648215,..
nationella program,61823258,..
nationella program,84424083,"49,1"
nationella program,39178171,"75,9"
nationella program,49231191,"38,3"
nationella program,78231062,"12,6"
nationella program,79994304,..
nationella program,10481541,"38,5"
nationella program,68006362,"41,0"
nationella program,11608031,"56,9"
nationella program,86762103,..
nationella program,68381790,"60,2"
nationella program,13006857,"28,3"
nationella program,76007769,"33,3"
nationella program,16956086,"42,5"
nationella program,58187973,"37,5"
nationella program,88894245,"66,7"
nationella program,31870541,..
nationella program,71160225,.
nationella program,67752682,"50,0"
nationella program,47884009,"51,6"
nationella program,44672598,"65,8"
nationella program,75340089,"46,9"
nationella program,36670439,"42,3"
nationella program,22220001,"55,9"
nationella program,31822012,..
nationella program,83161201,"27,2"
nationella program,15100079,.
nationella program,55421481,..
nationella program,99356671,..
nationella program,16702464,..
nationella program,71353314,..
nationella program,29449669,"25,0"
nationella program,62855448,..
nationella program,36252055,"16,1"
nationella program,91812793,"2,9"
nationella program,14355031,"51,1"
nationella program,72891848,"42,9"
nationella program,46611859,"68,9"
nationella program,58907711,..
nationella program,68285560,..
nationella program,58544422,..
nationella program,65150019,"54,2"
nationella program,31796890,..
nationella program,22426680,..
nationella program,83805032,..
nationella program,48862305,"43,2"
nationella program,32887559,"84,8"
nationella program,71541108,"25,0"
nationella program,53832505,"39,0"
nationella program,47537928,..
nationella program,69471748,"33,0"
nationella program,49750031,..
nationella program,76485705,"28,1"
nationella program,93239262,"40,8"
nationella program,25745773,"40,6"
nationella program,99976753,"29,0"
nationella program,14278480,..
nationella program,75575321,"9,4"
nationella program,28023078,"40,0"
nationella program,43284031,"54,2"
nationella program,13963517,..
nationella program,24194577,..
nationella program,26267406,"66,7"
nationella program,31255918,"25,0"
nationella program,51955293,"24,2"
nationella program,57690933,..
nationella program,35035671,..
nationella program,12130801,..
nationella program,51736304,"46,9"
nationella program,53180719,"36,5"
nationella program,27489137,"85,2"
nationella program,15609112,..
nationella program,44285075,..
nationella program,60424371,..
nationella program,95785055,"6,0"
nationella program,68655578,"16,0"
nationella program,17062663,..
nationella program,68741484,"10,4"
nationella program,56267421,..
nationella program,34990065,"42,9"
nationella program,37054246,"22,2"
nationella program,39199869,"73,0"
nationella program,62216381,"63,3"
nationella program,31179045,"41,7"
nationella program,72421673,"44,1"
nationella program,15763669,.
nationella program,59655752,"32,7"
nationella program,88750078,"34,7"
nationella program,41878314,..
nationella program,41555549,"30,5"
nationella program,32003298,"79,2"
nationella program,22383788,"82,6"
nationella program,85459854,"22,3"
nationella program,81876614,"51,7"
nationella program,18711877,"30,8"
nationella program,67071618,"52,2"
nationella program,75324351,..
nationella program,61229217,"48,6"
nationella program,58929357,"100,0"
nationella program,42517257,"68,8"
nationella program,70376604,"22,7"
nationella program,59575030,"20,2"
nationella program,93503103,"38,6"
nationella program,18617410,..
nationella program,41697930,"40,5"
nationella program,28025244,..
nationella program,17184072,..
nationella program,40338843,"19,3"
nationella program,77440824,"15,2"
nationella program,71069359,..
nationella program,86896907,..
nationella program,14292382,"36,4"
nationella program,51981332,"81,8"
nationella program,87859089,"28,8"
nationella program,54764253,"48,9"
nationella program,98908403,"9,0"
nationella program,16493131,"39,4"
nationella program,41119610,"100,0"
nationella program,83272868,"43,2"
nationella program,11526364,"43,4"
nationella program,48304166,"48,9"
nationella program,24982097,..
nationella program,45552626,"48,5"
nationella program,50906954,.
nationella program,97104132,"91,7"
nationella program,16748680,"31,0"
nationella program,68597767,..
nationella program,27964873,"47,2"
nationella program,30706655,"27,5"
nationella program,65674821,..
nationella program,92332557,"24,1"
nationella program,46332927,"40,5"
nationella program,78690637,"14,2"
nationella program,24653673,..
nationella program,38048202,"12,4"
nationella program,90990441,..
nationella program,86319615,.
nationella program,87303004,"37,8"
nationella program,97835550,..
nationella program,22446331,..
nationella program,26671095,"42,9"
nationella program,42911621,"35,4"
nationella program,40575001,"28,1"
nationella program,75027822,"84,4"
nationella program,26508763,"58,4"
nationella program,14504503,"57,7"
nationella program,21850904,"100,0"
nationella program,65320354,"41,9"
nationella program,77544055,"38,9"
nationella program,49112879,"32,0"
nationella program,30279258,"17,8"
nationella program,16198647,"18,1"
nationella program,12496135,..
nationella program,76903284,"26,0"
nationella program,68649663,"29,7"
nationella program,43623146,.
nationella program,49141105,..
nationella program,15870428,"22,0"
nationella program,26646080,"7,3"
nationella program,26750052,"20,0"
nationella program,18974693,"13,4"
nationella program,26996566,..
nationella program,27704246,"28,4"
nationella program,81997762,"26,2"
nationella program,28967085,.
nationella program,69747871,..
nationella program,70119254,"100,0"
nationella program,31151740,..
nationella program,79346084,"37,2"
nationella program,34222422,..
nationella program,84230226,..
nationella program,42060237,"31,8"
nationella program,89816391,..
nationella program,14448619,"11,4"
nationella program,12546590,"42,2"
nationella program,43565270,"53,8"
nationella program,77176811,..
nationella program,52791537,..
nationella program,85152591,..
nationella program,85819857,..
nationella program,40600798,"10,5"
nationella program,52942981,..
nationella program,54117171,"31,7"
nationella program,48120273,..
nationella program,33233228,..
nationella program,94167577,"17,4"
nationella program,27023528,"16,0"
nationella program,53903798,"26,6"
nationella program,85782695,..
nationella program,98815582,"48,0"
nationella program,97770837,"12,0"
nationella program,21312503,"94,9"
nationella program,69650864,"42,9"
nationella program,59581397,.
nationella program,14926020,..
nationella program,41938272,"61,0"
nationella program,29423248,"13,0"
nationella program,76054399,"51,5"
nationella program,33132452,"28,7"
nationella program,56942970,..
nationella program,60142020,..
nationella program,70811222,..
nationella program,17911161,"12,0"
nationella program,35084976,"58,0"
nationella program,25525759,.
nationella program,77632411,"27,2"
nationella program,56653353,"58,3"
nationella program,49068301,..
nationella program,59898194,..
nationella program,38195284,"7,8"
nationella program,97510495,"10,9"
nationella program,89461767,"17,3"
nationella program,94717858,"13,8"
nationella program,53760158,"65,1"
nationella program,78422467,"27,0"
nationella program,37802196,..
nationella program,38683336,..
nationella program,36288955,"46,0"
nationella program,74812809,"75,3"
nationella program,88839172,"25,7"
nationella program,48412612,..
nationella program,95618280,"20,8"
nationella program,75075402,"8,8"
nationella program,26326048,"8,3"
nationella program,37839488,"6,7"
nationella program,46256929,"20,2"
nationella program,83374651,"75,0"
nationella program,59796774,"100,0"
nationella program,17675502,"26,3"
nationella program,75600007,"41,4"
nationella program,73812226,"13,3"
nationella program,30762346,..
nationella program,82964090,"10,5"
nationella program,88955893,"10,2"
nationella program,15278518,..
nationella program,15390992,"42,6"
nationella program,63943560,"59,6"
nationella program,85516596,"13,1"
nationella program,31998226,..
nationella program,38236800,..
nationella program,16784385,..
nationella program,59026584,"43,9"
nationella program,79829846,"54,8"
nationella program,89963319,..
nationella program,24339566,"7,8"
nationella program,20061769,..
nationella program,65458415,.
nationella program,95154882,..
nationella program,52333875,"52,8"
nationella program,24663703,..
nationella program,28519815,"39,6"
nationella program,65666808,"49,5"
nationella program,69543519,"37,0"
nationella program,24397215,"22,7"
nationella program,30677562,..
nationella program,85054102,..
nationella program,87274273,..
nationella program,89693952,.
nationella program,24759907,"23,1"
nationella program,78433202,"30,5"
nationella program,41631104,..
nationella program,35366805,"33,9"
nationella program,31315191,"62,5"
nationella program,80357110,"91,3"
nationella program,42775003,"11,8"
nationella program,56670842,"16,7"
nationella program,89370947,"67,8"
nationella program,18451445,..
nationella program,48555205,"8,4"
nationella program,31313926,..
nationella program,30312720,"18,5"
nationella program,32116280,"16,7"
nationella program,57143976,"18,7"
nationella program,93367005,"38,3"
nationella program,53175499,"69,6"
nationella program,64388538,..
nationella program,52153758,"17,2"
nationella program,16501673,"47,4"
nationella program,26298615,"100,0"
nationella program,22116645,"28,6"
nationella program,99755443,"7,2"
nationella program,30167976,"41,9"
nationella program,50104466,..
nationella program,28004794,..
nationella program,32071849,"21,9"
nationella program,79845033,"29,1"
nationella program,41099519,"21,3"
nationella program,59386837,"31,1"
