program,skolkod,gbp_examen
Nationella program,81619482,"15,8"
Nationella program,83829189,"13,3"
Nationella program,46145886,"14,9"
Nationella program,12395564,"15,9"
Nationella program,90006712,"16,7"
Nationella program,43649848,"13,9"
Nationella program,75344502,"14,8"
Nationella program,84247499,"13,6"
Nationella program,27041885,"13,5"
Nationella program,39149668,"14,0"
Nationella program,97064126,..
Nationella program,32580162,"14,5"
Nationella program,38233622,"16,1"
Nationella program,48722826,"13,8"
Nationella program,73063662,"14,9"
Nationella program,40766349,"14,2"
Nationella program,71571158,"12,7"
Nationella program,53691739,"12,4"
Nationella program,43251309,"13,5"
Nationella program,97596286,"13,8"
Nationella program,67554405,"14,1"
Nationella program,86473502,"12,7"
Nationella program,73944169,"15,1"
Nationella program,98239050,"15,3"
Nationella program,94455820,..
Nationella program,58368956,"14,0"
Nationella program,73567152,"13,7"
Nationella program,61547652,"13,8"
Nationella program,60209222,"13,9"
Nationella program,62104139,"14,5"
Nationella program,87034307,"15,6"
Nationella program,78872213,"15,3"
Nationella program,84286698,"13,8"
Nationella program,62490359,"14,9"
Nationella program,64725297,"14,0"
Nationella program,43362941,"14,7"
Nationella program,23350817,"14,1"
Nationella program,76860623,"15,8"
Nationella program,58191646,"14,3"
Nationella program,80405898,"14,7"
Nationella program,56021320,"14,5"
Nationella program,41358402,"11,3"
Nationella program,63179610,"12,6"
Nationella program,64569393,"14,7"
Nationella program,87262566,"13,1"
Nationella program,64160122,"16,3"
Nationella program,48217580,"13,6"
Nationella program,41844601,"14,1"
Nationella program,51620045,"14,3"
Nationella program,86888278,"14,4"
Nationella program,23457902,"13,1"
Nationella program,27597104,"13,5"
Nationella program,57397381,"13,9"
Nationella program,56947954,"14,2"
Nationella program,72022487,"14,3"
Nationella program,71512894,"15,3"
Nationella program,70969556,"13,4"
Nationella program,28248021,"14,2"
Nationella program,44417214,"14,2"
Nationella program,25025681,"13,9"
Nationella program,88776535,"15,8"
Nationella program,49488344,"14,6"
Nationella program,74408578,"14,1"
Nationella program,71043974,"15,3"
Nationella program,57777751,..
Nationella program,38732602,"15,9"
Nationella program,89807183,"15,8"
Nationella program,86724994,"13,4"
Nationella program,61161774,"14,8"
Nationella program,86158933,"15,2"
Nationella program,14102256,"13,9"
Nationella program,75082280,"13,5"
Nationella program,75914181,"14,2"
Nationella program,39302565,"12,8"
Nationella program,96818167,"15,1"
Nationella program,36072799,"15,1"
Nationella program,61432781,"13,1"
Nationella program,78287294,"13,5"
Nationella program,74316305,"12,8"
Nationella program,39096170,"14,3"
Nationella program,79527481,"15,1"
Nationella program,67300857,"16,2"
Nationella program,99279503,"14,0"
Nationella program,63653488,..
Nationella program,84476205,"15,6"
Nationella program,24544503,"15,2"
Nationella program,25392789,"15,0"
Nationella program,72109637,..
Nationella program,69240218,"15,5"
Nationella program,14057258,..
Nationella program,38460895,"13,8"
Nationella program,31199511,"15,3"
Nationella program,12934438,"16,5"
Nationella program,43313366,"14,6"
Nationella program,86787111,"13,5"
Nationella program,97868185,"15,4"
Nationella program,81551726,..
Nationella program,77823650,"14,1"
Nationella program,37550979,"14,3"
Nationella program,52634142,"14,4"
Nationella program,76195214,"14,6"
Nationella program,54839753,..
Nationella program,32705515,"13,6"
Nationella program,60214465,"14,7"
Nationella program,70137084,"13,9"
Nationella program,82002016,"15,6"
Nationella program,21901328,"14,2"
Nationella program,23306658,"14,3"
Nationella program,57350392,..
Nationella program,97535124,"15,2"
Nationella program,11102578,"14,7"
Nationella program,69306209,"14,4"
Nationella program,92651253,"13,2"
Nationella program,31740319,"14,0"
Nationella program,10129345,"15,0"
Nationella program,17944628,"15,3"
Nationella program,82826083,"13,2"
Nationella program,94468610,"15,1"
Nationella program,94090461,"14,3"
Nationella program,12954099,"14,5"
Nationella program,80931789,"15,6"
Nationella program,84098842,"13,6"
Nationella program,90473340,"13,6"
Nationella program,26167236,"13,5"
Nationella program,69807202,"14,8"
Nationella program,64648904,"15,0"
Nationella program,75939593,"15,9"
Nationella program,63035915,"13,4"
Nationella program,26324896,"14,1"
Nationella program,56639389,"16,5"
Nationella program,95700485,"17,0"
Nationella program,51449748,"15,3"
Nationella program,28267726,"17,6"
Nationella program,28848709,"12,7"
Nationella program,12613085,"12,7"
Nationella program,53896162,"15,2"
Nationella program,17779637,"16,5"
Nationella program,11185244,"14,8"
Nationella program,56211717,"14,0"
Nationella program,66824652,"14,8"
Nationella program,49168016,"14,2"
Nationella program,32042066,"14,2"
