skolkod,andel_med_examen
78422467,"94,6"
37802196,..
38683336,"100,0"
36288955,"98,4"
74812809,"97,8"
88839172,"98,7"
48412612,"88,6"
95618280,"76,4"
75075402,"89,5"
26326048,"76,7"
37839488,"78,0"
46256929,"92,1"
83374651,"100,0"
59796774,"100,0"
17675502,"60,5"
75600007,"80,0"
73812226,"77,1"
30762346,..
82964090,"98,8"
88955893,"97,6"
15278518,"86,1"
15390992,"95,3"
63943560,"85,1"
85516596,"87,9"
31998226,..
38236800,"81,3"
16784385,"87,5"
59026584,"93,6"
79829846,"92,9"
89963319,..
24339566,"95,8"
20061769,"100,0"
65458415,..
95154882,"85,7"
52333875,"77,8"
24663703,..
28519815,"74,5"
65666808,"85,7"
69543519,"59,3"
24397215,"88,6"
30677562,"92,5"
85054102,"95,2"
87274273,"100,0"
89693952,.
24759907,"56,9"
78433202,"84,7"
41631104,"68,8"
35366805,"85,7"
31315191,"91,7"
80357110,"78,3"
42775003,"99,3"
56670842,"100,0"
89370947,"97,5"
18451445,..
48555205,"86,9"
31313926,"72,4"
30312720,"92,6"
32116280,"92,2"
57143976,"86,0"
93367005,"83,0"
53175499,"100,0"
64388538,"100,0"
52153758,"100,0"
16501673,"68,4"
26298615,"100,0"
22116645,"95,2"
99755443,"97,0"
30167976,"88,4"
50104466,"100,0"
28004794,..
32071849,"99,0"
79845033,"89,5"
41099519,"93,3"
59386837,"97,3"
21627442,"100,0"
17276047,"79,2"
73217812,"73,7"
21382451,"90,7"
48244956,"80,0"
36769815,"100,0"
16931486,"90,5"
92489953,"85,2"
43873969,"94,2"
55825382,"80,3"
19306558,"96,0"
35301145,"87,5"
24993048,"88,0"
70132092,"84,7"
65034473,..
13084253,"80,4"
32321364,..
59942080,"77,5"
66273269,"92,5"
82888663,"71,2"
11275959,"90,6"
58518163,"82,5"
50615280,"94,4"
19035583,"100,0"
27993549,"68,5"
37912396,"97,7"
45593337,"85,5"
90312942,"96,4"
10226870,"95,0"
19839859,"100,0"
80280597,..
67628478,"100,0"
37517404,"100,0"
29159460,"92,0"
32057701,"95,7"
43601850,"87,9"
30615080,"69,0"
89630851,"93,0"
25178582,"87,0"
70543431,"100,0"
23476801,..
86351879,"88,5"
56041144,"84,9"
14586562,..
74322969,"89,3"
90260899,"94,4"
69302313,"91,3"
31057219,"86,5"
27079521,"96,9"
33572033,"85,4"
64579522,"91,9"
65234368,"100,0"
34381901,"93,1"
55150847,"93,0"
90076461,"91,8"
96414537,"96,8"
53069733,"87,8"
99394620,"100,0"
95368476,"95,5"
14853321,"96,1"
76448076,"79,3"
31537066,"86,7"
86488203,"84,9"
25156286,"91,4"
28081446,"96,7"
21400668,"92,9"
92949043,"87,0"
92818240,"86,2"
84329061,"89,6"
71969230,"81,0"
91048178,"88,4"
82718660,"100,0"
76942525,"73,1"
12399380,"100,0"
31486865,"98,0"
97265732,"98,1"
10373112,..
61720981,"89,5"
25698509,"86,8"
50424828,"82,4"
82931004,"89,3"
83584125,"100,0"
95024660,"90,3"
32263814,"94,7"
16496466,..
12075195,"87,5"
62300682,"94,7"
47393891,"89,3"
48414975,"100,0"
65265211,"96,6"
11533776,"82,7"
47108751,..
97191332,"82,8"
71938440,"85,7"
28829503,"91,1"
22811839,"100,0"
33205596,"100,0"
99622695,..
19930101,"94,7"
60727136,"100,0"
45132264,"87,5"
61647360,..
98651664,"98,7"
33657492,"85,6"
61622991,"95,8"
66644568,"83,3"
93659517,"94,7"
79309485,"98,9"
61175914,"94,1"
73316818,"100,0"
37078868,..
27859889,"100,0"
16130958,"95,7"
29161632,..
82195565,"97,6"
33596572,"97,3"
45541222,"100,0"
77713695,"97,5"
63451147,"100,0"
51131594,"85,7"
89680395,"100,0"
53696633,"100,0"
27440210,"89,6"
62758285,"100,0"
16218090,"100,0"
61197669,..
64667996,"97,2"
17812651,"95,2"
23544320,"100,0"
57668673,"88,6"
69040241,"89,5"
63993414,"100,0"
49136871,..
91905819,"96,7"
20855811,"72,1"
54882637,"87,5"
53923398,"83,4"
74560191,"100,0"
47844862,"93,7"
22239675,"81,0"
72984079,"71,7"
36480690,"86,8"
24787883,"81,0"
32995170,"86,1"
52048443,"97,1"
61674097,"93,4"
32550660,"97,7"
93488613,"82,4"
45600034,"100,0"
59599256,"95,4"
69865450,"88,0"
31112935,"73,3"
26957025,"96,2"
90509211,"87,0"
43277545,"69,6"
37316242,"93,1"
20173336,"84,8"
49872493,"96,6"
39147056,"90,6"
11953769,..
28646435,"96,0"
50393060,"95,3"
85788659,"80,0"
95340745,"93,9"
59521477,"91,5"
92442684,"83,3"
66095163,"80,4"
38544187,"76,6"
54599691,"88,7"
54004368,"94,7"
54467211,"97,8"
23517683,"94,7"
31975673,"95,1"
82251333,"97,1"
99864908,"86,8"
27106031,"93,0"
59463950,"100,0"
63931325,"100,0"
57391913,"93,3"
75374280,"83,0"
46148350,"89,4"
50133877,"94,5"
49868916,"92,1"
74919147,"88,7"
90240730,"84,4"
84908877,"87,1"
78389879,"88,0"
24277564,"71,4"
88956420,..
44412461,"97,3"
34002355,"71,8"
36355200,"85,9"
96920524,"89,9"
18217765,"93,6"
60919765,..
14677676,"72,7"
96152872,"82,6"
77835341,"91,7"
70803636,"96,6"
49576295,"100,0"
66028861,"100,0"
23797825,"75,7"
45293715,"78,8"
44738639,"75,0"
77712952,"80,6"
92009807,"78,2"
10433896,"92,3"
10342448,"67,4"
43154449,"100,0"
49170638,"79,1"
46379730,"97,4"
25379974,"81,8"
98032567,..
96194948,"81,5"
25955541,"100,0"
88025221,"90,5"
18042101,"96,5"
14799321,"96,6"
56041699,"82,4"
45111086,"100,0"
70955448,"99,4"
68824244,"91,3"
90685868,"96,7"
24501884,"90,7"
46707989,"92,0"
46986216,"89,4"
67924816,"93,7"
92805465,"87,4"
56084099,"81,6"
80711021,"88,2"
17648596,"89,1"
16720048,"93,9"
13960635,"93,7"
39341381,..
61176909,"100,0"
43479922,"95,5"
60088179,"78,7"
28391147,"83,0"
29209307,"96,4"
21778322,"93,7"
31380193,"72,7"
90290154,"90,0"
25847233,"81,7"
62612992,"85,7"
85485803,"85,9"
92816527,"91,9"
16848652,"100,0"
88429477,"95,8"
94975733,"95,5"
56802300,"100,0"
15149235,"92,4"
77379848,..
13981977,"100,0"
24538846,"94,3"
36886750,"94,4"
67422309,"77,1"
