skolkod,andel_minst_e_sv1
16496466,"100,0"
12075195,"100,0"
62300682,"100,0"
47393891,"98,6"
48414975,"100,0"
65265211,"96,3"
11533776,"100,0"
47108751,..
97191332,"100,0"
71938440,"100,0"
28829503,"100,0"
22811839,"100,0"
33205596,"100,0"
99622695,..
19930101,"100,0"
60727136,"100,0"
45132264,"100,0"
61647360,..
98651664,"98,7"
33657492,"99,3"
61622991,"100,0"
66644568,"100,0"
93659517,"100,0"
79309485,"100,0"
61175914,"100,0"
73316818,"100,0"
37078868,..
27859889,"100,0"
16130958,"100,0"
29161632,.
82195565,"100,0"
33596572,"100,0"
45541222,"100,0"
77713695,"100,0"
63451147,"100,0"
51131594,"100,0"
89680395,"100,0"
53696633,"100,0"
27440210,"100,0"
62758285,"100,0"
16218090,"100,0"
61197669,..
64667996,"100,0"
17812651,"100,0"
23544320,"100,0"
57668673,"100,0"
69040241,"100,0"
63993414,"100,0"
49136871,..
91905819,"100,0"
20855811,"100,0"
54882637,"100,0"
53923398,"99,4"
74560191,"100,0"
47844862,"100,0"
22239675,"100,0"
72984079,"98,2"
36480690,"98,6"
24787883,"100,0"
32995170,"94,3"
52048443,"100,0"
61674097,"100,0"
32550660,"100,0"
93488613,"100,0"
45600034,..
59599256,"100,0"
69865450,"100,0"
31112935,"100,0"
26957025,"100,0"
90509211,"100,0"
43277545,"94,1"
37316242,"100,0"
20173336,"96,9"
49872493,"100,0"
39147056,"100,0"
11953769,..
28646435,"100,0"
50393060,"100,0"
85788659,"95,0"
95340745,"100,0"
59521477,"98,6"
92442684,"100,0"
66095163,"96,0"
38544187,"97,9"
54599691,"100,0"
54004368,"100,0"
54467211,"100,0"
23517683,"100,0"
31975673,"100,0"
82251333,"100,0"
99864908,"100,0"
27106031,"100,0"
59463950,"100,0"
63931325,"100,0"
57391913,"98,6"
75374280,"100,0"
46148350,"100,0"
50133877,"100,0"
49868916,"99,3"
74919147,"100,0"
90240730,"98,6"
84908877,"100,0"
78389879,"100,0"
24277564,"96,0"
88956420,..
44412461,"100,0"
34002355,"96,0"
36355200,"100,0"
96920524,"100,0"
18217765,"100,0"
60919765,..
14677676,"100,0"
96152872,"97,7"
77835341,"100,0"
70803636,"100,0"
49576295,"100,0"
66028861,"100,0"
23797825,"100,0"
45293715,"100,0"
44738639,"100,0"
77712952,"100,0"
92009807,"97,2"
10433896,"99,1"
10342448,"100,0"
43154449,"100,0"
49170638,"100,0"
46379730,"100,0"
25379974,"100,0"
98032567,..
96194948,"100,0"
25955541,"100,0"
88025221,"100,0"
18042101,"100,0"
14799321,"100,0"
56041699,"100,0"
45111086,"100,0"
70955448,"100,0"
68824244,"100,0"
90685868,"100,0"
24501884,"97,7"
46707989,"100,0"
46986216,"100,0"
67924816,"100,0"
